schema,table,table_type,role,business_label,表注释,row_count,L1_描述层,L2_关联L3流程,L2_关联L4,L2_数据健康,L2_岗位,L2_状态
public,bridge_person_identity,桥接表,业务数据,人员身份归一化桥接表,"人员身份归一化桥接表：把各业务表里的partner_code/employee_name等原始标识统一映射到person_id，是跨表识别""这是同一个人""的核心基础设施表",15833,"public.bridge_person_identity现有15833行数据。人员身份归一化桥接表：把各业务表里的partner_code/employee_name等原始标识统一映射到person_id，是跨表识别""这是同一个人""的核心基础设施表",L3-FBA: 理财师业务分析,L4-FBA-02: 月度业绩与活动率分析,规模化在跑,事业部运营管理岗,已定位关联
public,bridge_person_relationship,桥接表,业务数据,人员关系桥接表,人员关系桥接表：refers(推荐)/supervises(管理)等人际关系记录,418,public.bridge_person_relationship现有418行数据。人员关系桥接表：refers(推荐)/supervises(管理)等人际关系记录,L3-FBA: 理财师业务分析,L4-FBA-02: 月度业绩与活动率分析,小规模在跑,事业部运营管理岗,已定位关联
public,bridge_person_role,桥接表,业务数据,人员角色桥接表,人员角色桥接表：person_id对应担任的角色(如PARTNER_ADVISOR)及所属组织,5442,public.bridge_person_role现有5442行数据。人员角色桥接表：person_id对应担任的角色(如PARTNER_ADVISOR)及所属组织,L3-FBA: 理财师业务分析,L4-FBA-02: 月度业绩与活动率分析,规模化在跑,事业部运营管理岗,已定位关联
public,bridge_strategy_routing,桥接表,业务数据,策略路由配置表,策略路由配置表：当前0行未populate,0,public.bridge_strategy_routing当前0行，尚无数据录入。策略路由配置表：当前0行未populate,L3-RPD: 权益包设计与发布,L4-RPD-06: 系统配置,未开始录入,权益战略与方案设计岗,已定位关联
public,config_commission_table_type,配置表,业务数据,佣金制表业务类型配置,佣金制表业务类型配置：伙伴与制表类型/主签牌照/生效期间的对应关系,23,public.config_commission_table_type现有23行数据。佣金制表业务类型配置：伙伴与制表类型/主签牌照/生效期间的对应关系,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,config_identity_source_map,配置表,业务数据,人员身份来源映射配置,人员身份来源映射配置：定义从哪些源表哪些字段能识别出哪种角色，是bridge_person_identity生成逻辑的配置表,22,public.config_identity_source_map现有22行数据。人员身份来源映射配置：定义从哪些源表哪些字段能识别出哪种角色，是bridge_person_identity生成逻辑的配置表,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,config_license_carrier_mapping,配置表,业务数据,牌照-保司佣金方案映射配置,牌照-保司佣金方案映射配置：license_code与carrier_code对应到具体commission_plan_code及生效期间,90,public.config_license_carrier_mapping现有90行数据。牌照-保司佣金方案映射配置：license_code与carrier_code对应到具体commission_plan_code及生效期间,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,小规模在跑,佣金管理与合规岗,已定位关联
public,config_license_cost_deduction,配置表,业务数据,牌照平台服务费扣除配置,牌照平台服务费扣除配置：当前0行未populate,0,public.config_license_cost_deduction当前0行，尚无数据录入。牌照平台服务费扣除配置：当前0行未populate,L3-COM: 佣金全链路管理,L4-COM-12: 应派金额拆分与渠道对账（待注册）,未开始录入,佣金管理与合规岗,已定位关联
public,config_partner_routing,配置表,业务数据,渠道路由规则表,渠道路由规则表：按伙伴/保司/业务线/产品条件分配牌照(assigned_license_code)，与comm_sandbox.config_partner_routing同类但字段命名不同(bussiness_line_comdition等拼写差异)，疑似两处独立维护的重复配置,67,public.config_partner_routing现有67行数据。渠道路由规则表：按伙伴/保司/业务线/产品条件分配牌照(assigned_license_code)，与comm_sandbox.config_partner_routing同类但字段命名不同(bussiness_line_comdition等拼写差异)，疑似两处独立维护的重复配置,L3-COM: 佣金全链路管理,L4-COM-12: 应派金额拆分与渠道对账（待注册）,小规模在跑,佣金管理与合规岗,已定位关联
public,config_product_commission_formula,配置表,业务数据,产品佣金计算公式配置,产品佣金计算公式配置：首年/续期公式定义,32,public.config_product_commission_formula现有32行数据。产品佣金计算公式配置：首年/续期公式定义,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,小规模在跑,佣金管理与合规岗,已定位关联
public,config_product_exclusion_range,配置表,业务数据,产品排除范围配置,产品排除范围配置：定义某制表类型下需要排除哪些保司/产品线/产品,228,public.config_product_exclusion_range现有228行数据。产品排除范围配置：定义某制表类型下需要排除哪些保司/产品线/产品,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,config_product_feature_type,配置表,业务数据,产品特征类型字典,产品特征类型字典：定义产品可有哪些标准化特征字段(如投保年龄、红利结构)，是dim_product_feature_value的取值口径,25,public.config_product_feature_type现有25行数据。产品特征类型字典：定义产品可有哪些标准化特征字段(如投保年龄、红利结构)，是dim_product_feature_value的取值口径,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,config_quarter,配置表,业务数据,季度日历表,季度日历表：与comm_sandbox.config_quarter同结构(两schema各维护一份),4,public.config_quarter现有4行数据。季度日历表：与comm_sandbox.config_quarter同结构(两schema各维护一份),L3-FBA: 理财师业务分析,L4-FBA-01: 月度/季度业绩数据汇总,试点阶段(个位数记录),事业部运营管理岗,已定位关联
public,config_strategy_header,配置表,业务数据,策略头配置表,策略头配置表：当前0行未populate,0,public.config_strategy_header当前0行，尚无数据录入。策略头配置表：当前0行未populate,L3-RPD: 权益包设计与发布,L4-RPD-06: 系统配置,未开始录入,权益战略与方案设计岗,已定位关联
public,config_strategy_tiers,配置表,业务数据,策略分档奖励配置表,策略分档奖励配置表：当前0行未populate,0,public.config_strategy_tiers当前0行，尚无数据录入。策略分档奖励配置表：当前0行未populate,L3-RPD: 权益包设计与发布,L4-RPD-06: 系统配置,未开始录入,权益战略与方案设计岗,已定位关联
public,dim_binder_agreement,维度表,业务数据,转介协议主表,转介协议主表：渠道伙伴的转介协议编号、签约主体、付款主体、有效期,32,public.dim_binder_agreement现有32行数据。转介协议主表：渠道伙伴的转介协议编号、签约主体、付款主体、有效期,,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,dim_carrier,维度表,业务数据,保司主数据表,保司主数据表：保司代码、中英文名、评级、服务热线，与fin_sandbox/comm_sandbox里的carrier_code是同一套编码,26,public.dim_carrier现有26行数据。保司主数据表：保司代码、中英文名、评级、服务热线，与fin_sandbox/comm_sandbox里的carrier_code是同一套编码,L3-COM: 佣金全链路管理; L3-RSJD: 经代机构销售业务执行流程,L4-COM-01: 佣金政策接收与校准; L4-COM-10: 保单信息整合与应收核算（待注册）; L4-RSJD-04: 方案交付,小规模在跑,佣金管理与合规岗; 保单服务岗,已定位关联
public,dim_comm_scheme,维度表,业务数据,佣金方案主表,佣金方案主表：与comm_sandbox.dim_comm_scheme同名同结构，当前0行,0,public.dim_comm_scheme当前0行，尚无数据录入。佣金方案主表：与comm_sandbox.dim_comm_scheme同名同结构，当前0行,L3-COM: 佣金全链路管理,L4-COM-01: 佣金政策接收与校准,未开始录入,佣金管理与合规岗,已定位关联
public,dim_customer,维度表,业务数据,客户主数据表,客户主数据表：客户身份信息(姓名/国籍/联系方式/职业),4699,public.dim_customer现有4699行数据。客户主数据表：客户身份信息(姓名/国籍/联系方式/职业),L3-RSJD: 经代机构销售业务执行流程,L4-RSJD-01: 销售执行与客户管理,规模化在跑,保单服务岗,已定位关联
public,dim_customer_type,维度表,业务数据,客户类型字典表,客户类型字典表：当前0行未populate,0,public.dim_customer_type当前0行，尚无数据录入。客户类型字典表：当前0行未populate,L3-RSJD: 经代机构销售业务执行流程,L4-RSJD-01: 销售执行与客户管理,未开始录入,保单服务岗,已定位关联
public,dim_date,维度表,业务数据,日期维度表,日期维度表：年/季/月/周/是否工作日/节假日标记,1826,public.dim_date现有1826行数据。日期维度表：年/季/月/周/是否工作日/节假日标记,,,规模化在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,dim_employee,维度表,业务数据,HR员工档案表,HR员工档案表：姓名、入职/转正日期、合同地区、雇佣类型、学历；与process_analytics.dim_org(目标态编制设计)不是一回事，这是实际HR档案,209,public.dim_employee现有209行数据。HR员工档案表：姓名、入职/转正日期、合同地区、雇佣类型、学历；与process_analytics.dim_org(目标态编制设计)不是一回事，这是实际HR档案,L3-HRA: 人力分析与决策支持流程; L3-HRM: 人员全生命周期管理流程,L4-HRA-01: 人效数据采集与清洗; L4-HRA-05: 人员素质结构盘点; L4-HRA-06: 流失率分析与预警; L4-HRM-03: 入职配置与合同签署; L4-HRM-04: 试用期考核与转正; L4-HRM-09: 人员退出与档案归档,小规模在跑,人力资源管理岗,已定位关联
public,dim_ka,维度表,业务数据,KA(经代机构)主数据表,KA(经代机构)主数据表：市场细分、合作等级、对接人、结算方式,109,public.dim_ka现有109行数据。KA(经代机构)主数据表：市场细分、合作等级、对接人、结算方式,L3-KAGA: KA业绩跟踪与运维,L4-KAGA-02: 业绩复盘与问题诊断; L4-KAGA-04: KA关系维护与长效运营,小规模在跑,KA管理岗,已定位关联
public,dim_license,维度表,业务数据,持牌机构主数据表,持牌机构主数据表：12个持牌实体的牌照信息+**结算/后台两套银行账户**(已脱敏哈希)；这是实际付款账户信息的真实来源，dim_payee是空表不代表付款信息缺失,12,public.dim_license现有12行数据。持牌机构主数据表：12个持牌实体的牌照信息+**结算/后台两套银行账户**(已脱敏哈希)；这是实际付款账户信息的真实来源，dim_payee是空表不代表付款信息缺失,L3-COM: 佣金全链路管理,L4-COM-13: 实派清单确认与财务制单（待注册）; L4-COM-14: 财务付款执行（待注册）,小规模在跑,佣金管理与合规岗,已定位关联
public,dim_lookup_code,维度表,业务数据,通用代码字典表,通用代码字典表：各类字段枚举值的中英文对照(如产品品类CI=重疾),150,public.dim_lookup_code现有150行数据。通用代码字典表：各类字段枚举值的中英文对照(如产品品类CI=重疾),,,小规模在跑,,未定位关联——目前只对8/74个L3做过业务数据匹配，其余L3尚未纳入本轮分析范围，不代表这张表真的无关
public,dim_partner,维度表,业务数据,渠道伙伴主数据表,渠道伙伴主数据表：合作伙伴档案(签约主体、牌照、结算周期、最低起付额、合作状态),727,public.dim_partner现有727行数据。渠道伙伴主数据表：合作伙伴档案(签约主体、牌照、结算周期、最低起付额、合作状态),L3-COM: 佣金全链路管理,L4-COM-12: 应派金额拆分与渠道对账（待注册）,小规模在跑,佣金管理与合规岗,已定位关联
public,dim_partner_equity,维度表,业务数据,伙伴权益配置表,伙伴权益配置表：当前0行未populate,0,public.dim_partner_equity当前0行，尚无数据录入。伙伴权益配置表：当前0行未populate,L3-RPD: 权益包设计与发布,L4-RPD-01: 权益包核心构建,未开始录入,权益战略与方案设计岗,已定位关联
public,dim_payee,维度表,业务数据,收款人银行账户信息表,收款人银行账户信息表：银行名称、账号、付款周期；当前0行——但实际付款银行信息真实存在于dim_license(见下)，dim_payee本身是空表，不代表付款信息整体缺失，是表设计上的重复/未启用,0,public.dim_payee当前0行，尚无数据录入。收款人银行账户信息表：银行名称、账号、付款周期；当前0行——但实际付款银行信息真实存在于dim_license(见下)，dim_payee本身是空表，不代表付款信息整体缺失，是表设计上的重复/未启用,L3-COM: 佣金全链路管理,L4-COM-12: 应派金额拆分与渠道对账（待注册）,未开始录入,佣金管理与合规岗,已定位关联
public,dim_person,维度表,业务数据,统一人员主数据表,统一人员主数据表：bridge_person_identity归一化后的人员档案，区分INTERNAL/EMPLOYEE等范围与分组,5291,public.dim_person现有5291行数据。统一人员主数据表：bridge_person_identity归一化后的人员档案，区分INTERNAL/EMPLOYEE等范围与分组,L3-FBA: 理财师业务分析,L4-FBA-02: 月度业绩与活动率分析,规模化在跑,事业部运营管理岗,已定位关联
