l1_code,l3_code,l3_name,l3_domain,l3_status,l3_trigger,l3_exit_condition,l4_code,l4_name,l4_deliverable,l4_deliverable_type,l4_accountable_role,l4_accountable_family,l5_step,agentifiability,agent_human_touchpoint,agent_d1_input_struct,agent_d2_rule_clear,agent_d3_output_verify,agent_d4_api_reach,agent_d5_fallback,agent_d6_compliance,agent_score_total,sla_hours,sla_source,version,valid_from,source_notes
L1-05,L3-CDA-SRA,权益客户需求诊断与服务需求分析,权益,active,,,L4-CDA-SRA-01,需求收集与初步确认,《权益需求收集表》,方案,,,,Auto,,,,,,,,7,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CDA-SRA_权益客户需求诊断与服务需求分析_V1.1.md"
L1-05,L3-CDA-SRA,权益客户需求诊断与服务需求分析,权益,active,,,L4-CDA-SRA-02,内部需求分析,《经确认的客户权益需求清单》,数据表,,,,Hybrid,,,,,,,,7,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CDA-SRA_权益客户需求诊断与服务需求分析_V1.1.md"
L1-05,L3-CDS,权益相关商务合同起草与签订,权益,active,,,L4-CDS-01,起草合同要点确认,《起草合同要点确认》,合同,,,,Auto,,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-CDS_权益相关商务合同起草与签订_V1.0.md
L1-05,L3-CDS,权益相关商务合同起草与签订,权益,active,,,L4-CDS-02,签署核对与完成,已签权益商务合同/RW协议登记表,合同,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CDS_权益相关商务合同起草与签订_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-01,业务收款预测收集,《各业务线收款预测表》,数据表,,,,Auto,人工执行：业务收款预测收集,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-02,付款计划汇总,《资金付款审批单》（含原始凭证+计算逻辑）。当前无业务审批，资金付款完全听业务的,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-03,现金缺口识别与应对,《缺口预警》+《资金调度方案》,方案,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-04,跨主体资金调拨方案制定,《跨主体资金调拨审批单》,决议,,,,Auto,人工执行：跨主体资金调拨方案制定,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-05,资金池归集与监控,《资金池余额监控表》,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-06,体系外资金对账,《体系外资金对账表》,数据表,,,,Auto,人工执行：体系外资金对账,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-07,银行结余台账维护,《银行结余台账》,数据表,,,,Hybrid,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-03,L3-CFM,现金流规划与资金调度管理,财务,active,,,L4-CFM-08,现金流报告编制与报送,《周度结余报表》+《月度现金流预测报告》,报告,,,,Auto,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; L1映射:推断; 蓝图:流程蓝图_L3-CFM_现金流规划与资金调度管理_V1.0.md"
L1-05,L3-COB,客户入驻权益服务启动,权益,active,,,L4-COB-01,服务项目启动,服务使用规则,方案,,,,Auto,,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COB_客户入驻权益服务启动_V1.0.md
L1-05,L3-COB,客户入驻权益服务启动,权益,active,,,L4-COB-02,系统与账户初始化,RW权益包配置表,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COB_客户入驻权益服务启动_V1.0.md
L1-05,L3-COB,客户入驻权益服务启动,权益,active,,,L4-COB-03,客户赋能,内训素材；权益包使用规则；服务使用规则,方案,,,,Aug,,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-COB_客户入驻权益服务启动_V1.0.md"
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-01,佣金政策接收与校准,《标准化政策库》,方案,,,,Auto,,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-02,差异化拆解与验证,《各细分市场配置》,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-03,佣金整合与外发,《佣金外发凭证》,凭证,,,,Auto,,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-04,年度预算与规划,《年度预算与规划》,方案,,,,Hybrid,人工执行：年度预算与规划,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-05,追溯调整与退保倒扣,《追溯调整与退保倒扣记录》,数据表,,,,Aug,人工执行：追溯调整与退保倒扣,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-06,佣金税务处理,《佣金税务处理记录》,数据表,,,,Auto,人工执行：佣金税务处理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-07,佣金争议处理,《佣金争议处理记录》,数据表,,,,Hybrid,人工执行：佣金争议处理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-08,跨保司佣金整合,《跨保司佣金整合记录》,数据表,,,,Auto,人工执行：跨保司佣金整合,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-09,佣金异常检测反欺诈,《佣金异常检测反欺诈记录》,数据表,,,,Aug,人工执行：佣金异常检测反欺诈,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-10,保单信息整合与应收核算（待注册）,《应收明细清单》,数据表,,,,Auto,人工执行：保单信息整合与应收核算（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-11,银行到账确认与实收对账（待注册）,《实收清单》 + 《差异对照表》,数据表,,,,Auto,人工执行：银行到账确认与实收对账（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-12,应派金额拆分与渠道对账（待注册）,《应派清单》 + 《理财师对账单》,数据表,,,,Auto,,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-13,实派清单确认与财务制单（待注册）,《实派执行表》,数据表,,,,Auto,人工执行：实派清单确认与财务制单（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-14,财务付款执行（待注册）,银行转账回执 / 支票存根,凭证,,,,Auto,人工执行：财务付款执行（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-15,付款回执归档与台账更新（待注册）,《转介费派发确认台账》,数据表,,,,Auto,人工执行：付款回执归档与台账更新（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-16,佣金数据导入与格式转换（待注册）,结构化佣金数据表（供COM-01使用）,数据表,,,,Auto,人工执行：佣金数据导入与格式转换（待注册）,,,,,,,,,,1,2026-07-04,流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-17,IA合规拦截引擎,Excel + 回执PDF（批量）+ IA规则校验日志,凭证,,,,Aug,人工执行：IA合规拦截引擎,,,,,,,,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35_range,blueprint; D1范围表达式:L4-COM-03/14/15/17; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md"
L1-03,L3-COM,佣金全链路管理,佣金,active,,,L4-COM-18,收款映射版本管理,《收款映射版本管理记录》,数据表,,,,Auto,人工执行：收款映射版本管理,,,,,,,,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:blueprint; 蓝图:流程蓝图_L3-COM_佣金全链路管理_V1.0.md
L1-03,L3-CPM,流程持续监控与优化闭环管理,MGA,active,,,L4-CPM-01,监控指标与看板设计,《监控指标体系》,方案,,,,Hybrid,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-CPM,流程持续监控与优化闭环管理,MGA,active,,,L4-CPM-02,数据采集与实时监控,实时数据流,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-CPM,流程持续监控与优化闭环管理,MGA,active,,,L4-CPM-03,定期深度分析,《月度健康度报告》,报告,,,,Hybrid,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-CPM,流程持续监控与优化闭环管理,MGA,active,,,L4-CPM-04,优化建议评审,《优化决议》,决议,,,,Hybrid,,2,1,1,1,1,1,7,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-CPM,流程持续监控与优化闭环管理,MGA,active,,,L4-CPM-05,优化执行与闭环,《优化执行报告》,报告,,,,Auto,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-06,续约到期识别,合作伙伴到期审核记录,数据表,,,,Auto,,,,,,,,9,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-07,出单核查与续约资格判定,出单核查结果 + 续签/终止决定,数据表,,,,Hybrid,,,,,,,,9,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-08,续约前流失预警触发与介入,续约前流失预警报告,报告,,,,Hybrid,,,,,,,,7,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-09,续签DD重审,DD重审记录（续签专用）,数据表,,,,Aug,,,,,,,,6,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-10,续签合同签署,续签合同,合同,,,,Auto,,,,,,,,7,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-05,L3-CRR,合作伙伴续约管理,经代业务,active,,,L4-CRR-11,合约终止执行,合约终止通知 + 归档记录,合同,,,,Auto,,,,,,,,8,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,blueprint; 蓝图:流程蓝图_L3-CRR_合作伙伴续约管理_V1.2.md"
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-01,周度任务规划下达,《周度任务清单》,数据表,,,,Hybrid,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-02,任务执行与进度同步,任务进度数据,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-03,执行反馈收集,《执行反馈汇总》,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-04,问题识别与响应,《问题响应清单》,数据表,,,,Aug,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-05,周度闭环,周度闭环报告,报告,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-06,任务优先级动态调整,《优先级调整记录》,数据表,,,,Hybrid,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-07,跨机构任务依赖管理,《依赖图谱》,方案,,,,Aug,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-08,任务激励机制,《激励发放记录》,数据表,,,,Hybrid,,2,2,2,2,2,2,12,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-09,任务冲突裁定,《冲突裁定记录》,数据表,,,,Hybrid,人工执行：任务冲突裁定,1,0,0,0,0,2,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-10,机构自主任务纳管,《自主任务清单》,数据表,,,,Aug,,2,0,1,1,1,0,5,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-11,紧急任务绕过,《紧急任务处置》,方案,,,,Hybrid,人工执行：紧急任务绕过,1,0,0,0,0,2,3,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-03,L3-EFB,任务管控与执行反馈,MGA,active,,,L4-EFB-12,任务执行AI自动化,《AI自动化任务清单》,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-01,业绩数据与分级规则引擎,理财师分级清单,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,"L3来源:流程库状态监控表V3.5; L4来源:D1_V3.35,old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表"
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-02,分级公示与申诉,最终分级清单,数据表,,,,Hybrid,,3,2,3,3,2,2,15,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
L1-05,L3-EO,理财师权益分级与绩效监控,代理人,active,,,L4-EO-03,权益包配置与兑现,权益兑现记录,数据表,,,,Auto,,3,3,3,3,2,2,16,,,1,2026-07-04,L3来源:流程库状态监控表V3.5; L4来源:old_dim_process; 蓝图:流程蓝图_L3-EO_理财师权益分级与绩效监控_V1.0.md; 旧版溯源:L4溯源:原文档溯源:Agent评分 | L3来源:Agent清单+Agent评分+JD映射+介入点+归一化表+注册表
