signal_id,node_id,content,source,confidence,rule_subtype,completeness,l_layer,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,externalized,round,source_recording
SIG-0032,VN-FOB-01,L4 输出 《入职资料清单》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0033,VN-FOB-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0034,VN-FOB-02,子产物数量：1个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0035,VN-FOB-02,L4名称：新人90天培养计划启动,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0036,VN-FOB-02,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0037,VN-FOB-02,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0038,VN-FOB-02,频次：按需执行,Sheet2·频次,,C类,,,,,,,,,,
SIG-0039,VN-FOB-02,L4 输出 《入职资料清单》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0040,VN-FOB-02,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0041,VN-FOR-01,子产物数量：1个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0042,VN-FOR-01,L4名称：首单陪跑,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0043,VN-FOR-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0044,VN-FOR-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0045,VN-FOR-01,频次：日常持续积累,Sheet2·频次,,C类,,,,,,,,,,
SIG-0046,VN-FOR-01,L4 输出 《需求响应记录》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0047,VN-FOR-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0048,VN-FOR-02,子产物数量：1个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0049,VN-FOR-02,L4名称：BIU运营（恒常出单推动）,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0050,VN-FOR-02,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0051,VN-FOR-02,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0052,VN-FOR-02,频次：日常持续积累,Sheet2·频次,,C类,,,,,,,,,,
SIG-0053,VN-FOR-02,L4 输出 《需求响应记录》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0054,VN-FOR-02,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0055,VN-FPG-01,子产物数量：1个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0056,VN-FPG-01,L4名称：1.月度；2.季度考核指标设定,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0057,VN-FPG-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0058,VN-FPG-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0059,VN-FPG-01,频次：每月1次,Sheet2·频次,,C类,,,,,,,,,,
SIG-0060,VN-FPG-01,L4 输出 《月度/季度考核指标表》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0061,VN-FPG-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0062,VN-FPG-02,子产物数量：1个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0063,VN-FPG-02,L4名称：权益兑现与激励方案,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0064,VN-FPG-02,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0065,VN-FPG-02,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0066,VN-FPG-02,频次：每月1次,Sheet2·频次,,C类,,,,,,,,,,
SIG-0067,VN-FPG-02,L4 输出 《月度/季度考核指标表》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0068,VN-FPG-02,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0069,VN-FTR-01,子产物数量：4个,Sheet2·子产物数量,,A类,,,,,,,,,,
SIG-0070,VN-FTR-01,L4名称：1.新人班；2.产品培训；3.销售陪访；4.晋升培训,Sheet2·L4名称,,A类,,,,,,,,,,
SIG-0071,VN-FTR-01,L4现状：正常,Sheet2·L4现状,,A类,,,,,,,,,,
SIG-0072,VN-FTR-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0073,VN-FTR-01,频次：每月1次,Sheet2·频次,,C类,,,,,,,,,,
SIG-0074,VN-FTR-01,L4 输出 《新人班培训记录》+《培训签到表》，支撑流程闭环,Sheet2·价值属性,,C类,,,,,,,,,,
SIG-0075,VN-FTR-01,数据验证状态：跑通中,Sheet2·数据验证,,C类,,,,,,,,,,
SIG-0076,VN-HR-03,节点编码 VN-HR-03，节点名称 绩效方案,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0077,VN-HR-03,L3端到端闭环：战略目标与绩效体系建立流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0078,VN-HR-03,L4名称：绩效管理机制(组织KPI的下达与测评)（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0079,VN-HR-03,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0080,VN-HR-03,子产物：绩效方案,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0081,VN-HR-03,M锚定：M0 数理基建、M2 KPI报表、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0082,VN-HR-03,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0083,VN-HR-03,频次：季度/月度(按考核周期),Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0084,VN-HR-03,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0085,VN-HR-03,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0086,VN-HR-04,节点编码 VN-HR-04，节点名称 人效分析报告,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0087,VN-HR-04,L3端到端闭环：人力分析与决策支持流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0088,VN-HR-04,L4名称：人效分析与对标（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0089,VN-HR-04,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0090,VN-HR-04,子产物：人效分析报告,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0091,VN-HR-04,M锚定：M0 数理基建、M2 KPI报表、M3 NGP,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0092,VN-HR-04,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0093,VN-HR-04,频次：季度/月度,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0094,VN-HR-04,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0095,VN-HR-04,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0096,VN-HR-05,节点编码 VN-HR-05，节点名称 人力资源诊断与改善建议报告,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0097,VN-HR-05,L3端到端闭环：人力分析与决策支持流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0098,VN-HR-05,L4名称：人力诊断报告与改善建议（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0099,VN-HR-05,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0100,VN-HR-05,子产物：人力资源诊断与改善建议报告,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0101,VN-HR-05,M锚定：M0 数理基建、M2 KPI报表、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0102,VN-HR-05,优先级：P0,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0103,VN-HR-05,频次：每年度或半年度一次,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0104,VN-HR-05,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0105,VN-HR-05,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0106,VN-HR-06,节点编码 VN-HR-06，节点名称 岗位编制方案,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0107,VN-HR-06,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0108,VN-HR-06,L4名称：定岗定编与岗位设计（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0109,VN-HR-06,子产物数量：2,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0110,VN-HR-06,子产物：岗位编制方案,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0111,VN-HR-06,子产物：岗位JD,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0112,VN-HR-06,M锚定：M0 数理基建、M1 中台运营、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0113,VN-HR-06,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0114,VN-HR-06,频次：每年度或半年度一次，组织调整变动时触发更新,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0115,VN-HR-06,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0116,VN-HR-06,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0117,VN-HR-07,节点编码 VN-HR-07，节点名称 员工劳动合同,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0118,VN-HR-07,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0119,VN-HR-07,L4名称：入职配置与合同签署（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0120,VN-HR-07,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0121,VN-HR-07,子产物：劳动合同/Offer,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0122,VN-HR-07,M锚定：M0 数理基建、M7 产品治理、M8 财务结算,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0123,VN-HR-07,优先级：P0,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0124,VN-HR-07,频次：按入职触发,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0125,VN-HR-07,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0126,VN-HR-07,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0127,VN-HR-08,节点编码 VN-HR-08，节点名称 员工成长路径方案,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0128,VN-HR-08,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0129,VN-HR-08,L4名称：在职培训与发展（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0130,VN-HR-08,子产物数量：2,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0131,VN-HR-08,子产物：员工成长路径方案,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0132,VN-HR-08,子产物：考核方案,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0133,VN-HR-08,M锚定：M2 KPI报表、M6 业务渗透、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0134,VN-HR-08,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0135,VN-HR-08,频次：每年度或半年度一次，入职/晋升/年度变动时触发更新,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0136,VN-HR-08,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0137,VN-HR-08,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0138,VN-HR-09,节点编码 VN-HR-09，节点名称 绩效考核结果,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0139,VN-HR-09,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0140,VN-HR-09,L4名称：绩效考核与结果应用（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0141,VN-HR-09,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0142,VN-HR-09,子产物：绩效考核结果,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0143,VN-HR-09,M锚定：M2 KPI报表、M7 产品治理、M8 财务结算,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0144,VN-HR-09,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0145,VN-HR-09,频次：季度/月度(按考核周期),Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0146,VN-HR-09,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0147,VN-HR-09,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0148,VN-HR-10,节点编码 VN-HR-10，节点名称 员工档案,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0149,VN-HR-10,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0150,VN-HR-10,L4名称：人员退出与档案归档（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0151,VN-HR-10,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0152,VN-HR-10,子产物：员工档案,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0153,VN-HR-10,M锚定：M0 数理基建、M2 KPI报表、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0154,VN-HR-10,优先级：P0,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0155,VN-HR-10,频次：日常持续积累，离职触发时归档,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0156,VN-HR-10,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0157,VN-HR-10,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0158,VN-HR-11,节点编码 VN-HR-11，节点名称 人工成本报表,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0159,VN-HR-11,L3端到端闭环：战略目标与绩效体系建立流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0160,VN-HR-11,L4名称：目标体系设计（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0161,VN-HR-11,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0162,VN-HR-11,子产物：人工成本报表,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0163,VN-HR-11,M锚定：M0 数理基建、M2 KPI报表、M8 财务结算,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0164,VN-HR-11,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0165,VN-HR-11,频次：每月1次,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0166,VN-HR-11,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0167,VN-HR-11,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0168,VN-HR-12,节点编码 VN-HR-12，节点名称 人员归属表,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0169,VN-HR-12,L3端到端闭环：战略目标与绩效体系建立流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0170,VN-HR-12,L4名称：目标体系设计（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0171,VN-HR-12,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0172,VN-HR-12,子产物：人员归属表,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0173,VN-HR-12,M锚定：M0 数理基建、M1 中台运营、M2 KPI报表,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0174,VN-HR-12,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0175,VN-HR-12,频次：每月1次,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0176,VN-HR-12,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0177,VN-HR-12,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0178,VN-HR-13,节点编码 VN-HR-13，节点名称 人员预算表,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0179,VN-HR-13,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0180,VN-HR-13,L4名称：人才招聘交付（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0181,VN-HR-13,子产物数量：1,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0182,VN-HR-13,子产物：月度人员预算表,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0183,VN-HR-13,M锚定：M0 数理基建、M1 中台运营、M8 财务结算,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0184,VN-HR-13,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0185,VN-HR-13,频次：每月1次,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0186,VN-HR-13,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0187,VN-HR-13,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0188,VN-HR-14,节点编码 VN-HR-14，节点名称 工资发放凭证,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0189,VN-HR-14,L3端到端闭环：人员全生命周期管理流程E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0190,VN-HR-14,L4名称：人才招聘交付（正常）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0191,VN-HR-14,子产物数量：2,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0192,VN-HR-14,子产物：工资发放记录,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0193,VN-HR-14,子产物：银行转账凭证,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0194,VN-HR-14,M锚定：M0 数理基建、M7 产品治理、M8 财务结算,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0195,VN-HR-14,优先级：P0,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0196,VN-HR-14,频次：每月1次,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0197,VN-HR-14,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0198,VN-HR-14,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0199,VN-HRD-01,节点编码 VN-HRD-01，节点名称 TR招聘入职确认,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0200,VN-HRD-01,L3端到端闭环：机构TR人力资源体系交付E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0201,VN-HRD-01,L4名称：人才招聘交付（新建）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0202,VN-HRD-01,子产物数量：4,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0203,VN-HRD-01,子产物：人员到位确认单,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0204,VN-HRD-01,子产物：背景调查报告,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0205,VN-HRD-01,子产物：劳动合同,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0206,VN-HRD-01,子产物：薪酬确认,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0207,VN-HRD-01,M锚定：M1 中台运营,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0208,VN-HRD-01,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0209,VN-HRD-01,频次：日常持续积累,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0210,VN-HRD-01,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0211,VN-HRD-01,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0212,VN-HRD-02,节点编码 VN-HRD-02，节点名称 TR培训完成声明,Sheet1·价值节点总览,,A类,,,,,,,,,,
SIG-0213,VN-HRD-02,L3端到端闭环：机构TR人力资源体系交付E2E,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0214,VN-HRD-02,L4名称：人力资源体系建设（新建）,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0215,VN-HRD-02,子产物数量：4,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0216,VN-HRD-02,子产物：持续专业培训声明书,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0217,VN-HRD-02,子产物：培训记录表,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0218,VN-HRD-02,子产物：培训证书,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0219,VN-HRD-02,子产物：Quarterly Declaration,Sheet2·构成子产物,,A类,,,,,,,,,,
SIG-0220,VN-HRD-02,M锚定：M1 中台运营、M7 产品治理,Sheet1·M锚定,,A类,,,,,,,,,,
SIG-0221,VN-HRD-02,优先级：P1,Sheet2·裁定优先级,,A类,,,,,,,,,,
SIG-0222,VN-HRD-02,频次：日常持续积累,Sheet2·节点详情卡,,A类,,,,,,,,,,
SIG-0223,VN-HRD-02,暂无调研覆盖，全部待访谈,—,,B类,,,,,,,,,,
SIG-0224,VN-HRD-02,暂无调研覆盖，全部待访谈,—,,C类,,,,,,,,,,
SIG-0225,VN-INS-01,子产物数量：1个,s2·子产物数量,,A类,,,,,,,,,,
SIG-0226,VN-INS-01,构成子产物：可行性报告,s1·构成子产物,,A类,,,,,,,,,,
SIG-0227,VN-INS-01,L4名称：意向确认与可行性报告,s2·L4名称,,A类,,,,,,,,,,
SIG-0228,VN-INS-01,L4现状：正常,s2·L4现状,,A类,,,,,,,,,,
SIG-0229,VN-INS-01,物理形态：Word/PDF报告,s1/s2·物理形态,,A类,,,,,,,,,,
SIG-0230,VN-INS-01,M锚定：1.M0 数理基建 / 2.M4 业务渗透,s1/s2·M锚定,,A类,,,,,,,,,,
SIG-0231,VN-INS-01,频次：每季度1次,s2·频次,,A类,,,,,,,,,,
SIG-0232,VN-INS-01,优先级(裁定)：P1,s2·裁定优先级,,A类,,,,,,,,,,
SIG-0233,VN-INS-01,价值属性：可行性报告为终点交付物，但实际不存在；Mark确认后保留框架标记待建设,s2·价值属性,,A类,,,,,,,,,,
SIG-0234,VN-INS-01,物理对应：框架待建设（实际不存在）,s2·物理对应,,A类,,,,,,,,,,
SIG-0235,VN-INS-01,数据验证：跑通中,s2·数据验证,,A类,,,,,,,,,,
SIG-0236,VN-INS-01,INS域暂无任何访谈覆盖，所有规则线索待调研,无访谈数据,,B类,,,,,,,,,,
SIG-0237,VN-INS-01,生产部门/岗位/消费主体/消费对象待源头校准,s2数据字段为空,,B类,,,,,,,,,,
SIG-0238,VN-INS-01,审批流程、异常处理、SLA等运营规则待访谈确认,无访谈数据,,B类,,,,,,,,,,
SIG-0239,VN-INS-01,KPI锚定：待调研确认,kpi段数据,,C类,,,,,,,,,,
SIG-0240,VN-INS-01,Gate存在FAIL项（Gate①=FAIL，Gate②=FAIL，Gate③=FAIL），需关注补齐,s2·Gate状态,,C类,,,,,,,,,,
SIG-0241,VN-INS-02,子产物数量：2个,s2·子产物数量,,A类,,,,,,,,,,
SIG-0242,VN-INS-02,构成子产物：1.已签署合同，2.监管备案号,s1·构成子产物,,A类,,,,,,,,,,
SIG-0243,VN-INS-02,L4名称：合同签署与监管备案,s2·L4名称,,A类,,,,,,,,,,
SIG-0244,VN-INS-02,L4现状：正常,s2·L4现状,,A类,,,,,,,,,,
SIG-0245,VN-INS-02,M锚定：1.M7 产品治理 / 2.M8 财务结算,s1/s2·M锚定,,A类,,,,,,,,,,
SIG-0246,VN-INS-02,频次：按需执行,s2·频次,,A类,,,,,,,,,,
SIG-0247,VN-INS-02,优先级(裁定)：P0,s2·裁定优先级,,A类,,,,,,,,,,
SIG-0248,VN-INS-02,价值属性：已签合同和授权书为实际存在的物理交付物， handed over to 合同管理系统,s2·价值属性,,A类,,,,,,,,,,
SIG-0249,VN-INS-02,物理对应：PDF签章文件+授权凭证,s2·物理对应,,A类,,,,,,,,,,
