sop_ref,coding_scheme,domain,sop_title,sop_version,sop_status,generation_date,gap_total,gap_open,gap_resolved,sop_file,last_synced
VN-HR-04,VN价值节点,HR,VN-HR-04 · 绩效考核结果存档与晋调薪应用 v0.1,,草稿中,2026-07-03,5,2,0,SOP_VN-HR-04_绩效考核结果存档与晋调薪_v0.1.md,2026-07-25
VN-HR-07,VN价值节点,HR,VN-HR-07 · TR招聘与入职流程 v0.1,,草稿中,2026-07-03,3,2,0,SOP_VN-HR-07_TR招聘与入职流程_v0.1.md,2026-07-25
VN-HR-09,VN价值节点,HR,VN-HR-09 · 绩效考核结果 v0.1,,草稿中,2026-07-09,3,2,0,SOP_VN-HR-09_绩效考核结果_v0.1.md,2026-07-25
VN-HR-11,VN价值节点,HR,VN-HR-11 · 人工成本报表 v0.1,,草稿中,2026-07-09,4,3,0,SOP_VN-HR-11_人工成本报表_v0.1.md,2026-07-25
VN-HR-12,VN价值节点,HR,VN-HR-12 · 人员归属表 v0.1,,草稿中,2026-07-09,3,2,0,SOP_VN-HR-12_人员归属表_v0.1.md,2026-07-25
VN-HR-13,VN价值节点,HR,VN-HR-13 · 人员预算表 v0.1,,草稿中（熔断节点VN-HR-06岗位编制方案，但本节点VN-HR-13为非熔断）,2026-07-09,3,2,0,SOP_VN-HR-13_人员预算表_v0.1.md,2026-07-25
VN-HR-14,VN价值节点,HR,VN-HR-14 · 工资发放凭证 v0.1,,草稿中,2026-07-09,2,0,0,SOP_VN-HR-14_工资发放凭证_v0.1.md,2026-07-25
VN-HRD-01,VN价值节点,HRD,VN-HRD-01 · TR招聘入职确认 v0.1,,草稿中,2026-07-09,2,0,0,SOP_VN-HRD-01_TR招聘入职确认_v0.1.md,2026-07-25
VN-HRD-02,VN价值节点,HRD,VN-HRD-02 · TR培训完成声明 v0.1,,草稿中,2026-07-09,2,0,0,SOP_VN-HRD-02_TR培训完成声明_v0.1.md,2026-07-25
VN-IBRD-01,VN价值节点,IBRD,· VN-IBRD-01 · 合作伙伴尽调与路径管理,v0.1,,,12,11,0,SOP_VN-IBRD-01_合作伙伴尽调与路径管理_v0.1.md,2026-07-25
VN-PAY-01,VN价值节点,PAY,· VN-PAY-01 · 市场佣金制作产出包,v0.2,,,25,25,0,SOP_VN-PAY-01_市场佣金制作产出包_v0.2.md,2026-07-25
VN-PAY-02,VN价值节点,PAY,· VN-PAY-02 · 转介费核算与应派,v0.1,,,18,18,0,SOP_VN-PAY-02_转介费核算与应派_v0.1.md,2026-07-25
VN-PAY-03,VN价值节点,PAY,· VN-PAY-03 · 应派清单三件套,v0.1,,,5,5,0,SOP_VN-PAY-03_应派清单三件套_v0.1.md,2026-07-25
VN-PAY-05,VN价值节点,PAY,· VN-PAY-05 · INVOICE / 激励结算单,v0.1,,,11,11,0,SOP_VN-PAY-05_INVOICE激励结算单_v0.1.md,2026-07-25
VN-PAY-07,VN价值节点,PAY,· VN-PAY-07 · 银行权益活动费对账单,v0.1,,,3,3,0,SOP_VN-PAY-07_银行权益活动费对账单_v0.1.md,2026-07-25
VN-XX,VN价值节点,,VN-XX-例会机制 · 月度/季度经营会议频次与组织形式 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-XX-例会机制_月度季度经营会议_v0.1.md,2026-07-25
VN-XX,VN价值节点,,VN-XX-季度激励 · 季度激励方案制定与预算红线 v0.1,,草稿中,2026-07-03,0,0,0,SOP_VN-XX-季度激励_季度激励方案制定_v0.1.md,2026-07-25
