node_id,domain,node_name,l3_flow,l3_status,priority,start_point,end_point,end_standard,frequency,l4_name,value_property,physical_correspondence,data_validation,producer,consumer,single_point_risk,composition,kpi_anchors,m_anchors,strategic_note,version,last_updated,source_file
VN-HR-05,HR,人力资源诊断与改善建议报告,人力分析与决策支持流程E2E,正常,P0,人效/成本/薪酬/流失率分析,《诊断报告》,改善行动可跟踪版,每年度或半年度一次,人力诊断报告与改善建议（正常）,,报告实体存在但改善闭环缺失,未验证,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,人力资源诊断与改善建议报告,诊断报告覆盖率、改善建议执行率、问题闭环率,M0 数理基建 / M2 KPI报表 / M7 产品治理（3个M闭环）,人力资源诊断与改善建议报告是HR域中的重要节点，涉及人力分析与决策支持流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-06,HR,岗位编制方案,人员全生命周期管理流程E2E,正常,P1,"1.业务目标
2.工作量分析",《岗位编制方案》,Mark/业务部门确认版,每年度或半年度一次，组织调整变动时触发更新,定岗定编与岗位设计（正常）,,方案存在但业务部门认可度低(半年未落地),未验证,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,岗位编制方案 + 岗位JD,编制准确率、岗位设计认可度、编制执行偏差率,M0 数理基建 / M1 中台运营 / M7 产品治理（3个M闭环）,岗位编制方案是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-07,HR,员工劳动合同,人员全生命周期管理流程E2E,正常,P0,招聘录用决策,1.《劳动合同》,"员工签字
2.公司盖章生效",按入职触发,入职配置与合同签署（正常）,,合同实体存在(双签盖章),跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,劳动合同/Offer,合同签署及时率、合同合规率、员工档案建档率,M0 数理基建 / M7 产品治理 / M8 财务结算（3个M闭环）,员工劳动合同是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-08,HR,员工成长路径方案,人员全生命周期管理流程E2E,正常,P1,"1.员工入职/晋升
2.岗位序列分析",《成长路径方案》,员工确认版,每年度或半年度一次，入职/晋升/年度变动时触发更新,在职培训与发展（正常）,,方案存在但覆盖率不足(18个月路径未成体系),未验证,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,员工成长路径方案 + 考核方案,成长路径覆盖率、路径方案执行率、员工晋升率,M2 KPI报表 / M6 业务渗透 / M7 产品治理（3个M闭环）,员工成长路径方案是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-09,HR,绩效考核结果,人员全生命周期管理流程E2E,正常,P1,"1.绩效方案目标
2.考核周期执行",《绩效考核结果》,被考核人确认版,季度/月度(按考核周期),绩效考核与结果应用（正常）,,考核结果记录存在,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,绩效考核结果,考核覆盖率、考核结果确认率、结果应用率(调薪、晋升、培训),M2 KPI报表 / M7 产品治理 / M8 财务结算（3个M闭环）,绩效考核结果是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-10,HR,员工档案,人员全生命周期管理流程E2E,正常,P0,员工入职,全生命周期记录积累 → 《员工档案》,离职归档版,日常持续积累，离职触发时归档,人员退出与档案归档（正常）,,档案存在但分散在各环节(未统一归档),跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,员工档案,档案完整率、档案准确率、档案查询响应时效,M0 数理基建 / M2 KPI报表 / M7 产品治理（3个M闭环）,员工档案是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-11,HR,人工成本报表,战略目标与绩效体系建立流程E2E,正常,P1,"1.人员成本数据采集
2.业务线归属确认",《人工成本报表》,财务/确认版,每月1次,目标体系设计（正常）,,"1.人工成本报表（按主体
2.业务线拆分）",跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,人工成本报表,报表准确率、报表及时率、数据完整率,M0 数理基建 / M2 KPI报表 / M8 财务结算（3个M闭环）,人工成本报表是HR域中的重要节点，涉及战略目标与绩效体系建立流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-12,HR,人员归属表,战略目标与绩效体系建立流程E2E,正常,P1,"1.Fiona提供员工名单
2.补充业务线归属",《人员归属表》,各部门确认版,每月1次,目标体系设计（正常）,,人员归属表（含业务线分配）,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,人员归属表,归属准确率、更新及时率、覆盖率,M0 数理基建 / M1 中台运营 / M2 KPI报表（3个M闭环）,人员归属表是HR域中的重要节点，涉及战略目标与绩效体系建立流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-13,HR,人员预算表,人员全生命周期管理流程E2E,正常,P1,"1.预计人数
2.薪酬结构
3.资金需求",《人员预算表》,财务确认版,每月1次,人才招聘交付（正常）,,月度人员预算表,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,月度人员预算表,预算准确率、预算提交及时率、资金准备充足率,M0 数理基建 / M1 中台运营 / M8 财务结算（3个M闭环）,人员预算表是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HR-14,HR,工资发放凭证,人员全生命周期管理流程E2E,正常,P0,"1.薪酬计算确认
2.资金到位",1.《工资发放凭证》,"员工确认
2.财务归档版",每月1次,人才招聘交付（正常）,,工资发放记录+银行转账凭证,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,工资发放记录 + 银行转账凭证,发放准确率、发放及时率、凭证完整率,M0 数理基建 / M7 产品治理 / M8 财务结算（3个M闭环）,工资发放凭证是HR域中的重要节点，涉及人员全生命周期管理流程E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HRD-01,HR,TR招聘入职确认,机构TR人力资源体系交付E2E,新建,P1,机构提出TR招聘需求,TR完成入职手续并确认薪酬,—,日常持续积累,人才招聘交付（新建）,,人员到位确认单+背景调查报告+劳动合同+薪酬确认,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,人员到位确认单 + 背景调查报告 + 劳动合同 + 薪酬确认,背调通过率、入职及时率、关键信息差错率,M1 中台运营（1个M闭环）,TR招聘入职确认是HR域中的重要节点，涉及机构TR人力资源体系交付E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-HRD-02,HR,TR培训完成声明,机构TR人力资源体系交付E2E,新建,P1,年度CPD培训计划制定,TR完成年度CPD时数并通过RO审核,—,日常持续积累,人力资源体系建设（新建）,,持续专业培训声明书+培训记录表+培训证书+Quarterly Declaration,跑通中,v2.0数据表中生产部门/生产岗位字段为空，暂无数据，待Terresa/HR校准,v2.0数据表中消费主体/消费对象字段为空，暂无数据，待Terresa/HR校准,待访谈确认,持续专业培训声明书 + 培训记录表 + 培训证书 + Quarterly Declaration,CPD完成率、道德、规例培训时数达标率、培训记录完整率,M1 中台运营 / M7 产品治理（2个M闭环）,TR培训完成声明是HR域中的重要节点，涉及机构TR人力资源体系交付E2E的核心产出，对组织的绩效管理/人力资源运营具有战略支撑作用。,v1.0(提取合集校准),2026-06-25,HR域_价值节点信号提取基线_v1.0.md
VN-INS-01,INS,可行性报告,保司合作接洽与评估E2E,正常,P1,1.保司市场情报 / 2.战略方向指示 / 3.历史接触记录,《可行性报告》 → 触发,Mark签批版,每季度1次,,可行性报告为终点交付物，但实际不存在；Mark确认后保留框架标记待建设,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,可行性报告,待调研确认,1.M0 数理基建 / 2.M4 业务渗透,INS域保司合作节点，保司合作接洽与评估E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-02,INS,已签合同+备案号,保司授权与合作框架E2E,正常,P0,合同终稿双方认可,1.合同生效 / 2.监管备案完成 → 触发,—,按需执行,,已签合同和授权书为实际存在的物理交付物， handed over to 合同管理系统,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,,待调研确认,1.M7 产品治理 / 2.M8 财务结算,INS域保司合作节点，保司授权与合作框架E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-03,INS,整合就绪确认书,保司资源整合与深度对接E2E,正常,P1,1.合同生效 / 2.DIM_License写入,《整合就绪确认书》 → 触发,签字版,按需执行,,整合就绪确认书为终点交付物，但目前为口头确认；建议升级为签字流程,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,整合就绪确认书,待调研确认,1.M6 业务渗透 / 2.M7 产品治理,INS域保司合作节点，保司资源整合与深度对接E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-04,INS,认证名单,保司业务运营赋能E2E,正常,P1,1.培训课程完成 / 2.认证考核通过,《认证名单》,保司确认版,日常持续积累,,能力基线报告为蓝图定义交付物，但Mark确认实际不做；赋能是持续运营非一次性,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,认证名单,待调研确认,M6 业务渗透,INS域保司合作节点，保司业务运营赋能E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-05,INS,Portfolio分析报告,保司产品上架与业务运营E2E,正常,P0,产品上架后多维业绩数据,《Portfolio分析报告》,管理层决策参考版,按需执行,,Portfolio管理报告为实际存在的周期性交付物,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,Portfolio分析报告,待调研确认,1.M2 KPI报表 / 2.M6 业务渗透,INS域保司合作节点，保司产品上架与业务运营E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-06,INS,保司报告,保司市场反馈与数据回流E2E,正常,待确认,1.FCT_POLICY/FCT_SALES_ACTIVITY业绩数据 / 2.保司市场数据,《保司报告》 → 交付保司,脱敏合规版,周期性执行,,保司反馈为实际存在的周期性交付物，但调整建议书不存在,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,保司报告,待调研确认,1.M2 KPI报表 / 2.M6 业务渗透,INS域保司合作节点，保司市场反馈与数据回流E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-07,INS,调整建议书,保司市场反馈与数据回流E2E,正常,P1,1.保司报告 / 2.保司反馈记录 / 3.内部策略分析,1.《调整建议书》 → 对接L1-01 / 2.输入,战略层审阅版,周期性执行,,调整建议书为蓝图定义交付物，但Mark确认实际不存在；每次反馈都上报但无模板,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,调整建议书,待调研确认,1.M4 业务渗透 / 2.M7 产品治理,INS域保司合作节点，保司市场反馈与数据回流E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-08,INS,新合同/终止协议,保司绩效评估与续约决策E2E,正常,待确认,联合评估结论双方认可,签署完成 → 合同管理系统归档,—,每年1次,,新合同/终止协议为实际存在的物理交付物,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,新合同/终止协议,待调研确认,1.M7 产品治理 / 2.M8 财务结算,INS域保司合作节点，保司绩效评估与续约决策E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
VN-INS-09,INS,联合评估结论,保司绩效评估与续约决策E2E,正常,待确认,1.周期总结 / 2.流失预警 / 3.内部评估,《联合评估结论》,双方签字存档版,每年1次,,续约评估报告为实际存在的物理交付物,,,s2数据表中生产部门/生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,s2数据表中消费主体/消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,待调研确认,联合评估结论,待调研确认,1.M4 业务渗透 / 2.M7 产品治理,INS域保司合作节点，保司绩效评估与续约决策E2E，覆盖保司全生命周期管理的关键环节,v1.0(提取合集校准),2026-06-25,INS域_价值节点信号提取基线_v1.0.md
