mapping_id,node_id,domain_code,role_name,role_type,responsibility_mode,single_point_risk,source_field,source_doc
ROLE-0015,VN-FPG-02,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0016,VN-FPG-02,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0017,VN-FTR-01,FA,⚠ 待源头校准,生产方,,无法评估——缺少岗位和部门数据,信号2·生产方 （生产部门/生产岗位字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0018,VN-FTR-01,FA,⚠ 待源头校准,消费方,,,信号2·消费方 （消费主体/消费对象字段为空，无访谈覆盖）,FA域_价值节点信号提取基线_v1.0.md
ROLE-0019,VN-HR-03,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0020,VN-HR-03,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0021,VN-HR-03,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0022,VN-HR-03,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0023,VN-HR-03,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0024,VN-HR-03,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0025,VN-HR-04,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0026,VN-HR-04,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0027,VN-HR-04,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0028,VN-HR-04,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0029,VN-HR-04,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0030,VN-HR-04,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0031,VN-HR-05,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0032,VN-HR-05,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0033,VN-HR-05,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0034,VN-HR-05,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0035,VN-HR-05,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0036,VN-HR-05,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0037,VN-HR-06,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0038,VN-HR-06,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0039,VN-HR-06,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0040,VN-HR-06,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0041,VN-HR-06,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0042,VN-HR-06,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0043,VN-HR-07,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0044,VN-HR-07,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0045,VN-HR-07,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0046,VN-HR-07,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0047,VN-HR-07,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0048,VN-HR-07,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0049,VN-HR-08,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0050,VN-HR-08,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0051,VN-HR-08,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0052,VN-HR-08,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0053,VN-HR-08,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0054,VN-HR-08,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0055,VN-HR-09,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0056,VN-HR-09,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0057,VN-HR-09,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0058,VN-HR-09,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0059,VN-HR-09,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0060,VN-HR-09,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0061,VN-HR-10,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0062,VN-HR-10,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0063,VN-HR-10,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0064,VN-HR-10,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0065,VN-HR-10,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0066,VN-HR-10,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0067,VN-HR-11,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0068,VN-HR-11,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0069,VN-HR-11,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0070,VN-HR-11,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0071,VN-HR-11,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0072,VN-HR-11,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0073,VN-HR-12,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0074,VN-HR-12,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0075,VN-HR-12,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0076,VN-HR-12,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0077,VN-HR-12,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0078,VN-HR-12,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0079,VN-HR-13,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0080,VN-HR-13,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0081,VN-HR-13,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0082,VN-HR-13,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0083,VN-HR-13,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0084,VN-HR-13,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0085,VN-HR-14,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0086,VN-HR-14,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0087,VN-HR-14,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0088,VN-HR-14,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0089,VN-HR-14,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0090,VN-HR-14,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0091,VN-HRD-01,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0092,VN-HRD-01,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0093,VN-HRD-01,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0094,VN-HRD-01,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0095,VN-HRD-01,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0096,VN-HRD-01,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0097,VN-HRD-02,HR,v2.0数据表中生产部门,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0098,VN-HRD-02,HR,生产岗位字段为空，暂无数据，待Terresa,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0099,VN-HRD-02,HR,HR校准,生产方,,待访谈确认,信号2·生产方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0100,VN-HRD-02,HR,v2.0数据表中消费主体,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0101,VN-HRD-02,HR,消费对象字段为空，暂无数据，待Terresa,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0102,VN-HRD-02,HR,HR校准,消费方,,,信号2·消费方,HR域_价值节点信号提取基线_v1.0.md
ROLE-0103,VN-INS-01,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0104,VN-INS-01,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0105,VN-INS-01,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0106,VN-INS-01,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0107,VN-INS-02,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0108,VN-INS-02,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0109,VN-INS-02,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0110,VN-INS-02,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0111,VN-INS-03,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0112,VN-INS-03,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0113,VN-INS-03,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0114,VN-INS-03,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0115,VN-INS-04,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0116,VN-INS-04,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0117,VN-INS-04,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0118,VN-INS-04,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0119,VN-INS-05,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0120,VN-INS-05,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0121,VN-INS-05,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0122,VN-INS-05,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0123,VN-INS-06,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0124,VN-INS-06,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0125,VN-INS-06,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0126,VN-INS-06,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0127,VN-INS-07,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0128,VN-INS-07,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0129,VN-INS-07,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0130,VN-INS-07,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0131,VN-INS-08,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0132,VN-INS-08,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0133,VN-INS-08,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0134,VN-INS-08,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0135,VN-INS-09,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0136,VN-INS-09,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0137,VN-INS-09,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0138,VN-INS-09,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0139,VN-INS-10,INS,s2数据表中生产部门,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0140,VN-INS-10,INS,生产岗位字段为空，INS域暂无访谈覆盖，无法获取岗位信息,生产方,,待调研确认,信号2·生产方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0141,VN-INS-10,INS,s2数据表中消费主体,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0142,VN-INS-10,INS,消费对象字段为空，INS域暂无访谈覆盖，无法确认消费链路,消费方,,,信号2·消费方,INS域_价值节点信号提取基线_v1.0.md
ROLE-0143,VN-KAEM-01,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0144,VN-KAEM-01,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0145,VN-KAEM-01,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0146,VN-KAEM-01,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0147,VN-KAEM-01,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0148,VN-KAEM-01,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0149,VN-KAEM-02,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0150,VN-KAEM-02,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0151,VN-KAEM-02,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0152,VN-KAEM-02,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0153,VN-KAEM-02,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0154,VN-KAEM-02,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0155,VN-KAET-01,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0156,VN-KAET-01,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0157,VN-KAET-01,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0158,VN-KAET-01,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0159,VN-KAET-01,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0160,VN-KAET-01,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0161,VN-KAGA-01,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0162,VN-KAGA-01,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0163,VN-KAGA-01,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0164,VN-KAGA-01,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0165,VN-KAGA-01,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0166,VN-KAGA-01,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0167,VN-KAOP-01,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0168,VN-KAOP-01,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0169,VN-KAOP-01,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0170,VN-KAOP-01,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0171,VN-KAOP-01,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0172,VN-KAOP-01,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0173,VN-KASC-01,KA,生产部门,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0174,VN-KASC-01,KA,生产岗位字段为空，待Terresa,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0175,VN-KASC-01,KA,HR校准后录入,生产方,,暂无法评估（岗位数据缺失）,信号2·生产方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0176,VN-KASC-01,KA,消费主体,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0177,VN-KASC-01,KA,消费对象字段为空，待Terresa,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0178,VN-KASC-01,KA,HR校准后录入,消费方,,,信号2·消费方,KA域_价值节点信号提取基线_v1.0.md
ROLE-0179,VN-IBRD-01,PARTNER,-,生产方,,**中等**——/测算侧承担从评估到签单的全链路，关键节点有CO/合规双人复核；但DD流程依赖线下文档和邮件，系统化程度低,"信号2·生产方 (Teresa)：AML查询、风险三级评估、DD年度更新、DD Form变更发布、合规审核
  - RO(全体)：DD Form审核、DD Form变更确认回执
  - 交付经理(Amy/等)：签单执行、首单支持、培训赋能、客情维护
  - Speaker 4：RO协调",PARTNER域_价值节点信号提取基线_v1.0.md
