deliverable_id,node_id,node_name,domain_code,deliverable_name,producer_role,consumer,gate_status,l_layer,sub_product_index,sub_product_total,is_fused,source,recording_file,transcript_date,owner_confirm_date,upload_status
DLV-0016,VN-EQ-09,权益上市推广素材,EQ,权益上市海报,,,🔴熔断,,1,3,,待访谈确认,,,,
DLV-0017,VN-EQ-09,权益上市推广素材,EQ,上市PPT,,,🔴熔断,,2,3,,待访谈确认,,,,
DLV-0018,VN-EQ-09,权益上市推广素材,EQ,宣达文案,,,🔴熔断,,3,3,,待访谈确认,,,,
DLV-0019,VN-EQ-10,理财师分级清单,EQ,理财师分级结果公示清单,,理财师 / 天领运营,🟢正常,L4层,1,1,,待访谈确认,,,,
DLV-0020,VN-FBA-01,月度/季度经营分析报告,FA,L4组成,,,非熔断,,1,1,,Sheet2·L4名称,,,,
DLV-0021,VN-FLM-01,[🔴熔断] 招募计划与执行记录,FA,L4组成,,,🔴熔断,,1,1,,Sheet2·L4名称,,,,
DLV-0022,VN-FOB-01,转介协议及附属协议签署版,FA,L4组成,,,非熔断,,1,1,,Sheet2·L4名称,,,,
DLV-0023,VN-FOB-02,新人90天培养计划,FA,（补充说明）,,,非熔断,,1,2,,Sheet1·子产物补充,,,,
DLV-0024,VN-FOB-02,新人90天培养计划,FA,L4组成,,,非熔断,,2,2,,Sheet2·L4名称,,,,
DLV-0025,VN-FOR-01,首单陪跑记录,FA,（补充说明）,,,非熔断,,1,2,,Sheet1·子产物补充,,,,
DLV-0026,VN-FOR-01,首单陪跑记录,FA,L4组成,,,非熔断,,2,2,,Sheet2·L4名称,,,,
DLV-0027,VN-FOR-02,月度营销启发案,FA,（补充说明）,,,非熔断,,1,2,,Sheet1·子产物补充,,,,
DLV-0028,VN-FOR-02,月度营销启发案,FA,L4组成,,,非熔断,,2,2,,Sheet2·L4名称,,,,
DLV-0029,VN-FPG-01,[🔴熔断] 月度/季度考核指标表,FA,（补充说明）,,,🔴熔断,,1,2,,Sheet1·子产物补充,,,,
DLV-0030,VN-FPG-01,[🔴熔断] 月度/季度考核指标表,FA,L4组成,,,🔴熔断,,2,2,,Sheet2·L4名称,,,,
DLV-0031,VN-FPG-02,季度激励方案,FA,（补充说明）,,,非熔断,,1,2,,Sheet1·子产物补充,,,,
DLV-0032,VN-FPG-02,季度激励方案,FA,L4组成,,,非熔断,,2,2,,Sheet2·L4名称,,,,
DLV-0033,VN-FTR-01,培训课程体系（含配套工具）,FA,L4组成,,,非熔断,,1,1,,Sheet2·L4名称,,,,
DLV-0034,VN-HR-03,绩效方案,HR,绩效方案,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0035,VN-HR-04,人效分析报告,HR,人效分析报告,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0036,VN-HR-05,人力资源诊断与改善建议报告,HR,人力资源诊断与改善建议报告,,,非熔断,,1,1,,Sheet2·构成子产物,,,,
DLV-0037,VN-HR-06,岗位编制方案,HR,岗位编制方案,,,非熔断,L4层,1,2,,Sheet2·构成子产物,,,,
DLV-0038,VN-HR-06,岗位编制方案,HR,岗位JD,,,非熔断,L4层,2,2,,Sheet2·构成子产物,,,,
DLV-0039,VN-HR-07,员工劳动合同,HR,劳动合同/Offer,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0040,VN-HR-08,员工成长路径方案,HR,员工成长路径方案,,,非熔断,,1,2,,Sheet2·构成子产物,,,,
DLV-0041,VN-HR-08,员工成长路径方案,HR,考核方案,,,非熔断,,2,2,,Sheet2·构成子产物,,,,
DLV-0042,VN-HR-09,绩效考核结果,HR,绩效考核结果,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0043,VN-HR-10,员工档案,HR,员工档案,,,非熔断,,1,1,,Sheet2·构成子产物,,,,
DLV-0044,VN-HR-11,人工成本报表,HR,人工成本报表,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0045,VN-HR-12,人员归属表,HR,人员归属表,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0046,VN-HR-13,人员预算表,HR,月度人员预算表,,,非熔断,L4层,1,1,,Sheet2·构成子产物,,,,
DLV-0047,VN-HR-14,工资发放凭证,HR,工资发放记录,,,非熔断,L4层,1,2,,Sheet2·构成子产物,,,,
DLV-0048,VN-HR-14,工资发放凭证,HR,银行转账凭证,,,非熔断,L4层,2,2,,Sheet2·构成子产物,,,,
DLV-0049,VN-HRD-01,TR招聘入职确认,HR,人员到位确认单,,,非熔断,L4层,1,4,,Sheet2·构成子产物,,,,
DLV-0050,VN-HRD-01,TR招聘入职确认,HR,背景调查报告,,,非熔断,L4层,2,4,,Sheet2·构成子产物,,,,
DLV-0051,VN-HRD-01,TR招聘入职确认,HR,劳动合同,,,非熔断,L4层,3,4,,Sheet2·构成子产物,,,,
DLV-0052,VN-HRD-01,TR招聘入职确认,HR,薪酬确认,,,非熔断,L4层,4,4,,Sheet2·构成子产物,,,,
DLV-0053,VN-HRD-02,TR培训完成声明,HR,持续专业培训声明书,,,非熔断,L4层,1,4,,Sheet2·构成子产物,,,,
DLV-0054,VN-HRD-02,TR培训完成声明,HR,培训记录表,,,非熔断,L4层,2,4,,Sheet2·构成子产物,,,,
DLV-0055,VN-HRD-02,TR培训完成声明,HR,培训证书,,,非熔断,L4层,3,4,,Sheet2·构成子产物,,,,
DLV-0056,VN-HRD-02,TR培训完成声明,HR,Quarterly Declaration,,,非熔断,L4层,4,4,,Sheet2·构成子产物,,,,
DLV-0057,VN-INS-01,可行性报告,INS,可行性报告,,,🔴熔断,,1,1,,s1·构成子产物,,,,
DLV-0058,VN-INS-03,整合就绪确认书,INS,整合就绪确认书,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0059,VN-INS-04,认证名单,INS,认证名单,,,🔴熔断,,1,1,,s1·构成子产物,,,,
DLV-0060,VN-INS-05,Portfolio分析报告,INS,Portfolio分析报告,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0061,VN-INS-06,保司报告,INS,保司报告,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0062,VN-INS-07,调整建议书,INS,调整建议书,,,🔴熔断,,1,1,,s1·构成子产物,,,,
DLV-0063,VN-INS-08,新合同/终止协议,INS,新合同/终止协议,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0064,VN-INS-09,联合评估结论,INS,联合评估结论,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0065,VN-INS-10,周期总结报告,INS,周期总结报告,,,非熔断,,1,1,,s1·构成子产物,,,,
DLV-0066,VN-KAEM-01,KA培训完成记录,KA,培训签到表,,,[🔴熔断],,1,2,,Sheet2·构成子产物,,,,
DLV-0067,VN-KAEM-01,KA培训完成记录,KA,培训内容纪要,,,[🔴熔断],,2,2,,Sheet2·构成子产物,,,,
DLV-0068,VN-KAEM-02,KA资讯发放核销记录,KA,资讯配置清单,,,非熔断,,1,2,,Sheet2·构成子产物,,,,
DLV-0069,VN-KAEM-02,KA资讯发放核销记录,KA,RW系统核销记录,,,非熔断,,2,2,,Sheet2·构成子产物,,,,
DLV-0070,VN-KAET-01,KA评估定级记录,KA,KA评估定级记录模板,,,[🔴熔断],,1,1,,Sheet2·构成子产物,,,,
DLV-0071,VN-KAGA-01,KA业绩汇总,KA,KA业绩汇总报告,,,[🔴熔断],,1,1,,Sheet2·构成子产物,,,,
DLV-0072,VN-KAOP-01,KA上架就绪确认,KA,KA上架就绪确认清单,,,[🔴熔断],,1,1,,Sheet2·构成子产物,,,,
DLV-0073,VN-KASC-01,KA合同/协议签署版,KA,KA转介合同,,,非熔断,,1,2,,Sheet2·构成子产物,,,,
DLV-0074,VN-KASC-01,KA合同/协议签署版,KA,签章确认,,,非熔断,,2,2,,Sheet2·构成子产物,,,,
DLV-0075,VN-MGA-01,联合运营需求诊断包,PARTNER,重复机构检查报告,,,🔴熔断,,1,5,,Sheet2·构成子产物,,,,
DLV-0076,VN-MGA-01,联合运营需求诊断包,PARTNER,数字化成熟度报告,,,🔴熔断,,2,5,,Sheet2·构成子产物,,,,
DLV-0077,VN-MGA-01,联合运营需求诊断包,PARTNER,商机规模预测,,,🔴熔断,,3,5,,Sheet2·构成子产物,,,,
DLV-0078,VN-MGA-01,联合运营需求诊断包,PARTNER,战略匹配度评分,,,🔴熔断,,4,5,,Sheet2·构成子产物,,,,
DLV-0079,VN-MGA-01,联合运营需求诊断包,PARTNER,需求诊断报告,,,🔴熔断,,5,5,,Sheet2·构成子产物,,,,
DLV-0080,VN-MGA-02,联合运营框架方案,PARTNER,联合运营框架方案,,,🔴熔断,,1,3,,Sheet2·构成子产物,,,,
DLV-0081,VN-MGA-02,联合运营框架方案,PARTNER,定制化内容方案设计,,,🔴熔断,,2,3,,Sheet2·构成子产物,,,,
DLV-0082,VN-MGA-02,联合运营框架方案,PARTNER,(补充说明),,,🔴熔断,,3,3,,Sheet2,,,,
DLV-0083,VN-MGA-03,联合运营合约包,PARTNER,(补充说明),,,🔴熔断,,1,1,,Sheet2,,,,
DLV-0084,VN-RSJD-01,保单销售报告,PARTNER,客户需求分析,,,非熔断,,1,5,,Sheet2·构成子产物,,,,
DLV-0085,VN-RSJD-01,保单销售报告,PARTNER,产品对比,,,非熔断,,2,5,,Sheet2·构成子产物,,,,
DLV-0086,VN-RSJD-01,保单销售报告,PARTNER,风险披露,,,非熔断,,3,5,,Sheet2·构成子产物,,,,
DLV-0087,VN-RSJD-01,保单销售报告,PARTNER,知情同意,,,非熔断,,4,5,,Sheet2·构成子产物,,,,
DLV-0088,VN-RSJD-01,保单销售报告,PARTNER,计划书确认,,,非熔断,,5,5,,Sheet2·构成子产物,,,,
DLV-0089,VN-RSJD-03,审计报告,PARTNER,(补充说明),,,非熔断,,1,1,,Sheet2,,,,
DLV-0090,VN-URD-01,联合运营需求诊断报告,PARTNER,重复机构检查报告,,,🔴熔断,,1,5,,Sheet2·构成子产物,,,,
DLV-0091,VN-URD-01,联合运营需求诊断报告,PARTNER,数字化成熟度报告,,,🔴熔断,,2,5,,Sheet2·构成子产物,,,,
DLV-0092,VN-URD-01,联合运营需求诊断报告,PARTNER,商机规模预测,,,🔴熔断,,3,5,,Sheet2·构成子产物,,,,
DLV-0093,VN-URD-01,联合运营需求诊断报告,PARTNER,战略匹配度评分,,,🔴熔断,,4,5,,Sheet2·构成子产物,,,,
DLV-0094,VN-URD-01,联合运营需求诊断报告,PARTNER,需求诊断报告,,,🔴熔断,,5,5,,Sheet2·构成子产物,,,,
DLV-0095,VN-ASD-02,售后服务质量监控报告,PARTNER,投诉量统计,,,非熔断,,1,4,,Sheet2·构成子产物,,,,
DLV-0096,VN-ASD-02,售后服务质量监控报告,PARTNER,处理时效,,,非熔断,,2,4,,Sheet2·构成子产物,,,,
DLV-0097,VN-ASD-02,售后服务质量监控报告,PARTNER,整改建议,,,非熔断,,3,4,,Sheet2·构成子产物,,,,
DLV-0098,VN-ASD-02,售后服务质量监控报告,PARTNER,服务质量评分,,,非熔断,,4,4,,Sheet2·构成子产物,,,,
DLV-0099,VN-PAY-01,市场佣金制作产出包,PAY,季度源头佣金表,[佣金制表执行岗] / [佣金数据录入岗],对账环节 / 应派计算 / 产品策略复盘,非熔断,L4层,1,3,,Sheet2·构成子产物,,,,
DLV-0100,VN-PAY-01,市场佣金制作产出包,PAY,市场佣金表,[佣金制表执行岗],对账环节 / 应派计算 / 产品策略复盘,非熔断,L4层,2,3,,Sheet2·构成子产物,,,,
DLV-0101,VN-PAY-01,市场佣金制作产出包,PAY,源头PDF合订,[佣金数据录入岗],录入归档,非熔断,L4层,3,3,,Sheet1·物理形态,,,,
DLV-0102,VN-PAY-02,佣金实收确认表,PAY,应收佣金核对表,[佣金对账执行岗],应派计算 / 财务出账,非熔断,L4层,1,3,,Sheet2·构成子产物,,,,
DLV-0103,VN-PAY-02,佣金实收确认表,PAY,实收佣金对账表,[佣金对账执行岗],应派计算 / 财务出账,非熔断,L4层,2,3,,Sheet2·构成子产物,,,,
DLV-0104,VN-PAY-02,佣金实收确认表,PAY,银行回单截图,[佣金对账执行岗],审计追溯 / 归档,非熔断,L4层,3,3,,Sheet1·物理形态,,,,
DLV-0105,VN-PAY-03,应派清单三件套,PAY,应派给理财师,[应派计算执行岗] / [佣金对账执行岗],VN-PAY-04 实派执行环节,非熔断,L4层,1,3,,Sheet2·构成子产物,,,,
DLV-0106,VN-PAY-03,应派清单三件套,PAY,应派给销售员,[应派计算执行岗] / [佣金对账执行岗],VN-PAY-04 实派执行环节,非熔断,L4层,2,3,,Sheet2·构成子产物,,,,
DLV-0107,VN-PAY-03,应派清单三件套,PAY,争议留痕表,[佣金对账执行岗] / [应派计算执行岗],Mark签核 / 争议追溯,非熔断,L4层,3,3,,Sheet2·构成子产物,,,,
DLV-0108,VN-PAY-04,转介费派发确认台账,PAY,转介费派发表,,,🔴熔断,,1,3,,Sheet2·构成子产物,,,,
DLV-0109,VN-PAY-04,转介费派发确认台账,PAY,银行付款回执包,,,🔴熔断,,2,3,,Sheet2·构成子产物,,,,
DLV-0110,VN-PAY-04,转介费派发确认台账,PAY,IA合规留痕,,,🔴熔断,,3,3,,Sheet2·构成子产物,,,,
DLV-0111,VN-PAY-05,INVOICE/激励结算单,PAY,INVOICE对账单,[应派计算执行岗] / [服务台账管理岗],VN-PAY-06 综合应派计算,非熔断,L4层,1,2,,Sheet2·构成子产物,,,,
DLV-0112,VN-PAY-05,INVOICE/激励结算单,PAY,经纪人激励结算单,[应派计算执行岗] / [服务台账管理岗],VN-PAY-06 综合应派计算,非熔断,L4层,2,2,,Sheet2·构成子产物,,,,
DLV-0113,VN-PAY-06,理财师综合应派计算清单,PAY,佣金应派,,,🔴熔断,,1,5,,Sheet2·构成子产物,,,,
DLV-0114,VN-PAY-06,理财师综合应派计算清单,PAY,服务应派,,,🔴熔断,,2,5,,Sheet2·构成子产物,,,,
DLV-0115,VN-PAY-06,理财师综合应派计算清单,PAY,奖金应派,,,🔴熔断,,3,5,,Sheet2·构成子产物,,,,
DLV-0116,VN-PAY-06,理财师综合应派计算清单,PAY,股权/分红应派,,,🔴熔断,,4,5,,Sheet2·构成子产物,,,,
DLV-0117,VN-PAY-06,理财师综合应派计算清单,PAY,四类协议附件,,,🔴熔断,,5,5,,Sheet1·物理形态,,,,
DLV-0118,VN-PAY-07,银行权益活动费对账单,PAY,活动费应收,[服务台账管理岗],M1中台运营 / M5 AI自动化,非熔断,L4层,1,3,,Sheet2·构成子产物,,,,
DLV-0119,VN-PAY-07,银行权益活动费对账单,PAY,活动费实收,[服务台账管理岗],M1中台运营 / M5 AI自动化,非熔断,L4层,2,3,,Sheet2·构成子产物,,,,
DLV-0120,VN-PAY-07,银行权益活动费对账单,PAY,活动凭证包,[服务台账管理岗],归档 / 审计追溯,非熔断,L4层,3,3,,Sheet2·构成子产物,,,,
DLV-0121,VN-PAY-08,报销凭证包,PAY,报销申请表,,,🔴熔断,,1,3,,Sheet2·构成子产物,,,,
DLV-0122,VN-PAY-08,报销凭证包,PAY,电子化凭证,,,🔴熔断,,2,3,,Sheet2·构成子产物,,,,
DLV-0123,VN-PAY-08,报销凭证包,PAY,审批留痕,,,🔴熔断,,3,3,,Sheet2·构成子产物,,,,
DLV-0124,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,体系外资金台账,,,🔴熔断,,1,2,,Sheet2·构成子产物,,,,
DLV-0125,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,BP V2缺失闭环映射,,,🔴熔断,,2,2,,Sheet2·构成子产物,,,,
DLV-0126,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,开户资料清单,,,🔴熔断,,1,7,,已文档化,,,,
DLV-0127,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,U盾登记台账,,,🔴熔断,,2,7,,已文档化,,,,
DLV-0128,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,月度对账单接收清单,,,🔴熔断,,3,7,,已文档化,,,,
DLV-0129,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,账户状态盘点表,,,🔴熔断,,4,7,,已文档化,,,,
DLV-0130,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,U盾变更/交接记录,,,🔴熔断,,5,7,,已文档化,,,,
DLV-0131,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,银行费用汇总表,,,🔴熔断,,6,7,,已文档化,,,,
DLV-0132,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,账户全生命周期档案袋,,,🔴熔断,,7,7,,已文档化,,,,
DLV-0133,VN-BAM-02,银行准入评估与支付工具管理记录,TREASURY,银行准入评估表,待源头校准,待源头校准（Signal2全空）,🟢非熔断,L4层,1,2,,已文档化,,,,
DLV-0134,VN-BAM-02,银行准入评估与支付工具管理记录,TREASURY,支票领用登记台账,待源头校准,待源头校准（Signal2全空）,🟢非熔断,L4层,2,2,,已文档化,,,,
DLV-0135,VN-CFM-01,现金流管理报告包,TREASURY,收款预测表,,,🔴熔断,,1,9,,已文档化,,,,
DLV-0136,VN-CFM-01,现金流管理报告包,TREASURY,周付款计划表,,,🔴熔断,,2,9,,已文档化,,,,
DLV-0137,VN-CFM-01,现金流管理报告包,TREASURY,缺口预警,,,🔴熔断,,3,9,,已文档化,,,,
DLV-0138,VN-CFM-01,现金流管理报告包,TREASURY,调度方案,,,🔴熔断,,4,9,,已文档化,,,,
DLV-0139,VN-CFM-01,现金流管理报告包,TREASURY,跨主体调拨审批单,,,🔴熔断,,5,9,,已文档化,,,,
DLV-0140,VN-CFM-01,现金流管理报告包,TREASURY,资金池监控表,,,🔴熔断,,6,9,,已文档化,,,,
DLV-0141,VN-CFM-01,现金流管理报告包,TREASURY,银行结余台账,,,🔴熔断,,7,9,,已文档化,,,,
DLV-0142,VN-CFM-01,现金流管理报告包,TREASURY,周度结余报表,,,🔴熔断,,8,9,,已文档化,,,,
DLV-0143,VN-CFM-01,现金流管理报告包,TREASURY,月度现金流预测报告,,,🔴熔断,,9,9,,已文档化,,,,
DLV-0144,VN-CFM-02,资金付款审批单,TREASURY,资金付款审批单,待源头校准,待源头校准（Signal2全空）,🟢非熔断,L4层,1,1,,已文档化,,,,
