node_id,node_name,l3_code,gate1_status,gate2_status,gate3_status,overall_judgment,source
VN-KASC-01,KA合同/协议签署版,L3-KASC,PASS,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-MGA-01,联合运营需求诊断包,L3-URD,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-MGA-02,联合运营框架方案,L3-URF,FAIL,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-MGA-03,联合运营合约包,L3-UCA,FAIL,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-NG-01,同行合作协议/合同终稿,L3-NG,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-PAY-01,市场佣金制作产出包,L3-COM,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-PAY-02,佣金实收确认表,L3-COM,PASS,PARTIAL,PASS,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-PAY-03,应派清单三件套,L3-COM,PASS,PASS,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-PAY-04,转介费派发确认台账,L3-COM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-PAY-06,理财师综合应派计算清单,L3-SVC,FAIL,PARTIAL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-PAY-08,报销凭证包,L3-EXP（新建）,FAIL,FAIL,PARTIAL,FAIL,process_analytics.dim_vn(数据仓库)
VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,L3-CFM,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-RCM-01,渠道信用评估报告,L3-RCM,PARTIAL,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-RCM-02,抽样保单审计报告终稿,L3-RCM,PARTIAL,PASS,PASS,PASS,process_analytics.dim_vn(数据仓库)
VN-RSJD-01,保单销售报告,L3-RSJD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-RSJD-02,保单合同,L3-RSJD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-RSJD-03,审计报告,L3-RSJD,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-01,目标市场深度分析报告,L3-MIO,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-02,批准的价值主张文档,L3-VPV,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-03,业务模型完整方案,L3-MED,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-04,客户获取作战地图,L3-CAS,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-05,正式风险登记册,L3-SRE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-06,市场进入KPI体系与目标值文档,L3-KPI,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SMPS-07,市场进入策略整合文档,L3-MEI,PARTIAL,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SSVA-01,服务对账单,L3-SSVA,PASS,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-SSVA-02,激励结算单,L3-SSVA,PASS,PARTIAL,PARTIAL,PARTIAL,process_analytics.dim_vn(数据仓库)
VN-URD-01,联合运营需求诊断报告,L3-URD,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-URD-02,合规风险评估报告,L3-URD,FAIL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-USV-01,TOI服务产品验证包,L3-USV,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
VN-USV-02,TOI合规准入放行包,L3-USV,PARTIAL,FAIL,FAIL,FAIL,process_analytics.dim_vn(数据仓库)
