node_id,node_name,l3_code,fused_status,priority,source
VN-HR-04,人效分析报告,L3-HRA,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-05,人力资源诊断与改善建议报告,L3-HRA,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-HR-06,岗位编制方案,L3-HRM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-07,员工劳动合同,L3-HRM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-HR-08,员工成长路径方案,L3-HRM,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-09,绩效考核结果,L3-HRM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-10,员工档案,L3-HRM,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-HR-11,人工成本报表,L3-SPE,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-12,人员归属表,L3-SPE,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-13,人员预算表,L3-HRM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-HR-14,工资发放凭证,L3-HRM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-IBRD-01,合作伙伴尽调记录,L3-IBRD,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-IBRD-02,合作伙伴合作复盘与决策记录,L3-IBRD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-INS-01,可行性报告,L3-IAO,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-INS-02,已签合同+备案号,L3-IAC-NEG,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-02,已签合同+备案号,L3-IAC-AUTH,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-03,整合就绪确认书,L3-IRI,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-INS-04,认证名单,L3-IBE,熔断,P0熔断,process_analytics.dim_vn(数据仓库)
VN-INS-05,Portfolio分析报告,L3-IPI-ONB,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-05,Portfolio分析报告,L3-IPI-OPS,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-06,保司报告,L3-IMF,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-07,调整建议书,L3-IMF,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-INS-08,新合同/终止协议,L3-IRR,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-09,联合评估结论,L3-IRR,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-INS-10,周期总结报告,L3-IRR,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-JOPD-01,联合运营项目交付完成包,L3-JOPD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-KAEM-01,KA培训完成记录,L3-KAEM,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-KAEM-02,KA资讯发放核销记录,L3-KAEM,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-KAET-01,KA评估定级记录,L3-KAET,熔断,P1候选,process_analytics.dim_vn(数据仓库)
VN-KAGA-01,KA业绩汇总,L3-KAGA,熔断,P1候选,process_analytics.dim_vn(数据仓库)
VN-KAOP-01,KA上架就绪确认,L3-KAOP,熔断,P1候选,process_analytics.dim_vn(数据仓库)
VN-KASC-01,KA合同/协议签署版,L3-KASC,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-MGA-01,联合运营需求诊断包,L3-URD,熔断,P1熔断,process_analytics.dim_vn(数据仓库)
VN-MGA-02,联合运营框架方案,L3-URF,熔断,P1熔断,process_analytics.dim_vn(数据仓库)
VN-MGA-03,联合运营合约包,L3-UCA,熔断,P1熔断,process_analytics.dim_vn(数据仓库)
VN-NG-01,同行合作协议/合同终稿,L3-NG,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-PAY-01,市场佣金制作产出包,L3-COM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-PAY-02,佣金实收确认表,L3-COM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-PAY-03,应派清单三件套,L3-COM,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-PAY-04,转介费派发确认台账,L3-COM,熔断,P0熔断,process_analytics.dim_vn(数据仓库)
VN-PAY-06,理财师综合应派计算清单,L3-SVC,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-PAY-08,报销凭证包,L3-EXP（新建）,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,L3-CFM,熔断,P0,process_analytics.dim_vn(数据仓库)
VN-RCM-01,渠道信用评估报告,L3-RCM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-RCM-02,抽样保单审计报告终稿,L3-RCM,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-RSJD-01,保单销售报告,L3-RSJD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-RSJD-02,保单合同,L3-RSJD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-RSJD-03,审计报告,L3-RSJD,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-SMPS-01,目标市场深度分析报告,L3-MIO,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SMPS-02,批准的价值主张文档,L3-VPV,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SMPS-03,业务模型完整方案,L3-MED,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SMPS-04,客户获取作战地图,L3-CAS,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SMPS-05,正式风险登记册,L3-SRE,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-SMPS-06,市场进入KPI体系与目标值文档,L3-KPI,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SMPS-07,市场进入策略整合文档,L3-MEI,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-SSVA-01,服务对账单,L3-SSVA,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-SSVA-02,激励结算单,L3-SSVA,非熔断,P0,process_analytics.dim_vn(数据仓库)
VN-URD-01,联合运营需求诊断报告,L3-URD,熔断,P1,process_analytics.dim_vn(数据仓库)
VN-URD-02,合规风险评估报告,L3-URD,熔断,P2,process_analytics.dim_vn(数据仓库)
VN-USV-01,TOI服务产品验证包,L3-USV,非熔断,P1,process_analytics.dim_vn(数据仓库)
VN-USV-02,TOI合规准入放行包,L3-USV,非熔断,P1,process_analytics.dim_vn(数据仓库)
