agent_code,agent_name,agent_type,agent_status,l3_primary,l4_count_covered,tech_stack,platform_path,owner_position_family,m4_priority,go_live_date,baseline_accuracy,baseline_throughput
agent-for-07,首单标准化方案库,Auto,规划中,L3-FOR,1,库维护,,,P0,,,
agent-for-08,客户异议应对话术库,Auto,规划中,L3-FOR,1,库维护+推荐,,,P0,,,
agent-for-09,陪跑问题快速响应,Aug,规划中,L3-FOR,1,工单+分级,,,P1,,,
agent-for-10,首单产品限定清单,Auto,规划中,L3-FOR,1,规则+审核,,,P0,,,
agent-for-11,首单失败复盘重陪,Hybrid,规划中,L3-FOR,1,复盘模板,,,P2,,,
agent-for-12,首单成功案例库,Auto,规划中,L3-FOR,1,结构化沉淀+搜索,,,P0,,,
agent-for-13,亲友单特殊处理,Hybrid,规划中,L3-FOR,1,合规规则,,,P2,,,
agent-fpg-01,基本法晋升评估,Auto,规划中,L3-FPG,1,规则引擎,,,P0,,,
agent-fpg-03,权益兑现执行,Auto,规划中,L3-FPG,1,调用L3-EO能力,,,P0,,,
agent-fpg-04,团队裂变支持,Hybrid,规划中,L3-FPG,1,启动包+支持,,,P2,,,
agent-fpg-05,晋升后效果回看,Auto,规划中,L3-FPG,1,数据分析,,,P0,,,
agent-fpg-06,团队长培训认证,Aug,规划中,L3-FPG,1,LMS+认证,,,P1,,,
agent-fpg-08,降级机制,Hybrid,规划中,L3-FPG,1,规则+处理,,,P2,,,
agent-fpg-09,跨团队流动,Aug,规划中,L3-FPG,1,规则+处理,,,P1,,,
agent-fpg-11,晋升后持续能力培养,Aug,规划中,L3-FPG,1,LMS+辅导,,,P1,,,
agent-fpg-12,团队长协作机制,Hybrid,规划中,L3-FPG,1,会议+沟通,,,P2,,,
agent-fpg-13,裂变质量控制,Auto,规划中,L3-FPG,1,数据分析,,,P0,,,
agent-ftr-01,培训路径分配,Aug,规划中,L3-FTR,1,规则+LMS,,,P1,,,
agent-ftr-02,理论课程学习,Auto,规划中,L3-FTR,1,LMS全自动,,,P0,,,
agent-ftr-03,实战沙龙与角色扮演,Hybrid,规划中,L3-FTR,1,AI模拟+数据,,,P2,,,
agent-ftr-04,商考与认证,Auto,规划中,L3-FTR,1,在线考试系统,,,P0,,,
agent-ftr-05,效果评估进入FOR,Aug,规划中,L3-FTR,1,评估模型,,,P1,,,
agent-ftr-06,学员基础分层,Auto,规划中,L3-FTR,1,测试+评分,,,P0,,,
agent-ftr-07,混合学习路径,Aug,规划中,L3-FTR,1,内容编排,,,P1,,,
agent-ftr-08,学习数据追踪,Auto,规划中,L3-FTR,1,LMS数据,,,P0,,,
agent-ftr-09,外部讲师引入,Hybrid,规划中,L3-FTR,1,资源库,,,P2,,,
agent-ftr-10,持续学习机制,Aug,规划中,L3-FTR,1,学分系统,,,P1,,,
agent-ftr-11,知识库题库维护,Aug,规划中,L3-FTR,1,版本管理+审核,,,P1,,,
agent-ftr-12,讲师评估与优胜劣汰,Aug,规划中,L3-FTR,1,数据+评分,,,P1,,,
agent-ftr-13,培训本地化,Aug,规划中,L3-FTR,1,多语言+差异,,,P1,,,
agent-hrd-01,人才招聘交付,Hybrid,规划中,L3-HRD,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-hrd-02,人力资源体系建设,Hybrid,规划中,L3-HRD,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-iac-02,合同草拟与内部审查,Aug,规划中,L3-IAC,1,模板+合规审查,,,P1,,,
agent-iac-03,保司反馈与谈判迭代,Hybrid,规划中,L3-IAC,1,版本对比+建议,,,P2,,,
agent-iac-05,合同启动与进入IPI,Auto,规划中,L3-IAC,1,自动触发下游,,,P0,,,
agent-iac-06,授权分级获取策略,Hybrid,规划中,L3-IAC,1,策略模板,,,P2,,,
agent-iac-08,多部门会签并行,Aug,规划中,L3-IAC,1,协作平台+追溯,,,P1,,,
agent-iac-09,合同履约前置准备,Aug,规划中,L3-IAC,1,checklist+跨部门,,,P1,,,
agent-iac-10,合同生效后信息同步,Auto,规划中,L3-IAC,1,自动分发,,,P0,,,
agent-iac-11,合同条款版本管理,Auto,规划中,L3-IAC,1,版本系统,,,P0,,,
agent-iac-12,跨境合同特殊处理,Hybrid,规划中,L3-IAC,1,合规库,,,P2,,,
agent-iao-01,目标保司识别优先级,Aug,规划中,L3-IAO,1,数据筛选+评分,,,P1,,,
agent-iao-02,首次接触与价值主张,Hybrid,规划中,L3-IAO,1,话术库+CRM,,,P2,,,
agent-iao-03,定制化能力展示,Hybrid,规划中,L3-IAO,1,材料生成,,,P2,,,
agent-iao-04,保司尽调与现场考察,Hybrid,规划中,L3-IAO,1,资料准备,,,P2,,,
agent-iao-06,保司决策链图谱,Aug,规划中,L3-IAO,1,关系挖掘+更新,,,P1,,,
agent-iao-07,竞品MGA排挤应对,Hybrid,规划中,L3-IAO,1,竞品分析,,,P2,,,
agent-iao-08,长周期关系维护,Hybrid,规划中,L3-IAO,1,触达系统+提醒,,,P2,,,
agent-iao-11,NDA与信息保密,Auto,规划中,L3-IAO,1,模板+合规,,,P0,,,
agent-iao-12,保司Pipeline动态管理,Auto,规划中,L3-IAO,1,CRM自动更新,,,P0,,,
agent-iao-13,失败保司二次机会,Aug,规划中,L3-IAO,1,机会池+触发,,,P1,,,
agent-ibe-04,赋能前能力基线诊断,Aug,规划中,L3-IBE,1,问卷+评估,,,P1,,,
agent-ibe-05,赋能成本分摊,Aug,规划中,L3-IBE,1,财务建模,,,P1,,,
agent-ibe-06,赋能退出机制,Hybrid,规划中,L3-IBE,1,流程模板,,,P2,,,
agent-ibe-07,方法论IP保护,Hybrid,规划中,L3-IBE,1,IP库+合同,,,P2,,,
agent-ibe-08,营销方案制定,Hybrid,规划中,L3-IBE,1,模板+数据,,,P2,,,
agent-ibe-09,营销活动执行,Aug,规划中,L3-IBE,1,自动化营销+数据,,,P1,,,
agent-ibe-10,营销ROI分析,Auto,规划中,L3-IBE,1,数据分析自动化,,,P0,,,
agent-ibe-11,赋能团队保护,Hybrid,规划中,L3-IBE,1,HR系统+法务,,,P2,,,
agent-ibe-12,跨保司经验复用,Auto,规划中,L3-IBE,1,结构化沉淀+搜索,,,P0,,,
agent-ibe-13,销售协同执行,Hybrid,规划中,L3-IBE,1,CRM+协同,,,P2,,,
agent-ibe-14,销售分佣激励结算,Auto,规划中,L3-IBE,1,规则+发放,,,P0,,,
agent-ibe-15,培训课程设计与交付,Aug,规划中,L3-IBE,1,LMS+内容生成,,,P1,,,
agent-ibe-16,培训认证与能力输出,Auto,规划中,L3-IBE,1,考试+认证,,,P0,,,
agent-ibec-01,深度需求诊断,Hybrid,规划中,L3-IBEC,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-ibec-02,线索管理与信息入库,Hybrid,规划中,L3-IBEC,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-ibpcr-01,合作复盘与决策,Hybrid,规划中,L3-IBPCR,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-ibrd-01,合作资格预审与流程启动,Hybrid,规划中,L3-IBRD,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-ibrd-02,项目沟通机制建立,Aug,规划中,L3-IBRD,1,规则引擎+数据处理+API调用,,,P1,,,
agent-ibrd-03,尽职调查执行,Hybrid,规划中,L3-IBRD,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-ibrd-04,业务目标量化,Aug,规划中,L3-IBRD,1,规则引擎+数据处理+API调用,,,P1,,,
agent-imed-01,服务需求提交,Hybrid,规划中,L3-IMED,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-imed-02,服务处理与执行,Hybrid,规划中,L3-IMED,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-imed-03,服务确认与反馈,Hybrid,规划中,L3-IMED,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-imf-01,数据采集与质量校验,Auto,规划中,L3-IMF,1,数据管道+校验,,,P0,,,
agent-imf-02,分析模型运行与洞察,Auto,规划中,L3-IMF,1,模型+自动分析,,,P0,,,
agent-imf-03,报告生成与合规审查,Aug,规划中,L3-IMF,1,模板+脱敏,,,P1,,,
agent-imf-04,报告交付与沟通会议,Hybrid,规划中,L3-IMF,1,会议系统,,,P2,,,
agent-imf-05,策略调整闭环L1-01,Hybrid,规划中,L3-IMF,1,数据+提议,,,P2,,,
agent-imf-06,实时数据接入看板,Auto,规划中,L3-IMF,1,数据管道+BI,,,P0,,,
agent-imf-07,定制化报告,Aug,规划中,L3-IMF,1,模板+配置,,,P1,,,
agent-imf-08,竞品对标脱敏处理,Aug,规划中,L3-IMF,1,脱敏+分析,,,P1,,,
agent-imf-09,预测分析,Auto,规划中,L3-IMF,1,ML模型,,,P0,,,
agent-imf-10,异常事件紧急通报,Auto,规划中,L3-IMF,1,告警+分发,,,P0,,,
agent-imf-11,数据安全与监管合规,Auto,规划中,L3-IMF,1,规则+审计,,,P0,,,
agent-imf-12,数据反向学习,Aug,规划中,L3-IMF,1,数据挖掘,,,P1,,,
agent-imf-13,多保司数据对比授权,Hybrid,规划中,L3-IMF,1,授权流程,,,P2,,,
agent-ipi-01,产品元数据录入配置,Auto,规划中,L3-IPI,1,结构化录入,,,P0,,,
agent-ipi-02,佣金政策拆解配置,Auto,规划中,L3-IPI,1,规则引擎+沙箱,,,P0,,,
agent-ipi-03,资源匹配至业务线,Aug,规划中,L3-IPI,1,规则路由,,,P1,,,
agent-ipi-04,试运行与小范围测试,Aug,规划中,L3-IPI,1,数据监控+反馈,,,P1,,,
agent-ipi-05,全面上架与发布,Aug,规划中,L3-IPI,1,自动化发布,,,P1,,,
agent-ipi-06,产品版本管理,Auto,规划中,L3-IPI,1,版本系统,,,P0,,,
agent-ipi-07,产品下架流程,Hybrid,规划中,L3-IPI,1,流程+清单,,,P2,,,
agent-ipi-08,Portfolio管理,Aug,规划中,L3-IPI,1,多维分析+对比,,,P1,,,
agent-ipi-09,产品异常事件处置,Hybrid,规划中,L3-IPI,1,告警+响应,,,P2,,,
agent-ipi-10,产品跨业务线迁移,Aug,规划中,L3-IPI,1,流程+配置,,,P1,,,
agent-ipi-11,产品与权益搭配运营,Aug,规划中,L3-IPI,1,推荐+定价,,,P1,,,
agent-ipi-12,业绩数据反馈,Auto,规划中,L3-IPI,1,数据管道,,,P0,,,
agent-ipi-13,产品客户体验监控,Auto,规划中,L3-IPI,1,NPS+数据,,,P0,,,
agent-iri-02,保司资源盘点,Aug,规划中,L3-IRI,1,清单生成+盘点,,,P1,,,
agent-iri-03,系统数据团队对接,Aug,规划中,L3-IRI,1,API+数据迁移,,,P1,,,
agent-iri-04,权限生效与配置,Auto,规划中,L3-IRI,1,系统配置自动化,,,P0,,,
agent-iri-05,整合就绪确认,Aug,规划中,L3-IRI,1,checklist+验证,,,P1,,,
agent-iri-06,保司IT系统深度对接,Aug,规划中,L3-IRI,1,API+SSO+联调,,,P1,,,
agent-iri-07,保司内部培训与换手,Hybrid,规划中,L3-IRI,1,培训材料+LMS,,,P2,,,
agent-irr-01,合作周期数据汇总,Auto,规划中,L3-IRR,1,数据聚合,,,P0,,,
agent-irr-02,内部联合评估,Aug,规划中,L3-IRR,1,多维评估+支持,,,P1,,,
agent-irr-05,决议执行与内部沟通,Aug,规划中,L3-IRR,1,自动分发,,,P1,,,
agent-irr-06,续约前流失预警,Auto,规划中,L3-IRR,1,ML模型+告警,,,P0,,,
agent-irr-07,续约条款升级谈判,Hybrid,规划中,L3-IRR,1,方案库+ROI,,,P2,,,
agent-irr-08,续约后100天成效,Aug,规划中,L3-IRR,1,里程碑+追溯,,,P1,,,
agent-irr-09,保司决策层变动应对,Hybrid,规划中,L3-IRR,1,情报+关系,,,P2,,,
agent-irr-11,终止后资产回收,Auto,规划中,L3-IRR,1,自动化回收,,,P0,,,
agent-irr-12,终止后关系维护,Hybrid,规划中,L3-IRR,1,关系系统,,,P2,,,
agent-jod-01,定制化方案设计,Hybrid,规划中,L3-JOD,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-jotm-01,项目团队组建,Hybrid,规划中,L3-JOTM,1,数据辅助+流程支持,,,P2,,,
agent-jotm-02,项目启动准备,Hybrid,规划中,L3-JOTM,1,数据辅助+流程支持,,,P2,,,
agent-jotm-03,业务方案交付,Hybrid,规划中,L3-JOTM,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaec-01,KA潜在客户拓展,Hybrid,规划中,L3-KAEC,1,数据辅助+流程支持,,,P2,,,
agent-kaec-02,线索管理,Hybrid,规划中,L3-KAEC,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaem-01,提供销售工具,Hybrid,规划中,L3-KAEM,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaem-02,提供销售培训,Hybrid,规划中,L3-KAEM,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-kaem-03,KA营销资源支持,Hybrid,规划中,L3-KAEM,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-kaet-01,画像描述,Hybrid,规划中,L3-KAET,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaet-02,需求分析,Aug,规划中,L3-KAET,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaet-03,KA复盘交接,Hybrid,规划中,L3-KAET,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaet-04,KA商务启动,Hybrid,规划中,L3-KAET,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaga-01,KA业绩反馈,Aug,规划中,L3-KAGA,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaga-02,KA业绩结算,Aug,规划中,L3-KAGA,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaga-03,业绩复盘,Hybrid,规划中,L3-KAGA,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaga-04,KA策略优化,Hybrid,规划中,L3-KAGA,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaoe-01,陪跑需求分析,Aug,规划中,L3-KAOE,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaoe-02,KA陪跑计划,Hybrid,规划中,L3-KAOE,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaoe-03,KA陪跑执行,Hybrid,规划中,L3-KAOE,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kaoe-04,KA业务跟进,Hybrid,规划中,L3-KAOE,1,数据辅助+流程支持,,,P2,,,
agent-kaop-01,合作档案管理,Hybrid,规划中,L3-KAOP,1,流程自动化+任务调度+状态跟踪,,,P2,,,
agent-kaop-02,系统配置,Aug,规划中,L3-KAOP,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaop-03,展业准备,Aug,规划中,L3-KAOP,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kaop-04,展业准备,Aug,规划中,L3-KAOP,1,规则引擎+数据处理+API调用,,,P1,,,
agent-kasc-01,商务谈判,Hybrid,规划中,L3-KASC,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-kasc-02,协议签订,Hybrid,规划中,L3-KASC,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-med-01,市场进入路径设计,Hybrid,规划中,L3-MED,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-med-02,KA画像与准入标准,Hybrid,规划中,L3-MED,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-med-03,定价策略设计,Hybrid,规划中,L3-MED,1,NLP生成+模板填充+格式转换,,,P2,,,
agent-med-04,商业模式与财务设计,Hybrid,规划中,L3-MED,1,NLP生成+模板填充+格式转换,,,P2,,,
