gap_id,node_id,node_name,domain,description,gap_type,gap_subtype,priority,extractability,status,resolution_note,linked_rule_id,linked_recording_md,sop_status,sop_field_affected,resolution_date
FA-G006,VN-FOR-02,月度营销启发案,FA,每月有营销启发案，但效果评估可能未系统化；与业绩数据的联动分析不足,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G007,VN-FPG-01,月度/季度考核指标表,FA,考核指标正在制定中，尚未定稿；不同月份重点未明确固化,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G008,VN-FPG-02,季度激励方案,FA,季度激励方案有执行，但与考核指标、晋升评估的联动不足,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G009,VN-FTR-01,培训课程体系（含配套工具）,FA,资料库通过微盘分发，但理财师需主动自取；缺乏按角色/阶段的精准推送机制,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
FA-G010,VN-FOB-01,转介协议,FA,"顾问身份的界定标准和权利/义务条款的更新机制未定义；""顾问""身份边界模糊可能导致与《转介协议》的责任重叠或条款冲突",制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
FA-G011,VN-FOB-01,转介协议,FA,协议包寄送总部归档的物理流转（邮寄时效/签收确认/归档完整性）无系统追踪,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
FA-G012,VN-FOB-01,权益协议,FA,协议约定的培训内容、达标标准与后续FTR培训体系的衔接接口未定义；签约培训承诺与培训执行完成之间（FOB→FTR）存在跨子域断链,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
FA-G013,VN-FOB-01,权益协议,FA,协议包寄送总部归档的物理流转（邮寄时效/签收确认/归档完整性）无系统追踪,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
FA-G014,VN-FOB-01,培训协议,FA,"权益包内容（佣金比例/福利条款）的条款变更通知机制未定义；权益版本与入职时间的对应关系无规则，存在""旧版权益适用新人""或""权益变更未通知""的版本错位风险",制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
FA-G015,VN-FOB-01,培训协议,FA,协议包寄送总部归档的物理流转（邮寄时效/签收确认/归档完整性）无系统追踪,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
FA-G016,VN-FOB-01,顾问协议签署版,FA,"协议模板的版本管控和法务审核流程未书面化；签署后寄总部归档的物理流转无系统追踪，存在""已签署但未归档""的断链风险",制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
FA-G017,VN-FOB-01,顾问协议签署版,FA,协议包寄送总部归档的物理流转（邮寄时效/签收确认/归档完整性）无系统追踪,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G001,VN-HR-09,,HR,考核结果停留在打分层面，业务上不知道得A和得C的人分别该涨多少工资,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G002,VN-HR-03,,HR,绩效方案制定环节缺少从公司战略到岗位KPI的标准化分解方法,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G003,VN-HR-03,,HR,绩效方案缺少统一模板和方法论,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G004,VN-HR-06,,HR,定岗定编缺少与业务部门达成共识的标准流程,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G005,VN-HR-06,,HR,JD缺少版本管理和变更后回溯至编制方案的规则,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G006,VN-HR-07,,HR,合同信息缺少字段化提取和与档案的自动关联,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G007,VN-HR-04,,HR,人效分析缺少标准分析维度和对标数据来源,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G008,VN-HRD-01,,HR,TR背调环节缺少异常情况的标准处理流程,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G009,VN-HRD-02,,HR,TR培训合规缺少时数不足和声明延迟的标准处理规则,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G010,VN-HR-11,,HR,人工成本报表缺少统一模板和数据采集标准,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G011,VN-HR-03,,HR,绩效方案的流程库定义和实际产出不一致,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G012,VN-HR-12,,HR,人员归属缺少业务线分配的标准判断规则,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G013,VN-HR-13,,HR,人员预算缺少人数和薪酬变动的标准化采集机制,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G014,VN-HR-14,,HR,工资发放缺少统一的薪酬计算规范和复核机制,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G015,VN-HR-14,,HR,银行转账凭证缺少归档检查标准,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G016,VN-HR-04,,HR,人效分析缺少从发现问题到跟进改善的闭环流程,流程空白,流程空白,P1,partial,,,,,未生成,,
HR-G017,VN-HRD-01,,HR,TR入职档案缺少标准模板,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G018,VN-HRD-02,,HR,TR季度合规声明缺少DB中的正式注册节点,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G019,VN-HR-04,,HR,人力分析体系需要从零建设,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G020,VN-HR-03,,HR,SPE流程的交付物需要重新定义和拆分,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G021,VN-HR-06,,HR,人员管理全流程缺少统一流程框架和档案体系,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
HR-G022,VN-HR-05,人力资源诊断与改善建议报告,HR,改善闭环:诊断→建议→执行→复盘全链路缺失,熔断缺口,三层递进暂停-需补建,P0,partial,,,,,未生成,,
HR-G023,VN-HR-08,员工成长路径方案,HR,VN-HR-08实际存在，交付物已确认，但成长路径体系化不足,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
HR-G024,VN-HR-10,员工档案,HR,档案集中化:各模块数据汇聚→统一员工档案→系统化管理缺失,熔断缺口,三层递进暂停-需补建,P0,partial,,,,,未生成,,
HR-G025,VN-HR-03,,HR,Excel/Word方案缺少版本留痕机制，方案变更无法追溯；被考核人确认环节无标准时限和确认格式；审批链（Mark→HR→业务部门）未书面固化,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G026,VN-HR-03,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G027,VN-HR-04,,HR,人力数据与财务数据对接无标准接口SOP；报告质量参差（400变800问题）——缺少数据核验标准与分析结论验证机制；分析结论无书面采纳流程和跟踪闭环,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G028,VN-HR-04,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G029,VN-HR-07,,HR,Gate②落地PARTIAL——入职与合同签署环节可能脱节（先入职后补签风险）；纸质合同归档标准化程度待验证；合同模板版本管理无书面规程；双签盖章的时效监控缺失,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G030,VN-HR-07,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G031,VN-HR-09,,HR,考核结果修改无版本审计轨迹（Excel环境下易被覆盖）；被考核人确认环节无强制催办和申诉机制；考核结果向薪酬/晋升/培训的下游传递无结构化流程,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G032,VN-HR-09,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G033,VN-HR-11,,HR,Gate③追溯PARTIAL——历史报表版本追溯困难，缺少系统化版本归档；数据采集与归属确认间的信息传递无书面SOP；财务确认无标准时限和反馈格式；M8财务结算锚定要求报表准确性高，但缺少对账校验机制,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G034,VN-HR-11,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G035,VN-HR-12,,HR,Gate③追溯PARTIAL——历史归属变更无审计版留痕；部门确认环节无书面签回机制，口头确认不可追溯；各业务线归属规则缺少标准化定义（不同部门理解不一）；归属数据与人工成本报表的联动校验未制度化,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G036,VN-HR-12,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G037,VN-HR-13,,HR,预算版本变更无逐版记录（虽Gate全PASS，版本管理非强约束）；HR与财务间数据确认依赖非正式沟通，无书面确认守则；预算偏差追踪与反馈机制未建立（超预算无事前预警）；缺少业务部门参与预算编制环节,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
HR-G038,VN-HR-13,,HR,待访谈确认（信号4无B/C类数据）,流程空白,C标签·验证盲区,P1,partial,open,,,,未生成,,
HR-G040,VN-HR-08,TR培训交付凭证标准,HR,TR培训完成声明仅有培训签到表，缺乏可证明培训效果的正式凭证（通关考试/能力认证）；未来与外部实体费用结算时存在凭证缺失风险,A类·信息缺失,信息缺失,P2,partial,,访谈（2026-07-03）确认当前交付物仅为签到表，建议建立TR培训通关考试机制,HR-R005,07-03 访谈：人力资源管理体系现状,未生成,,
HR-G041,VN-HR-11,,HR,人工成本报表的具体制作步骤/数据来源/各板块计算口径/验收标准均需向Fiona了解；当前受访人仅能描述概念结构（工资+奖金+社保福利等板块汇总），细节信息缺失,A类·信息缺失,信息缺失,P2,partial,open,,EFA003-R004,07-03 访谈：人力资源管理体系现状,草稿中,,
INS-G001,VN-INS-09,,INS,保司续约评估缺少标准化判断规则，完全依赖Mark逐案裁定,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G002,VN-INS-03,,INS,整合就绪确认缺少正式的签字确认流程,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G003,VN-INS-02,,INS,合同谈判的让步边界缺少书面化的参数清单,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G004,VN-INS-06,,INS,保司报告的脱敏标准缺少书面规则,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G005,VN-INS-05,,INS,Portfolio分析缺少标准的分析框架和指标体系,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G006,VN-INS-08,,INS,续约决策流程缺少时效管控标准和升级触发规则,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G007,VN-INS-10,,INS,周期总结报告缺少数据管道中断时的降级方案,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G008,VN-INS-02,,INS,合同备案缺少时效标准和下游通知规则,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G009,VN-INS-03,,INS,保司权限边界缺少分级管理标准,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G010,VN-INS-06,,INS,保司反馈缺少从发现到策略调整的标准化闭环,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G011,VN-INS-09,,INS,保司升级评估缺少量化的触发条件,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G012,VN-INS-08,,INS,保司终止合作后缺少资产回收和知识沉淀的标准流程,流程空白,流程空白,P1,partial,,,,,未生成,,
INS-G013,VN-INS-09,,INS,保司流失预警缺少可执行的评分标准和触发规则,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G014,VN-INS-06,,INS,多保司数据对比分析缺少合规授权确认标准,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G015,VN-INS-10,,INS,周期总结缺少对外共享的脱敏规则,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
INS-G016,VN-INS-01,可行性报告,INS,可行性报告框架待建设；L4-IAO从7→6(删除NDA签署),熔断缺口,三层递进暂停-需补建,P0,partial,,,,,未生成,,
INS-G017,VN-INS-04,认证名单,INS,Gate①凭证性缺失；Gate②数据闭环缺失；Gate③权责清晰缺失,熔断缺口,三层递进暂停-需补建,P0,partial,,,,,未生成,,
INS-G018,VN-INS-07,调整建议书,INS,调整建议书不存在，每次触发但文件待建设,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
INS-G019,VN-INS-02,,INS,合同签署完成后缺少统一归档和版本管理机制；各方签字/盖章环节无标准时效；监管备案号与合同版本的关联映射关系不明确；合同条款分歧升级路径未标准化，超让步边界的裁定人未指定,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G020,VN-INS-02,,INS,"备案凭证与合同版本的一一映射关系未建立，无法追溯""哪个备案号对应哪个合同版本""；监管备案时效标准缺失（完成备案后何时算逾期不明确）；备案完成至通知下游节点的触发机制未定义；备案凭证的归档周期和调阅权限未标准化",制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G021,VN-INS-03,,INS,"当前以口头确认为主要形态，缺少签字追溯凭证，整合质量出问题时无法追责；整合就绪的判定标准未量化（无标准化Checklist模板），各部门""就绪""定义可能不一致；整合失败的异常处理流程和升级机制待定义；权限边界清单缺少分级管理标准",制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G022,VN-INS-05,,INS,数据来源（FCT_POLICY/FCT_SALES_ACTIVITY）的完整性和时效性标准未定义，数据不全时报告是否仍然产出待明确；分析维度和指标体系标准化程度未定义，报告格式因保司而异导致可比性不足；多保司横向对比分析的标准化框架待建立；报告流转路径（谁审核→谁接收→谁决策）待定义,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G023,VN-INS-06,,INS,脱敏规则和合规审查标准未书面化，多保司数据对比时的合规边界不清晰，存在过度披露或脱敏过度两种极端风险；数据来源分散（FCT业绩数据+保司市场数据），数据汇总流程和口径统一性未标准化；脱敏质量交叉校验机制未建立，多人执行时脱敏标准一致性无法保障；保司反馈记录到内部策略调整的闭环缺失（关联熔断节点INS-07·调整建议书）,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G024,VN-INS-08,,INS,续约/终止决策的评估标准和触发条件未标准化——什么情况下续约、什么情况下终止缺乏客观量化指标；90天窗口期内全链时效管控无量化KPI，各环节时限无约束；终止后的资产回收路径和知识沉淀SOP未定义；新合同签署流程与INS-02节点的合同签署流程是否复用同一套机制待确认,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G025,VN-INS-09,,INS,联合评估维度和评分标准未标准化——评估哪些维度、各维度权重如何分配无统一框架；流失预警模型的评分阈值和触发逻辑待定义；评估会议的议事规则缺失（谁牵头召集、谁参与表决、如何形成决议）；双方签字效力确认流程未标准化——签字后如有异议如何修正未定义,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
INS-G026,VN-INS-10,,INS,数据管道中断时的报告降级和人工补全机制未定义——FCT_POLICY/FCT_SALES_ACTIVITY数据不可用时报告是否按空值产出还是暂停待明确；对外共享版本的脱敏规则和数据范围未定义（内部版与保司共享版的差异边界不清）；报告以业绩报表形式存在，缺少标准化叙事框架（现状描述→趋势分析→建议）；与INS-06·保司报告和INS-09·联合评估结论的输入输出时序关系待梳理,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
KA-G001,VN-KAEM-01,KA培训完成记录,KA,无标准化培训模板和记录；系统不行，纯手工操作,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
KA-G002,VN-KAEM-02,KA资讯发放核销记录,KA,核销形式化：理财师收到即算核销，无需实际阅读,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
KA-G003,VN-KAET-01,KA评估定级记录,KA,当前无定级体系（仅推进/暂缓两态）；无标准化评估模板,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
KA-G004,VN-KAGA-01,KA业绩汇总,KA,业绩数据分散在签单系统和MoMo个人大表中；无偏差对比和策略优化,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
KA-G005,VN-KAOP-01,KA上架就绪确认,KA,当前无正式上架确认动作；系统配置后置；IT系统bug导致录单困难,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
KA-G006,VN-KASC-01,KA合同/协议签署版,KA,合同后置执行，根因为内商务岗位缺失；签回周期长（1-2个月）,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
PARTNER-G001,VN-RSJD-01,保单销售报告,PARTNER,5子产物分散存在，无汇聚成单一可追溯物的标准流程,结构性,制度标准空白,P1,partial,open,,,,未生成,,
PARTNER-G002,VN-RSJD-01,保单销售报告,PARTNER,KPI锚定风险披露完成率等，但数据未系统采集，依赖手工统计,数据采集,监控指标空白,P1,partial,open,,,,未生成,,
PARTNER-G003,VN-RSJD-02,保单合同,PARTNER,签收回执未系统化归档，Pending处理状态追踪缺失,结构性,制度标准空白,P1,partial,open,,,,未生成,,
PARTNER-G004,VN-RSJD-03,审计报告,PARTNER,审计报告无标准模板，异常件整改闭环追踪机制缺失,结构性,制度标准空白,P1,partial,open,,,,未生成,,
PARTNER-G005,VN-ASD-01,投诉处理报告,PARTNER,投诉档案5子产物分散存储，无统一编号追溯体系,结构性,制度标准空白,P1,partial,open,,,,未生成,,
PARTNER-G006,VN-ASD-01,投诉处理报告,PARTNER,CRC材料包组成与触发条件未标准化，决议记录格式不统一,结构性,流程规则空白,P1,partial,open,,,,未生成,,
PARTNER-G007,VN-ASD-02,售后服务质量监控报告,PARTNER,监控报告无标准模板，各指标数据来源分散依赖手工汇总,数据采集,监控指标空白,P1,partial,open,,,,未生成,,
PARTNER-G008,VN-RSJD-01,,PARTNER,制度写了很多要求但流程太粗，合规要求和操作对不上,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G009,VN-RSJD-02,,PARTNER,保单给了客户后多久必须签回来没规定,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G010,VN-RSJD-03,,PARTNER,审计哪些案子靠人工挑，改没改靠一个人追,流程空白,流程空白,P1,partial,,,,,未生成,,
PARTNER-G011,VN-ASD-01,,PARTNER,流程太粗，投诉从三处进来没法统一管,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G012,VN-RSJD-01,,PARTNER,两系统数据怎么分、谁管不知道,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G013,VN-ASD-02,,PARTNER,委员会谁参加没定，录音保存多久没标准,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G014,VN-RSJD-01,,PARTNER,财务测算理论上可自动化但还在人工做,流程空白,流程空白,P1,partial,,,,,未生成,,
PARTNER-G015,VN-ASD-01,,PARTNER,续保和理赔要不要拆独立流程还没决定,制度标准空白,制度（标准）空白,P1,partial,,,,,未生成,,
PARTNER-G016,VN-IBRD-01,合作伙伴尽调记录,PARTNER,以分散记录形式存在，无标准化文档；合同后置根因为内商务岗位缺失,熔断缺口,三层递进暂停-需补建,P0,partial,,,,,未生成,,
PARTNER-G017,VN-MGA-01,联合运营需求诊断包,PARTNER,五份报告均无标准模板；无历史交付记录；无数据挂钩,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
PARTNER-G018,VN-MGA-02,联合运营框架方案,PARTNER,《定制化内容方案设计》无模板；方案版本管理缺失；无数据验证机制,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
PARTNER-G019,VN-MGA-03,联合运营合约包,PARTNER,动态条款库未建立；《交付物包》无标准清单；合同版本管理缺失,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
PARTNER-G020,VN-URD-01,联合运营需求诊断报告,PARTNER,流程完全缺失，处于概念阶段,熔断缺口,三层递进暂停-需补建,P1,partial,,,,,未生成,,
PARTNER-G021,VN-RSJD-01,,PARTNER,客户需求分析依赖一线人员专业判断，无标准化KYC框架可能导致遗漏关键风险因素；分析质量取决于人员经验水平，新人培训周期长，跨机构服务质量一致性难保证,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G022,VN-RSJD-01,,PARTNER,产品对比无标准化比较框架（保障范围/费率/除外责任维度），横向可比性依赖个人经验；跨保司产品数据获取需人工维护，时效性差，存在以佣金导向替代客户需求导向的操作空间,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G023,VN-RSJD-01,,PARTNER,风险披露为一次性告知动作，如未记录留痕则无法自证合规；冷静期告知常被简化或遗漏（话术压缩），事后争议缺乏证据链支撑；披露时点与保单签署时点的时间差记录不可追溯,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G024,VN-RSJD-01,,PARTNER,知情同意的签署时点无法在系统层面锁定（无法确认真实签署时间），存在倒签/补签风险；电子签名法律效力与纸质签名在部分保司场景不互认，混用场景下证据效力存疑,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G025,VN-RSJD-01,,PARTNER,计划书确认依赖清单式勾选（无系统强校验），遗漏项易被“全部通过”式签名掩盖；确认后如修改计划书内容无版本联动机制，存在客户签署旧版计划书的版本漂移风险,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G026,VN-RSJD-02,,PARTNER,保单合同由保司侧生成，代理机构对条款内容无编辑权但需负责向客户解释，条款解释错误导致的纠纷责任边界模糊（保司vs代理机构）；延迟交付或交付失败（地址错误/退信）的系统回滚机制缺失,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G027,VN-RSJD-02,,PARTNER,生效通知作为系统自动化产出，转达环节如有延迟或遗漏（代理人离职/漏发/渠道错误），客户对保障起始时间可能存在误解；缺少客户确认回执的系统闭环机制，无送达状态追踪,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G028,VN-RSJD-02,,PARTNER,签收回执的时效管理依赖人工跟进（无系统自动催签机制），超期未签收的保单在Pending状态滞留；签收人身份核验无标准流程（代签/冒签风险）；犹豫期窗口因Pending状态被隐性延长,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G029,VN-RSJD-03,,PARTNER,审计样本抽取依赖手工台账（无系统化抽样引擎），样本代表性不足可能导致审计报告结论失真（漏检高风险样本）；整改事项跟踪无系统闭环，依赖邮件/会议纪要推动，整改完成率和时效性不可追溯,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G030,VN-ASD-01,,PARTNER,投诉记录依赖客服人员的分类标注准确性（投诉类型/严重等级），分类错误会触发错误的升级路径和CRC决策方向偏差；电话投诉转录过程中关键信息可能遗漏或转述失真，影响后续处理起点质量,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G031,VN-ASD-01,,PARTNER,录音存储合规性依赖人工维护（法定保存期限/隐私脱敏/访问权限控制），存储介质故障可能导致录音丢失不可恢复；检索效率极低（依赖时间戳人工定位，无语音转写/关键词索引），争议发生时回溯成本高,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G032,VN-ASD-01,,PARTNER,上诉受理标准无明确文档化界定（何为“新证据”、何为“重复申诉”），受理边界模糊可能导致同一事项被反复上诉占用CRC资源；上诉材料整理依赖人工作业，材料完整性和整理时效性难以保障,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G033,VN-ASD-01,,PARTNER,CRC材料包的编排标准缺失（无检查清单/资料完整性校验/版本标识），关键证据遗漏直接影响CRC决策准确性；材料版本管理无机制（会议前临时补充或修改），CRC成员可能基于不同版本材料做出决议,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G034,VN-ASD-01,,PARTNER,CRC决议的书面化程度（决议理由/依据条款/赔偿标准/执行时限）决定执行一致性，模糊决议导致一线客服执行偏差（同案不同判）；决议传达至客户的沟通话术和时效标准无SOP，执行效果无法标准化评价,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G035,VN-ASD-02,,PARTNER,投诉量统计依赖底层数据的口径统一性（投诉分类/渠道归属/去重规则），跨机构跨渠道口径不一致导致同比环比分析失真；数据清洗规则未文档化（如重复投诉合并、关联投诉归集），数据质量不可审计,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
PARTNER-G036,VN-ASD-02,,PARTNER,处理时效的起止时点定义（投诉受理→首次响应→处理结论→客户确认）未全局标准化，不同机构/渠道使用不同口径导致横向不可比；异常值识别依赖人工经验（无自动化告警阈值和根因钻取），时效恶化趋势可能被延迟发现,制度标准空白,B标签·执行断点,P1,partial,open,,,,未生成,,
