task_id,node_id,node_name,domain,task_name,action_tier,executor_role,executor_dept,assigned_date,deadline,task_status,deliverable_id,deliverable_name,recording_uploaded,gate_unlock_date,remarks
T18-HR-0023,VN-HR-05,人力资源诊断与改善建议报告,HR,每季度复盘改善进展并输出诊断报告,,HR负责人(袁林),,,,未分发,,季度诊断改善报告模板,N,,依赖步骤3
T18-HR-0024,VN-HR-08,员工成长路径方案,HR,固化TR成长路径方案（将18个月雏形书面化、正式发布）,,HR负责人(袁林),,,,未分发,,TR成长路径书面版v1.0,N,,无，可立即推进
T18-HR-0025,VN-HR-08,员工成长路径方案,HR,**【前置】等待组织架构/岗位职责固化（L2及以下）**,,管理层,,,,未分发,,岗位职责说明书（L3级）,N,,**阻塞：架构稳定前无法推广**
T18-HR-0026,VN-HR-08,员工成长路径方案,HR,建立岗位序列与成长路径标准模板（复用TR样板）,,HR负责人(袁林)/部门负责人,,,,未分发,,成长路径模板v1.0（含核心岗位首版）,N,,依赖步骤2
T18-HR-0027,VN-HR-08,员工成长路径方案,HR,与培训记录/绩效结果联动,,HR负责人(袁林)/HRBP,,,,未分发,,联动规则文档+字段对照表,N,,依赖步骤3
T18-HR-0028,VN-HR-08,员工成长路径方案,HR,员工确认留痕机制,,HR负责人(袁林),,,,未分发,,确认留痕SOP（电子/纸质方案）,N,,依赖步骤3
T18-HR-0029,VN-HR-10,员工档案,HR,**【过渡】建立最小档案台账（字段标准化 + 分模块汇总格式）**,,HR负责人(袁林)/刘丽,,,,未分发,,档案台账模板v1.0（Excel）+ 老员工数据补录计划,N,,**无阻塞，立即可做**
T18-HR-0030,VN-HR-10,员工档案,HR,**【前置裁定】Mark裁定HRIS采购预算与时间表**,,管理层（Mark）,,,,未分发,,HRIS选型决策 + Q3启动授权,N,,**根本阻塞：无预算无法推进系统化**
T18-HR-0031,VN-HR-10,员工档案,HR,完成HRIS系统选型与部署,,IT/采购 + HR负责人,,,,未分发,,HRIS上线,N,,依赖步骤1
T18-HR-0032,VN-HR-10,员工档案,HR,数据迁移（招聘/绩效/薪酬/培训 → HRIS）,,HR负责人(袁林)/HRBP,,,,未分发,,数据迁移报告 + 完整性确认,N,,依赖步骤2
T18-HR-0033,VN-HR-10,员工档案,HR,建立档案完整性校验机制（频次/比对项/负责人）,,HR负责人(袁林),,,,未分发,,档案校验SOP + 年度执行计划,N,,依赖步骤2
T18-INS-0034,VN-INS-01,可行性报告,INS,访谈确认：F1现状确认,,,,,,未分发,,确认交付物当前的实际存在形态和操作习惯,N,,需安排INS域岗位访谈
T18-INS-0035,VN-INS-01,可行性报告,INS,访谈确认：F2补建路径,,,,,,未分发,,明确补建责任人、时间表和验收标准,N,,需岗位访谈+裁定确认
T18-INS-0036,VN-INS-01,可行性报告,INS,访谈确认：F3责任与时限,,,,,,未分发,,明确运营责任人、数据维护周期,N,,需岗位访谈确认
T18-INS-0037,VN-INS-01,可行性报告,INS,建立标准化模板/流程,,,,,,未分发,,交付物标准模板、操作SOP、质量检查清单,N,,依赖F1/F2访谈完成
T18-INS-0038,VN-INS-01,可行性报告,INS,Gate复评,,,,,,已完成,,Gate①②③重新评估,N,,依赖行动项1-4完成
T18-INS-0039,VN-INS-04,认证名单,INS,访谈确认：F1现状确认,,,,,,未分发,,确认交付物当前的实际存在形态和操作习惯,N,,需安排INS域岗位访谈
T18-INS-0040,VN-INS-04,认证名单,INS,访谈确认：F2补建路径,,,,,,未分发,,明确补建责任人、时间表和验收标准,N,,需岗位访谈+裁定确认
T18-INS-0041,VN-INS-04,认证名单,INS,访谈确认：F3责任与时限,,,,,,未分发,,明确运营责任人、数据维护周期,N,,需岗位访谈确认
T18-INS-0042,VN-INS-04,认证名单,INS,建立标准化模板/流程,,,,,,未分发,,交付物标准模板、操作SOP、质量检查清单,N,,依赖F1/F2访谈完成
T18-INS-0043,VN-INS-04,认证名单,INS,Gate复评,,,,,,已完成,,Gate①②③重新评估,N,,依赖行动项1-4完成
T18-INS-0044,VN-INS-07,调整建议书,INS,访谈确认：F1现状确认,,,,,,未分发,,确认交付物当前的实际存在形态和操作习惯,N,,需安排INS域岗位访谈
T18-INS-0045,VN-INS-07,调整建议书,INS,访谈确认：F2补建路径,,,,,,未分发,,明确补建责任人、时间表和验收标准,N,,需岗位访谈+裁定确认
T18-INS-0046,VN-INS-07,调整建议书,INS,访谈确认：F3责任与时限,,,,,,未分发,,明确运营责任人、数据维护周期,N,,需岗位访谈确认
T18-INS-0047,VN-INS-07,调整建议书,INS,建立标准化模板/流程,,,,,,未分发,,交付物标准模板、操作SOP、质量检查清单,N,,依赖F1/F2访谈完成
T18-INS-0048,VN-INS-07,调整建议书,INS,Gate复评,,,,,,已完成,,Gate①②③重新评估,N,,依赖行动项1-4完成
T18-KA-0049,VN-KAEM-01,KA培训完成记录,KA,交付物模板标准化（当前无标准格式）,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0050,VN-KAEM-01,KA培训完成记录,KA,建立统一的归档和版本管理机制,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0051,VN-KAEM-01,KA培训完成记录,KA,数据验证闭环待建立,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0052,VN-KAEM-01,KA培训完成记录,KA,Gate①②③缺口补建,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0053,VN-KAET-01,KA评估定级记录,KA,交付物模板标准化（当前无标准格式）,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0054,VN-KAET-01,KA评估定级记录,KA,建立评估定级量化维度和标准（出单量/持续性/团队规模/合作意愿/历史背景）,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0055,VN-KAET-01,KA评估定级记录,KA,建立统一的归档和版本管理机制,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0056,VN-KAET-01,KA评估定级记录,KA,人工/个人表数据需迁移至中心化系统,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0057,VN-KAET-01,KA评估定级记录,KA,Gate①②③缺口补建,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0058,VN-KAGA-01,KA业绩汇总,KA,人工/个人表数据需迁移至中心化系统,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0059,VN-KAGA-01,KA业绩汇总,KA,建立统一KA业绩总表，打通签单系统数据隔离,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0060,VN-KAGA-01,KA业绩汇总,KA,Gate①②③缺口补建,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0061,VN-KAOP-01,KA上架就绪确认,KA,建立《KA上架检查清单》和就绪确认节点,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0062,VN-KAOP-01,KA上架就绪确认,KA,数据验证闭环待建立,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0063,VN-KAOP-01,KA上架就绪确认,KA,IT系统能力建设与修复,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0064,VN-KAOP-01,KA上架就绪确认,KA,Gate①②③缺口补建,,待访谈确认,,,,未分发,,待访谈确认（岗位/责任/时限待核实）,N,,待访谈闭环
T18-KA-0065,VN-KAEM-02,KA资讯发放核销记录,KA,待访谈确认补建路径,,待指定,,,,未分发,,待访谈确认,N,,等待补建/访谈闭环
T18-KA-0066,VN-KASC-01,KA合同/协议签署版,KA,待访谈确认补建路径,,待指定,,,,未分发,,待访谈确认,N,,等待补建/访谈闭环
T18-PARTNER-0067,VN-IBRD-01,合作伙伴尽调记录,PARTNER,待访谈确认补建路径,,待指定,,,,未分发,,待访谈确认,N,,等待补建/访谈闭环
T18-PARTNER-0068,VN-MGA-01,联合运营需求诊断包,PARTNER,L4层定义验证: 访谈确认 L4组成为1.业务现状调研,,待访谈确认,,,,未分发,,L4层定义确认 —— 验证v2.0数据表L4拆分是否与实际业务匹配,N,,待访谈确认补建路径
T18-PARTNER-0069,VN-MGA-01,联合运营需求诊断包,PARTNER,岗位/系统访谈: 确认联合运营需求诊断包的生产方、消费方、涉及系统和外部依赖,,待访谈确认,,,,未分发,,岗位清单+系统清单确认,N,,待访谈确认补建路径
T18-PARTNER-0070,VN-MGA-01,联合运营需求诊断包,PARTNER,交付物标准化访谈: 确认5个交付物的形态、标准、流转链路,,待访谈确认,,,,未分发,,交付物标准化方案,N,,待访谈确认补建路径
T18-PARTNER-0071,VN-MGA-01,联合运营需求诊断包,PARTNER,规则线索访谈: 识别B类规则线索和C类行动项,,待访谈确认,,,,未分发,,B类+C类清单,N,,待访谈确认补建路径
T18-PARTNER-0072,VN-MGA-02,联合运营框架方案,PARTNER,L4层定义验证: 访谈确认 L4组成为1.标准化资源库调用,,待访谈确认,,,,未分发,,L4层定义确认 —— 验证v2.0数据表L4拆分是否与实际业务匹配,N,,待访谈确认补建路径
T18-PARTNER-0073,VN-MGA-02,联合运营框架方案,PARTNER,岗位/系统访谈: 确认联合运营框架方案的生产方、消费方、涉及系统和外部依赖,,待访谈确认,,,,未分发,,岗位清单+系统清单确认,N,,待访谈确认补建路径
T18-PARTNER-0074,VN-MGA-02,联合运营框架方案,PARTNER,交付物标准化访谈: 确认2个交付物的形态、标准、流转链路,,待访谈确认,,,,未分发,,交付物标准化方案,N,,待访谈确认补建路径
T18-PARTNER-0075,VN-MGA-02,联合运营框架方案,PARTNER,规则线索访谈: 识别B类规则线索和C类行动项,,待访谈确认,,,,未分发,,B类+C类清单,N,,待访谈确认补建路径
T18-PARTNER-0076,VN-MGA-03,联合运营合约包,PARTNER,L4层定义验证: 访谈确认 L4组成为1.动态条款库配置,,待访谈确认,,,,未分发,,L4层定义确认 —— 验证v2.0数据表L4拆分是否与实际业务匹配,N,,待访谈确认补建路径
T18-PARTNER-0077,VN-MGA-03,联合运营合约包,PARTNER,岗位/系统访谈: 确认联合运营合约包的生产方、消费方、涉及系统和外部依赖,,待访谈确认,,,,未分发,,岗位清单+系统清单确认,N,,待访谈确认补建路径
T18-PARTNER-0078,VN-MGA-03,联合运营合约包,PARTNER,交付物标准化访谈: 确认4个交付物的形态、标准、流转链路,,待访谈确认,,,,未分发,,交付物标准化方案,N,,待访谈确认补建路径
T18-PARTNER-0079,VN-MGA-03,联合运营合约包,PARTNER,规则线索访谈: 识别B类规则线索和C类行动项,,待访谈确认,,,,未分发,,B类+C类清单,N,,待访谈确认补建路径
T18-PARTNER-0080,VN-URD-01,联合运营需求诊断报告,PARTNER,L4层定义验证: 访谈确认 L4组成为联合运营需求诊断,,待访谈确认,,,,未分发,,L4层定义确认 —— 验证v2.0数据表L4拆分是否与实际业务匹配,N,,待访谈确认补建路径
T18-PARTNER-0081,VN-URD-01,联合运营需求诊断报告,PARTNER,岗位/系统访谈: 确认联合运营需求诊断报告的生产方、消费方、涉及系统和外部依赖,,待访谈确认,,,,未分发,,岗位清单+系统清单确认,N,,待访谈确认补建路径
T18-PARTNER-0082,VN-URD-01,联合运营需求诊断报告,PARTNER,交付物标准化访谈: 确认5个交付物的形态、标准、流转链路,,待访谈确认,,,,未分发,,交付物标准化方案,N,,待访谈确认补建路径
T18-PARTNER-0083,VN-URD-01,联合运营需求诊断报告,PARTNER,规则线索访谈: 识别B类规则线索和C类行动项,,待访谈确认,,,,未分发,,B类+C类清单,N,,待访谈确认补建路径
T18-PAY-0084,VN-PAY-04,转介费派发确认台账,PAY,IA合规规则条款书面化,① 业务部门执行,[佣金对账执行岗] + [合规管理岗],,,T+2周,未分发,,《IA合规规则书》（含非持牌占比/同行支付计算逻辑、判定伪代码）,N,,完成后录音口述 → Jasper转录《交付物上传模版》→ 确认后Gate校验
T18-PAY-0085,VN-PAY-04,转介费派发确认台账,PAY,合规负责人归属建议方案,② 流程架构协同,Terresa（主导）+ Jasper（规则分析支撑）,,,T+1周,未分发,,建议方案：Carrie兼任代码化负责人 vs 新设合规岗（含JD草稿）两方案对比,N,,— （内部分析文件，非交付物）
T18-PAY-0086,VN-PAY-04,转介费派发确认台账,PAY,Mark校准合规负责人方案,③ Mark裁定,Mark,,,T+2周（等Mark日程）,未分发,,合规负责人确认（5分钟，从②两方案中选一）,N,,—
T18-PAY-0087,VN-PAY-04,转介费派发确认台账,PAY,新增L4-COM-14（IA合规校验）+ COM-15（回执归档）流程定义,② 流程架构协同,Terresa（主导L4设计）+ [合规管理岗]（内容确认）,,,T+4周,未分发,,L4-COM-14/COM-15 流程定义文档,N,,录音口述 → Jasper转录 → 确认
T18-PAY-0088,VN-PAY-04,转介费派发确认台账,PAY,银行回执归档方案调研,① 业务部门执行,IT + [佣金对账执行岗],,,T+3周,未分发,,选型评估（共享文件夹规则命名/OA归档/其他），含成本估算,N,,— （调研报告，非规则类交付物）
T18-PAY-0089,VN-PAY-04,转介费派发确认台账,PAY,上线银行回执归档管线 + IA阈值监控仪表盘,③ Mark裁定（需IT资源批准）,IT（实施）+ [合规管理岗]（需求定义）,,,T+10周,未分发,,回执归档管线 + fact_payout表 + 阈值监控仪表盘（系统产物）,N,,系统上线后录音口述 → Jasper转录 → 确认
T18-PAY-0090,VN-PAY-06,理财师综合应派计算清单,PAY,梳理四类协议现有参数字段,① 业务部门执行,[应派计算执行岗],,,T+2周,未分发,,四类协议参数字段清单（佣金/服务/奖金/股权/分红各表字段名、来源、维护人、更新频率）,N,,录音口述 → Jasper转录 → 确认
T18-PAY-0091,VN-PAY-06,理财师综合应派计算清单,PAY,FPG-05归属RACI建议方案,② 流程架构协同,Terresa（主导）+ Jasper（规则分析）,,,T+1周,未分发,,RACI草稿：[应派计算执行岗]牵头+[数据底座架构师]建模,N,,— （内部分析文件）
T18-PAY-0092,VN-PAY-06,理财师综合应派计算清单,PAY,FPG-05 L4流程定义草稿,② 流程架构协同,Terresa（L4设计）+ [应派计算执行岗]（内容确认）,,,T+3周,未分发,,FPG-05 L4定义（参数更新→通知→生效→版本管理）,N,,录音口述 → Jasper转录 → 确认
T18-PAY-0093,VN-PAY-06,理财师综合应派计算清单,PAY,Mark校准FPG-05归属,③ Mark裁定,Mark,,,T+2周（等Mark日程）,未分发,,FPG-05归属确认（5分钟）,N,,—
T18-PAY-0094,VN-PAY-06,理财师综合应派计算清单,PAY,建dim_agreement_param维度表,③ Mark裁定（需IT/数据资源）,[数据底座架构师]（实施，需Mark批准资源）,,,T+6周,未分发,,dim_agreement_param表 DDL+DML+初始化数据,N,,系统产物，上线后录音口述 → Jasper转录 → 确认
T18-PAY-0095,VN-PAY-08,报销凭证包,PAY,报销SaaS选型或自建方案调研,① 业务部门执行,IT + [行政/HR管理岗],,,T+3周,未分发,,选型评估报告（含3方案对比+推荐+成本）,N,,— （调研报告）
T18-PAY-0096,VN-PAY-08,报销凭证包,PAY,报销负责人归属建议方案,② 流程架构协同,Terresa（主导）+ Jasper（分析）,,,T+1周,未分发,,建议：[行政/HR管理岗]负责流程设计，IT负责系统实现；含L3-EXP框架草稿,N,,— （内部分析）
T18-PAY-0097,VN-PAY-08,报销凭证包,PAY,Mark确认报销负责人 + 选型决策,③ Mark裁定,Mark（收到①②后一次性提交）,,,T+3周（等①完成后提交）,未分发,,报销Owner确认 + 选型决策（10分钟，调研完成后一次性提）,N,,—
T18-PAY-0098,VN-PAY-08,报销凭证包,PAY,立项L3-EXP + 定义EXP-01~05,② 流程架构协同,Terresa（L3/L4设计）+ [行政/HR管理岗]（内容确认）,,,T+8周,未分发,,L3-EXP流程定义文档 + EXP-01~05 L4清单,N,,录音口述 → Jasper转录 → 确认
T18-PAY-0099,VN-PAY-08,报销凭证包,PAY,电子化报销系统上线,③ Mark裁定（需IT资源）,IT（实施，需Mark批准）+ [行政/HR管理岗],,,T+12周,未分发,,电子化报销系统（提报→审批→出账）,N,,上线后录音口述 → Jasper转录 → 确认
T18-PAY-0100,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,整理四条体系外资金流已知信息,① 业务部门执行,财务部 + [数据底座架构师],,,T+1周,未分发,,NGM/Apass/宿安/天领知识梳理表（各自性质/流向/系统归属/规模线索）,N,,— （调研文件）
T18-PAY-0101,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,归口部门建议方案,② 流程架构协同,Terresa（主导）+ Jasper（分析）,,,T+1周,未分发,,基于①，建议各条资金流归口推荐（含理由），供Mark选择,N,,— （内部分析）
T18-PAY-0102,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,Mark裁定归口部门,③ Mark裁定（唯一真正需要Mark从零决策的事项）,Mark（收到②建议方案）,,,最近一次Mark会议优先提,未分发,,归口部门确认函 + 四条资金流归属映射,N,,—
T18-PAY-0103,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,归口负责人调查四条资金流细节,① 业务部门执行（待③完成后）,归口部门负责人 + [数据底座架构师],,,T+4周,未分发,,四条资金流规模/周期/系统来源调查表,N,,—
T18-PAY-0104,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,定义KPI + 建fact_offsystem_flow + 补建L3/L4,③ Mark裁定（需IT资源）+ ② 流程架构协同（L3/L4部分）,[数据底座架构师]（数据架构）+ Terresa（L3/L4）+ IT（实施）,,,T+12周,未分发,,KPI定义文件 + fact_offsystem_flow表 + L3/L4流程定义,N,,各产出分别录音口述 → Jasper转录 → 确认
T18-PAY-0105,VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,补录37.2M历史资金流,① 业务部门执行（待⑤完成后）,归口部门 + [数据底座架构师],,,T+16周,未分发,,历史资金流全量进入fact_offsystem_flow,N,,— （数据导入，非规则类）
T18-TREASURY-0106,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,优先安排TREASURY域访谈,,待源头校准（岗位待定，由Mark指派）,,,T+4周,未分发,,访谈产出：BAM-01节点7项子产物的落地验证证据、归档现状、U盾管理流程细节,N,,
T18-TREASURY-0107,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,Mark裁定Gate修复方案,,Mark（裁定方）+ 待源头校准（执行岗位待定）,,,T+6周,未分发,,Gate①②③修复方案确认函（含优先级排序和资源分配）,N,,
T18-TREASURY-0108,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,建立7项子产物归档管线,,待源头校准,,,T+10周,未分发,,统一归档路径+命名规范+完整性校验清单+归档触发机制,N,,
T18-TREASURY-0109,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,建设KPI系统化挂数,,待源头校准（执行岗位待定）,,,T+12周,未分发,,fact_bank_account表建设+KPI实时监控仪表盘（账户盘点覆盖率/U盾交接合规率/档案完整率）,N,,
T18-TREASURY-0110,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,s3四属性矩阵补评估,,待源头校准,,,T+12周,未分发,,业务定位/价值属性/物理对应/数据验证四项属性全面评估,N,,
T18-TREASURY-0111,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,补全岗位字段（源头校准）,,Terresa / HR → 录入V2.0数据表,,,T+12周,未分发,,生产部门/生产岗位/消费主体/消费对象四字段完成录入,N,,
T18-TREASURY-0112,VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,待访谈确认补建路径（Signal4 暂无调研覆盖，全部待访谈，无已确认的A/B/C类规则信号）,,—,,,—,未分发,,访谈完成后生成具体行动项,N,,
T18-TREASURY-0113,VN-CFM-01,现金流管理报告包,TREASURY,优先安排TREASURY域访谈,,待源头校准（岗位待定，由Mark指派）,,,T+4周,未分发,,访谈产出：CFM-01节点9项子产物的落地验证证据、归档现状、资金调拨审批流程细节、缺口预警实际机制,N,,
T18-TREASURY-0114,VN-CFM-01,现金流管理报告包,TREASURY,Mark裁定Gate修复方案,,Mark（裁定方）+ 待源头校准（执行岗位待定）,,,T+6周,未分发,,Gate①②③修复方案确认函（含9项子产物优先级排序和资源分配）,N,,
T18-TREASURY-0115,VN-CFM-01,现金流管理报告包,TREASURY,确认9项子产物的物理形态和真实性,,待源头校准,,,T+8周,未分发,,9项子产物逐一确认报告（形态/路径/负责人/更新频率/模板规范性）,N,,
T18-TREASURY-0116,VN-CFM-01,现金流管理报告包,TREASURY,建立9项子产物归档管线,,待源头校准,,,T+10周,未分发,,统一归档路径+命名规范+完整性校验清单（特别关注周度高频产物的自动化归档方案）,N,,
T18-TREASURY-0117,VN-CFM-01,现金流管理报告包,TREASURY,建设KPI系统化挂数,,待源头校准（执行岗位待定）,,,T+12周,未分发,,fact_cashflow表建设+KPI实时监控仪表盘（预测准确率/缺口预警及时率/资金调拨合规率）,N,,
T18-TREASURY-0118,VN-CFM-01,现金流管理报告包,TREASURY,现金流预测报告签批和版本管理规则建立,,待源头校准,,,T+12周,未分发,,报告模板标准化+签批链定义+版本v.final锁定规则+归档触发,N,,
T18-TREASURY-0119,VN-CFM-01,现金流管理报告包,TREASURY,s3四属性矩阵补评估,,待源头校准,,,T+12周,未分发,,业务定位/价值属性/物理对应/数据验证四项属性全面评估,N,,
T18-TREASURY-0120,VN-CFM-01,现金流管理报告包,TREASURY,补全岗位字段（源头校准）,,Terresa / HR → 录入V2.0数据表,,,T+12周,未分发,,生产部门/生产岗位/消费主体/消费对象四字段完成录入,N,,
T18-TREASURY-0121,VN-CFM-01,现金流管理报告包,TREASURY,待访谈确认补建路径（Signal4 暂无调研覆盖，全部待访谈，无已确认的A/B/C类规则信号）,,—,,,—,未分发,,访谈完成后生成具体行动项,N,,
