node_id,node_name,domain,fused_status,fused_type,source,last_updated
VN-INS-01,可行性报告,INS,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-02,已签合同+备案号,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-03,整合就绪确认书,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-04,认证名单,INS,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-05,Portfolio分析报告,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-06,保司报告,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-07,调整建议书,INS,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-08,新合同/终止协议,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-09,联合评估结论,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-INS-10,周期总结报告,INS,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KAEM-01,KA培训完成记录,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KAEM-02,KA资讯发放核销记录,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KAET-01,KA评估定级记录,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KAGA-01,KA业绩汇总,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KAOP-01,KA上架就绪确认,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-KASC-01,KA合同/协议签署版,KA,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-IBRD-01,合作伙伴尽调记录,PARTNER,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-MGA-01,联合运营需求诊断包,PARTNER,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-MGA-02,联合运营框架方案,PARTNER,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-MGA-03,联合运营合约包,PARTNER,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-RSJD-01,保单销售报告,PARTNER,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-RSJD-02,保单合同,PARTNER,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-RSJD-03,审计报告,PARTNER,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-URD-01,联合运营需求诊断报告,PARTNER,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-ASD-01,投诉处理报告,PARTNER,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-ASD-02,售后服务质量监控报告,PARTNER,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-01,市场佣金制作产出包,PAY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-02,佣金实收确认表,PAY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-03,应派清单三件套,PAY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-04,转介费派发确认台账,PAY,熔断,P0强制熔断（三Gate全失）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-05,INVOICE/激励结算单,PAY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-06,理财师综合应派计算清单,PAY,熔断,P0熔断（Gate①FAIL + Gate③FAIL）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-07,银行权益活动费对账单,PAY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-08,报销凭证包,PAY,熔断,P1熔断（Gate①②FAIL）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,熔断,P0强制熔断，最高优先级（三Gate全失，BP V2完全遗漏37.2M HKD）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,熔断,P0强制熔断（三Gate全失）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-BAM-02,银行准入评估与支付工具管理记录,TREASURY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-CFM-01,现金流管理报告包,TREASURY,熔断,P0强制熔断（三Gate全失）,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-CFM-02,资金付款审批单,TREASURY,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-EQ-11,经确认的客户权益需求清单,EQ,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FBA-02,机构季度经营分析报告提交与会议使用,FA,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FBA-03,季度过程经营考核项设定与采集,FA,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-FBA-05,分公司招募执行记录归档与总部取数,FA,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-01,中后台内勤季度绩效评定与发放,HR,熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
VN-HR-02,员工花名册分地维护与查询,HR,非熔断,,"03层·熔断节点补建清单(收录=熔断,未收录=非熔断)",2026-07-25
