rule_id,node_id,rule_name,rule_class,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,data_anchor,externalized,gap_type,gap_description,priority,source,round,source_recording,version,legacy_rule_id,domain
PARTNER-R008,VN-IBRD-01,未响应渠道季度关闭规则,A类,DD Form发出后渠道超一整个季度未响应,对该渠道标记为关闭，不再保留在待签约列表中,渠道在系统中状态标注为已关闭，触发条件(超季度无响应)已记录,渠道重新表达合作意愿时可重新走DD流程(不复活旧记录),菲菲/MOMO(跟踪状态)+渠道管理负责人(审批关闭),渠道DD状态·关闭标记,口头经验,,,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R008,PARTNER
PARTNER-R009,VN-IBRD-01,DD Form修改通知RO规则,A类,DD Form新增字段(如持有其他保司合约)后,须在生效前向所有RO通报此变更，确保全体RO知悉并执行新版Form,所有RO已收到变更通知并确认，新DD Form版本号可追溯,紧急DD变更可先口头通知RO，24h内补发正式版,Teresa/CO(变更发布)+Speaker 4(RO协调),DD Form·版本号/变更通知记录,口头经验,,,P0,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R009,PARTNER
PARTNER-R010,VN-IBRD-01,交付经理全生命周期管理规则,A类,BD将渠道线索推送给交付经理后,交付经理负责该渠道全生命周期：画像完善→签约跟进→首单支持→培训赋能→关键节点客情维护→业务异动洞察与干预,每个渠道有明确单一交付经理Owner，覆盖全生命周期全部节点,TR仅在交付经理排期满负荷时执行签单动作，不全权替代,交付经理(Amy/菲菲等)+渠道业务负责人(考核),交付经理·渠道服务台账,口头经验,,,P1,信号3·DECISION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R010,PARTNER
PARTNER-R011,VN-IBRD-01,KA与同行交付经理经验不可互替规则,A类,任命同行交付经理时,须为同行渠道匹配具备机构渠道服务经验的交付经理，不可将仅有KA经验的人员直接任命,新任交付经理具备同行渠道服务经验或经过专项培训后上岗,过渡期可由有经验者带教，但不可长期一人兼任两种类型渠道,HR(人员匹配)+渠道业务负责人(任命),交付经理·岗位JD/能力模型,口头经验,,,P1,信号3·DECISION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R011,PARTNER
PARTNER-R012,VN-IBRD-01,查册费用负担规则,B类,执行股东穿透查册时,查册费用由公司统一预算承担(非渠道自行承担)，每个新渠道查册费用纳入DD预算,待确认：查册费用标准和预算来源需财务部确认,存量渠道补充查册的费用独立批预算,财务部(预算确认)+菲菲/MOMO(执行),DD查册·费用台账,口头经验,A类·信息缺失,查册费用(付费服务)的预算来源和审批流程尚未书面化；需财务部确认标准SOP和预算归属,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R012,PARTNER
PARTNER-R013,VN-IBRD-01,DD Form持有保司合约字段修改通知时效,B类,DD Form新增持有其他保司合约字段后,Teresa在下周一(2026-06-09)会议上向全体RO通报，并确认每位RO已接收新版Form,待确认：修改后的DD Form实际落地时间、所有RO确认回执的完成时间,RO有合理原因延迟确认时可宽限3个工作日,Teresa(修改+通报)+全体RO(确认回执),DD Form·持有人保司合约字段,口头经验,A类·信息缺失,DD Form修改后通知RO的时效和回执确认流程尚未落地验证；需等2026-06-09会议后跟踪确认,P0,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R013,PARTNER
PARTNER-R014,VN-IBRD-01,Uniwin总佣高10%比较口径确认,B类,向渠道传播Uniwin总佣高10%的话术或报价对比,以九富Total佣金为基准，保司/产品/年限口径对齐后确认10%差异,待确认：商务需确认比较口径(同保司/同产品/同年限)，当前基于菲菲/MOMO经验,非核心保司/新产品需逐个口径验证,菲菲/MOMO(数据提供)+商务(口径确认),佣金对比表·九富vsUniwin口径,口头经验,B类·岗位边界,Uniwin高10%的计算比较口径需商务部门确认(当前依赖菲菲/MOMO经验，无正式文档),P2,信号1·DIAGNOSIS,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R014,PARTNER
PARTNER-R015,VN-IBRD-01,修改DD Form加入保司合约字段,C类,为满足永明TPA业务合规要求+完善渠道尽调,在DD Form中新增对方持有其他保险公司合约字段，并通知所有RO,新版DD Form已发布，全体RO已确认回执，新签约渠道使用新版Form,现有已签约渠道后续补DD时同步使用新版Form,Teresa/CO(修改+发布)+Speak4(RO协调),DD Form·保司合约字段(待新增),未记录,C类·系统裁定,需Teresa主导DD Form修改和RO通知，行动已排期2026-06-09,P0,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R015,PARTNER
PARTNER-R016,VN-IBRD-01,建立存量渠道补充DD排期,C类,已签约渠道尚未完成新版DD(含股东查册+AML),梳理全部已签约渠道清单，按优先级分批安排补充尽调,全部已签约渠道完成补充DD，风险档案已建立,优先覆盖永明相关/高业务量/高风险渠道,渠道管理部门(排期)+菲菲/MOMO(执行)+CO(评估),渠道DD·补充排期表(待建立),未记录,C类·系统裁定,需要渠道管理部门制定存量渠道补充尽调的优先级和排期计划,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R016,PARTNER
PARTNER-R017,VN-IBRD-01,建立查册SOP和预算机制,C类,每次新渠道引入需执查册,财务部制定股东查册的标准操作流程(含查册服务商/费用标准/审批链)和年度预算,查册SOP已发布，预算已纳入财务年度计划,大规模渠道拓展导致查册需求超预算时需补充审批,财务部(制定SOP+预算)+管理层(批准),(待建立·查册SOP/预算),未记录,C类·系统裁定,需财务部在本月内确定查册SOP和费用标准，当前查册付费但无正式预算,P1,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R017,PARTNER
PARTNER-R018,VN-IBRD-01,建立交付经理职责边界SOP,C类,交付经理角色从模糊定义转向正式制度,HR更新交付经理JD和能力模型(含全生命周期管理、KA/同行区分)、设定KPI(渠道活跃度/业绩增长/满意度),JD/KPI/能力模型已发布，现有交付经理已宣导,先以现有交付经理(Amy等)为试点运行一个季度后推广,HR(JD/KPI更新)+渠道业务负责人(考核)+管理层(批准),(待更新·交付经理JD/KPI),未记录,C类·系统裁定,需HR与渠道业务负责人共同完成JD/KPI更新，管理层批准后正式发布,P1,信号3·DECISION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R018,PARTNER
PARTNER-R019,VN-IBRD-01,建立渠道类型标准化推荐路径文档,C类,BD与新渠道洽谈时需要标准化的推荐话术,针对不同渠道类型(转介市场/代理人团队)产出标准化推荐路径文档，含佣金对比和适用场景,文档覆盖全部主要渠道类型，BD在新洽谈中使用统一话术,个别渠道因特殊业务模式可走定制路径，需额外审批,渠道管理部门+菲菲/MOMO(文档编制)+产品定价(佣金确认),(待产出·渠道推荐路径文档),未记录,C类·系统裁定,需在本季度内完成核心渠道的推荐路径标准化文档，当前依赖个人经验沟通,P2,信号1·DIAGNOSIS,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R019,PARTNER
PARTNER-R020,VN-IBRD-01,建立渠道DD线上化和风险数据库,C类,渠道DD流程目前依赖线下文档和邮件,IT评估DD Form线上化、建立渠道风险数据库的可行性，实现查册报告/AML结果/风险评估表集中管理,风险数据库可查询和回溯全部渠道DD记录,先用共享文件夹+版本控制实现过渡方案,IT部门(技术评估)+Teresa/CO(需求定义),(待评估·DD线上化/风险数据库),未记录,C类·系统裁定,需IT评估线上化方案并与Teresa对齐需求，当前DD文档分散在邮件和本地,P2,信号2·EXECUTION,1,IBRD001_规则清单_菲菲momo_v1.0(原始docx对应录音),v1.0,IBRD001-R020,PARTNER
PAY-R001,VN-PAY-01,季度大更新规则,A类,每个季度开始,季度大更新一次原始Excel佣金准入表，覆盖全保司产品,季度首月内完成更新，中途加佣3-4次增量更新,中途保司加佣：常卖产品即时更新，非常卖产品延至下季度,刘敏然(源头录入),FACT_COMMISSION_RATE.effective_start_time,口头经验,,,P0,首轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R001,PAY
PAY-R002,VN-PAY-01,生效期非重叠规则,A类,新增或修改同产品同一期间费率记录,用effective_start_time与effective_end_time划分区间，同产品同期不写入两条费率记录,所有产品在同一时间段内仅存在一条有效费率记录,截至目前未出现重叠情况；如发生需审批后方可录入,刘敏然(源头录入)+Carrie(脚本校验),FACT_COMMISSION_RATE.effective_start_time;FACT_COMMISSION_RATE.effective_end_time,口头经验,,,P0,首轮·INSIGHT+二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R002,PAY
PAY-R003,VN-PAY-01,保司变更书面通知规则,A类,保司通知加佣/费率变更/格式变更,须取得书面通知(邮件/变更单)，有回执确认后方可执行录入或公式修改,书面通知落档，所有相关变更关系人已回执确认,紧急加佣可口头通知先行录入，3个工作日内补书面回执,数据治理负责人+刘敏然(执行),FACT_COMMISSION_RATE.source_document,口头经验,,,P1,首轮·DIAGNOSIS+DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R003,PAY
PAY-R004,VN-PAY-01,高频保司T+1更新SLA,A类,高频保司费率更新通知到达,T+1工作日内完脚本/Excel更新,1个工作日内费率更新生效，更新日志可追踪,低频保司延长时效（具体天数待后续量化）；原材料(保司PDF)延迟到件顺延,刘敏然(更新)+Carrie(脚本),FACT_COMMISSION_RATE.updated_at,口头经验,,,P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R004,PAY
PAY-R005,VN-PAY-01,备份-修改-验证-上线流程,A类,保司公式/费率发生变更(如监管要求调整),执行四步：1)备份当前公式表/费率表 2)修改目标保司条目(仅改该保司，不改整表) 3)旧Excel与新脚本比对验证 4)上线新版本,旧Excel计算结果与新脚本计算结果一致，且使用保司/IM提供的权威公式作为基准,仅修改受影响保司的公式，不改动其他保司；跨保司同时变更需额外QA,刘敏然(执行)+Carrie(工程)+IM(公式权威来源),CONFIG_PRODUCT_COMMISSION_FORMULA,口头经验,,,P1,首轮·DECISION+二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R005,PAY
PAY-R006,VN-PAY-01,新脚本停更触发条件,A类,新脚本覆盖全部字段且100%可用，财务/结算/测算人员确认可直接使用,停止更新原始Excel佣金表，切换为单轨(仅新脚本),财务、结算、测算三方签字确认新脚本数据可用；旧Excel冻结为只读备份,部分保司/产品字段未覆盖前不停止更新；任一消费方未确认则不切换,产品/数据负责人+财务/结算/测算三方,FACT_COMMISSION_RATE(新脚本版),口头经验,,,P0,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R006,PAY
PAY-R007,VN-PAY-01,历史数据三年全量迁移,A类,需要将历史手工维护的原始Excel佣金表迁移到云端数据库,梳理过去三年源头佣金表(按季度版本)，全量导入目标数据库，用原始数据直接导入,导入数据与原始Excel逐季比对一致，抽样正确率100%,数据质量异常的记录标注后正常导入，附加备注说明,数据工程团队+刘敏然(提供原始表),FACT_COMMISSION_RATE(历史快照),口头经验,,,P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R007,PAY
PAY-R008,VN-PAY-01,人工全量交叉检查规则,A类,AGG表/宽表产出后或脚本修改后,对全部数据进行人工逐条比对(Excel结果vs脚本结果)，非抽查,所有差异已排查并修正，两端数据一致,目前单人执行全量自检；有第二录入人时做交叉互检,刘敏然(执行),AGG_SOURCE_COMMISSION_WIDE,口头经验,,,P1,首轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R008,PAY
PAY-R009,VN-PAY-01,佣金按原文提取规则,A类,接收到保司PDF/Excel佣金原件,保司原件写什么就提取什么，不加主观解读；计算方式按保司告知方法(加/乘),提取结果与保司原件逐字段一致,无法理解原件内容时不录入，先向RM/RM确认后再执行,刘敏然(录入),FACT_COMMISSION_RATE(原始入库),口头经验,,,P1,首轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R009,PAY
PAY-R010,VN-PAY-01,外部供应商佣金计算规则,A类,涉及外部供应商佣金数据,自行计算后填入佣金准入表，计算过程草稿保留在原始Excel,计算结果有明确推导过程，外部供应商可核对,无外部供应商时不适用,刘敏然(计算+录入),FACT_COMMISSION_RATE(外部供应商行),口头经验,,,P1,首轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R010,PAY
PAY-R011,VN-PAY-01,公式表整表修改规则,A类,产品佣金计算公式需变化(增加新维度/新字段),修改整张佣金公式表(纯公式，无佣金率)；用备份→修改→验证→上线步骤,新旧版本公式计算结果一致，且覆盖全部受影响保司,季度内通常不改公式；仅当保司变更计算方式时改对应保司条目,刘敏然(需求)+Carrie(工程实现+权限审批),CONFIG_PRODUCT_COMMISSION_FORMULA,口头经验,,,P1,首轮·INSIGHT+二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R011,PAY
PAY-R012,VN-PAY-01,版本到期季度检查规则,A类,每季度做完AGG表后,检查全部产品的有效期(expiry/end date)，确认无过期未更新或重叠,所有有效期均在该季度范围内，无过期或重叠记录,当前检查重点在佣金率，有效期细节为次优先级,刘敏然(检查),FACT_COMMISSION_RATE.effective_end_time,口头经验,,,P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R012,PAY
PAY-R013,VN-PAY-01,版本冻结与旧表关停规则,A类,新脚本经财务/结算/测算确认100%可用后,原始Excel冻结为只读备份，后续仅使用新脚本；双轨并行期结束,旧表标注冻结日期+版本号，权限改为只读,部分字段/保司未覆盖时不关停；紧急回滚需求时从备份恢复,数据治理负责人+刘敏然+Carrie,FACT_COMMISSION_RATE(VERSION_FLAG),口头经验,,,P1,首轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R013,PAY
PAY-R014,VN-PAY-01,宽表字段契约规则,A类,佣金宽表/准入表生成时,宽表不含保单号，仅到产品级别；保单号匹配在销售数据层完成,财务报表和测算表字段口径统一，消费侧不受生产侧变更影响,无(数据分层设计，保单号属于交易层不属于佣金规则层),产品/数据契约负责人,AGG_SOURCE_COMMISSION_WIDE,口头经验,,,P2,二轮·INSIGHT,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R014,PAY
PAY-R015,VN-PAY-01,异版本双轨交叉校验规则,A类,新脚本产出后财务/结算暂未采用，仍以旧Excel为准,保留原始Excel作为校验基准，新脚本版本与旧Excel全量交叉比对,旧Excel与脚本表数据一致，差异全部可解释,新脚本被财务/结算采用且停更条件达成后停止双轨,刘敏然(执行交叉比对),FACT_COMMISSION_RATE(旧Excel版·新脚本版),口头经验,,,P1,首轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R015,PAY
PAY-R016,VN-PAY-01,交接全流程讲解SOP规则,A类,新人入职或岗位交接时,进行全流程讲解(脚本草稿→准入表→宽表→消费侧可读表)，配套PDF样表+公式文档+保司公式讲解+现场计算示例,交接覆盖全部保司和全部环节，录音存档，配套书面SOP及流程图,复杂保司(永明)交接需额外30天实操带教,刘敏然(交接主体)+培训负责人,P1004(公式表).P2004(佣金率表),口头经验,,,P1,二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R016,PAY
PAY-R017,VN-PAY-01,保持原始Excel作校验基准规则,A类,无第二人交叉验证情况下,保留原始Excel作为与AGG表的唯一校验基准,原始Excel与AGG表数据可逐行比对,有第二人交叉验证后可讨论停用,刘敏然(维护+校验),FACT_COMMISSION_RATE(原始Excel),口头经验,,,P1,二轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R017,PAY
PAY-R018,VN-PAY-01,PI/non-PI产品分类清单,B类,佣金计算公式需区分PI/non-PI,根据产品是否区分PI/PPI选择计算公式分支,待确认：完整PI/non-PI产品清单由产品部输出,部分产品不区分PI(医疗险/年金/分红/保证型)，PDF未标注即为不区分,刘敏然(录入).产品部(清单维护),CONFIG_PRODUCT_COMMISSION_FORMULA,口头经验,A类·信息缺失,PI/non-PI产品完整清单缺失，当前凭PDF标注和个人判断，影响公式准确性和新脚本字段覆盖,P0,首轮·INSIGHT+二轮·INSIGHT,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R018,PAY
PAY-R019,VN-PAY-01,友邦档位全覆盖规则,B类,测算/业务提出友邦多档位(二A~D)佣金需求,从脚本表中调取目标档位数据，人工补齐原始Excel缺少的档位,待确认：档位映射与计算逻辑是否标准化(当前人工临时处理),保司不提供全档位数据时，需根据Total值倒推各档佣金,刘敏然(数据调取),FACT_COMMISSION_RATE(档位维度),口头经验,A类·信息缺失,"友邦原始Excel仅含二A档，二A~D全档位覆盖率不足；各档位佣金计算逻辑未标准化,依赖单人经验",P1,首轮·REVIEW+二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R019,PAY
PAY-R020,VN-PAY-01,常理校验清单(续期佣金),B类,佣金率录入/计算完成后,用常理逻辑校验(如续期逐年下降、第四年不高于第三年、不出现跨年逆序)；测算人员逆推异常,待确认：常理规则未结构化、未数值化，仅人工执行,不同保司口径差异可能产生合理异常(非融资单高于融资单等),刘敏然(执行).测算人员(逆推反馈),FACT_COMMISSION_RATE,口头经验,A类·信息缺失,常理校验规则未结构化、未纳入自动校验脚本，依赖人工经验+测算侧逐单逆推,P1,二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R020,PAY
PAY-R021,VN-PAY-01,常卖年龄范围规则,B类,涉及投保人年龄的佣金率查询,常卖年龄范围0~61.5岁，超常规格(如68岁)需回查保司原件补录,待确认：年龄边界规则未书面化，依赖历史需求优化设定,新产品上新后佣金信息延迟约1周接收,刘敏然(补录).渠道运营(SLA),FACT_COMMISSION_RATE(年龄维度),口头经验,A类·信息缺失,常卖年龄边界(0~61.5岁)未书面化，超范围产品临时回查保司原件，非制度化响应,P1,二轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R021,PAY
PAY-R022,VN-PAY-01,合规准确率验收流程,B类,佣金数据从手工录入转入使用环节,关键字段100%人工复核，双人签收验收，保留原件与变更单,待确认：验收具体执行主体、频率、抽查比例未量化定义,AI辅助录入当前无法达到100%准确，以人工为主,合规负责人.数据治理.业务负责人,FACT_COMMISSION_RATE(录入验收),口头经验,A类·信息缺失,合规准确率100%门槛已明确，但验收流程、频率、抽查比例、归档规范未书面化,P1,首轮·DECISION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R022,PAY
PAY-R023,VN-PAY-01,生效期冲突系统检测规则,B类,ETL/脚本写入同产品两条费率记录时,系统应自动检测有效期重叠并报错或阻断，取最近版本,待确认：当前系统不报错，可能双写（未取最新）；需要工程实现冲突检测与告警,如存在合理重叠(不同牌照)需审批后放行,Carrie(规则实现).数据治理(质量监控),FACT_COMMISSION_RATE(冲突检测逻辑),口头经验,A类·信息缺失,系统对同产品有效期重叠不报错(不取最新)，错误被动发现；自动检测与告警机制缺失,P0,首轮·INSIGHT,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R023,PAY
PAY-R024,VN-PAY-01,不常卖产品更新策略,B类,新产品上线或客户咨询不常卖产品佣金,常卖产品(万年青)即时更新；不常卖延至下季度批量更新；曾被业务问过的产品登记为长卖,待确认：不常卖产品与常卖产品边界标准是否量化(目前以万年青为唯一常卖标准),全新产品佣金延迟约1周，业务端需缓存等待,刘敏然(更新).业务端(需求触发),FACT_COMMISSION_RATE(产品更新优先级),口头经验,A类·信息缺失,不常卖与常卖产品的划分标准未量化(目前以万年青为唯一常卖)，影响自动化更新排程,P1,二轮·DIAGNOSIS,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R024,PAY
PAY-R025,VN-PAY-01,市场外发差异说明规则,B类,市场佣金表外发前与源头佣金表存在差异(策略调整/档位特殊处理),在外发表中附差异说明与保司原件引用，市场策略调整需书面审批,待确认：差异说明模板未标准化，市场调整审批链未书面化,保司规则决定的非典型佣金结构(如非融资单高于融资单)不需策略调整,市场佣金负责人.刘敏然(源头引用).叶总(数据定版),AGG_SOURCE_COMMISSION_WIDE,口头经验,A类·信息缺失,市场侧策略调整与保司源头规则的差异缺少统一说明模板和审批记录,P2,首轮·REVIEW,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R025,PAY
PAY-R026,VN-PAY-01,建立保司PDF格式对照表,C类,需要自动化录入或培训新人的场景,梳理13家保司PDF格式特征(组成模块/表头特征/难易度)，编制对照表,对照表覆盖全部13家保司(永明/保诚/宏利/安盛/中国人寿/中国太平/万通/周大福/友邦/苏黎世/新加坡永明/中意/立桥)，含样表,保司临时改版需更新对照表,产品/数据文档负责人+刘敏然(提供样表),(无，新建设),未记录,C类·系统裁定,需要Mark/管理层裁定资源投入，建立保司PDF格式对照表数据库，作为培训基线和OCR训练输入,P1,二轮·EXECUTION,1,EFA001_规则清单_刘敏然_v1.0(原始docx对应录音),v1.0,EFA001-R026,PAY
