node_id,node_name,domain_code,gate1_status,gate2_status,gate3_status,is_fused,sheet5_category,decision_priority
VN-INS-09,联合评估结论,INS,PASS,PASS,PASS,,非熔断,待确认
VN-INS-10,周期总结报告,INS,PASS,PASS,PASS,,非熔断,待确认
VN-KAEM-01,KA培训完成记录,KA,PARTIAL,FAIL,FAIL,,[🔴熔断],P1
VN-KAEM-02,KA资讯发放核销记录,KA,PASS,PARTIAL,FAIL,,非熔断,P1
VN-KAET-01,KA评估定级记录,KA,FAIL,FAIL,FAIL,,[🔴熔断],P1
VN-KAGA-01,KA业绩汇总,KA,FAIL,FAIL,FAIL,,[🔴熔断],P1
VN-KAOP-01,KA上架就绪确认,KA,FAIL,FAIL,FAIL,,[🔴熔断],P1
VN-KASC-01,KA合同/协议签署版,KA,PASS,PARTIAL,FAIL,,非熔断,P1
VN-IBRD-01,合作伙伴尽调记录,PARTNER,PASS,PARTIAL,FAIL,,非熔断,P0
VN-MGA-01,联合运营需求诊断包,PARTNER,FAIL,FAIL,FAIL,,🔴熔断,P1
VN-MGA-02,联合运营框架方案,PARTNER,FAIL,PARTIAL,FAIL,,🔴熔断,P1
VN-MGA-03,联合运营合约包,PARTNER,FAIL,PARTIAL,FAIL,,🔴熔断,P1
VN-RSJD-01,保单销售报告,PARTNER,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-RSJD-02,保单合同,PARTNER,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-RSJD-03,审计报告,PARTNER,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-URD-01,联合运营需求诊断报告,PARTNER,FAIL,FAIL,FAIL,,🔴熔断,P1
VN-ASD-01,投诉处理报告,PARTNER,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-ASD-02,售后服务质量监控报告,PARTNER,PARTIAL,PARTIAL,PARTIAL,,非熔断,P1
VN-PAY-01,市场佣金制作产出包,PAY,PASS,PASS,PARTIAL,,非熔断,P0
VN-PAY-02,佣金实收确认表,PAY,PASS,PARTIAL,PASS,,非熔断,P0
VN-PAY-03,应派清单三件套,PAY,PASS,PASS,PARTIAL,,非熔断,P0
VN-PAY-04,转介费派发确认台账,PAY,FAIL,FAIL,FAIL,,🔴熔断,P0
VN-PAY-05,INVOICE/激励结算单,PAY,PASS,PARTIAL,PARTIAL,,非熔断,P0
VN-PAY-06,理财师综合应派计算清单,PAY,FAIL,PARTIAL,FAIL,,🔴熔断,P0
VN-PAY-07,银行权益活动费对账单,PAY,PARTIAL,PARTIAL,PASS,,非熔断,P1
VN-PAY-08,报销凭证包,PAY,FAIL,FAIL,PARTIAL,,🔴熔断,P1
VN-PAY-09,NGM→Apass→宿安→天领体系外对账表,PAY,FAIL,FAIL,FAIL,,🔴熔断,P0
VN-BAM-01,银行账户全生命周期管理资产包,TREASURY,FAIL,FAIL,FAIL,,🔴熔断,P0
VN-BAM-02,银行准入评估与支付工具管理记录,TREASURY,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,🟢非熔断,P1
VN-CFM-01,现金流管理报告包,TREASURY,FAIL,FAIL,FAIL,,🔴熔断,P0
VN-CFM-02,资金付款审批单,TREASURY,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,🟢非熔断,P1
