action_id,node_id,content,source,confidence,action_subtype,generates_rule,l_layer,mark_decision,status,source_type,action_description,action_owner,expected_deliverable,blocker,completion_evidence,action_tier,executor_dept
S4-FA-FOB-02-6,VN-FOB-02,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,新人90天培养计划,待执行,,
S4-FA-FOR-01-7,VN-FOR-01,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,首单陪跑记录,待执行,,
S4-FA-FOR-02-8,VN-FOR-02,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,月度营销启发案,待执行,,
S4-FA-FPG-02-9,VN-FPG-02,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,季度激励方案,待执行,,
S4-FA-FTR-01-10,VN-FTR-01,FA-理财师域,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,FA-理财师域,待指定,1,培训课程体系（含配套工具）,待执行,,
S4-FA-FLM-01-11,VN-FLM-01,待Mark裁定,FA_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,待Mark裁定,待指定,FA-M-002,总部经营管理部门的建设归属和负责人确认,待执行,,
S4-FA-FLM-01-12,VN-FLM-01,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,考核指标表当前的制定进度？已有哪些指标草案？绩效挂钩的现有做法？,当前招募计划的实际制定和执行流程是什么？各分公司是否有组织发展经理？总部的管理现状？,待执行,,
S4-FA-FOB-02-13,VN-FOB-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,首单陪跑记录的实际执行方式？多角色跟进的记录格式和汇总情况？,当前新人培养计划的执行情况？成都重庆成熟模型与其他分公司的差异？,待执行,,
S4-FA-FPG-02-14,VN-FPG-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,培训课程体系的当前管理和分发方式？资料库维护和使用情况？,季度激励方案的当前执行流程？与考核和晋升的联动现状？,待执行,,
S4-FA-FLM-01-15,VN-FLM-01,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,加速指标定稿的阻塞点在哪？考核→激励→晋升的联动闭环如何设计？,统一招募计划收集的最快路径是什么？是否需要系统化看板？内涵式/外延式新增策略如何定义？,待执行,,
S4-FA-FOB-02-16,VN-FOB-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,多角色陪跑记录标准化的最佳路径？陪跑质量评估如何设计？,90天培养计划全公司统一模板的最快路径？达标标准如何定义？,待执行,,
S4-FA-FPG-02-17,VN-FPG-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,培训资料精准推送和版本管理如何实现？与90天培养计划如何打通？,激励→考核→晋升联动闭环如何设计？激励核算可追溯性如何保障？,待执行,,
S4-FA-FLM-01-18,VN-FLM-01,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,考核指标定稿的Owner是谁？下发和评估的时限？,招募计划收集归口由哪个部门负责？完成时限？,待执行,,
S4-FA-FOB-02-19,VN-FOB-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,陪跑记录标准化的Owner是谁？培训推广时限？,培养计划统一模板的Owner是谁？推广完成时限？,待执行,,
S4-FA-FPG-02-20,VN-FPG-02,,FA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,,待指定,培训资料管理的Owner是谁？精准推送和版本管理上线时限？,激励联动闭环的Owner是谁？可追溯性建设时限？,待执行,,
S4-HR-HR-05-21,VN-HR-05,人力资源域,HR_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,人力资源域,待指定,3,人力资源诊断与改善建议报告,待执行,,
S4-HR-HR-08-22,VN-HR-08,人力资源域,HR_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,人力资源域,待指定,4,员工成长路径方案,待执行,,
S4-HR-HR-10-23,VN-HR-10,人力资源域,HR_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,人力资源域,待指定,3,员工档案,待执行,,
S4-HR-HR-05-24,VN-HR-05,待裁定,HR_熔断节点补建清单,明确,熔断补建,否,L4层,是,待执行,熔断清单总览,待裁定,待指定,D8-VN-HR-10-011,人力资源诊断与改善建议报告: 3-Gate失败,待执行,,
S4-INS-INS-01-25,VN-INS-01,保司合作域,INS_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,保司合作域,待指定,可行性报告框架待建设，交付物实际不存在，Gate①②③全FAIL,可行性报告,待执行,,
S4-INS-INS-04-26,VN-INS-04,保司合作域,INS_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,保司合作域,待指定,认证名单模板和标准化产出流程缺失，Gate①②③全FAIL,认证名单,待执行,,
S4-INS-INS-07-27,VN-INS-07,保司合作域,INS_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,保司合作域,待指定,调整建议书实际不存在，无上报模板，Gate①②③全FAIL,调整建议书,待执行,,
S4-KA-KAEM-01-28,VN-KAEM-01,KA域,KA_熔断节点补建清单,明确,熔断补建,否,L4层,否,待执行,熔断清单总览,KA域,待指定,4,KA培训完成记录,待执行,,
