lead_id,node_id,content,source,confidence,target_rule_type,interview_priority,l_layer,status,gap_description,gap_impact,expected_output,target_interviewee,background,answer_format,interview_result,converted_rule,b_scope_correction,b_owner_correction,b_trigger_correction,b_output_correction,b_validity_judgment,c_existence_check,c_actual_owner,c_actual_boundary,c_main_problem,c_feedback_target,leg,q_type,cq_id,interview_question,question_background
S3-HR-03-B3,VN-HR-03,绩效方案的流程库定义和实际产出不一致,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L3层,待访谈,绩效方案的流程库定义和实际产出不一致,DB交付物定义更新,DB交付物定义更新,,绩效方案的流程库定义和实际产出不一致,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"DB中SPE交付物定义如何更新
DB定义：___________
实际产出：___________
建议修正：___________",绩效方案的流程库定义和实际产出不一致
S3-HR-12-B1,VN-HR-12,人员归属缺少业务线分配的标准判断规则,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,人员归属缺少业务线分配的标准判断规则,业务线归属判断标准书面化,业务线归属判断标准书面化,,人员归属缺少业务线分配的标准判断规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"敏然补充归属时的判断标准
判断依据：___________
有书面标准吗：___________
谁验证准确率：___________",人员归属缺少业务线分配的标准判断规则
S3-HR-13-B1,VN-HR-13,人员预算缺少人数和薪酬变动的标准化采集机制,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,人员预算缺少人数和薪酬变动的标准化采集机制,预算数据源标准化+KPI定义,预算数据源标准化+KPI定义,,人员预算缺少人数和薪酬变动的标准化采集机制,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"人数和薪酬变动信息从哪来
预计人数谁提供：___________
薪酬变动谁提供：___________
频率和准确率：___________",人员预算缺少人数和薪酬变动的标准化采集机制
S3-HR-14-B1,VN-HR-14,工资发放缺少统一的薪酬计算规范和复核机制,HR_第一层_规则空白地图_v1.0,明确,计算推导规则,P1,L4层,待访谈,工资发放缺少统一的薪酬计算规范和复核机制,统一薪酬计算逻辑+复核机制,统一薪酬计算逻辑+复核机制,,工资发放缺少统一的薪酬计算规范和复核机制,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"各主体薪酬计算逻辑和复核
公司主体怎么算：___________
牌照主体怎么算：___________
有复核吗：___________",工资发放缺少统一的薪酬计算规范和复核机制
S3-HR-14-B2,VN-HR-14,银行转账凭证缺少归档检查标准,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L4层,待访谈,银行转账凭证缺少归档检查标准,凭证归档标准和触发机制,凭证归档标准和触发机制,,银行转账凭证缺少归档检查标准,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"归档标准和流程
现在怎么保管：___________
归档触发条件：___________",银行转账凭证缺少归档检查标准
S3-HR-04-B2,VN-HR-04,人效分析缺少从发现问题到跟进改善的闭环流程,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,人效分析缺少从发现问题到跟进改善的闭环流程,人效分析闭环机制+频率优化,人效分析闭环机制+频率优化,,人效分析缺少从发现问题到跟进改善的闭环流程,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"发现问题后跟进机制和分析频率
发现问题谁跟进：___________
有改善计划吗：___________
频率建议：___________",人效分析缺少从发现问题到跟进改善的闭环流程
S3-HRD-01-B2,VN-HRD-01,TR入职档案缺少标准模板,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L3层,待访谈,TR入职档案缺少标准模板,背调档案包标准模板,背调档案包标准模板,,TR入职档案缺少标准模板,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"标准模板应包含哪些文件
实际包含什么：___________
各文件有模板吗：___________",TR入职档案缺少标准模板
S3-HRD-02-B2,VN-HRD-02,TR季度合规声明缺少DB中的正式注册节点,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,TR季度合规声明缺少DB中的正式注册节点,DB季度节点注册+交付物定义更新,DB季度节点注册+交付物定义更新,,TR季度合规声明缺少DB中的正式注册节点,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"触发节点和交付物定义如何注册
触发频率：___________
DB有记录吗：___________",TR季度合规声明缺少DB中的正式注册节点
S3-HR-04-B3,VN-HR-04,人力分析体系需要从零建设,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,人力分析体系需要从零建设,HRA流程库建设方案,HRA流程库建设方案,,人力分析体系需要从零建设,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"HRA 7个L4和建设优先级
7个L4：___________
现有基础：___________
建设优先级：___________",人力分析体系需要从零建设
S3-HR-03-B4,VN-HR-03,SPE流程的交付物需要重新定义和拆分,HR_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,L3层,待访谈,SPE流程的交付物需要重新定义和拆分,SPE交付物再定义方案,SPE交付物再定义方案,,SPE流程的交付物需要重新定义和拆分,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"四份产出如何重新定义
四份产出：___________
各自属于哪个L4：___________
怎么拆分：___________",SPE流程的交付物需要重新定义和拆分
S3-HR-06-B3,VN-HR-06,人员管理全流程缺少统一流程框架和档案体系,HR_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,人员管理全流程缺少统一流程框架和档案体系,HRM端到端闭环方案+统一档案体系,HRM端到端闭环方案+统一档案体系,,人员管理全流程缺少统一流程框架和档案体系,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"HRM 9步如何形成端到端闭环
9步分别是什么：___________
哪些断裂：___________
档案怎么分散：___________",人员管理全流程缺少统一流程框架和档案体系
S3-INS-09-B1,VN-INS-09,保司续约评估缺少标准化判断规则，完全依赖Mark逐案裁定,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,保司续约评估缺少标准化判断规则，完全依赖Mark逐案裁定,续约评估量化辅助工具+传导映射,续约评估量化辅助工具+传导映射,,保司续约评估缺少标准化判断规则，完全依赖Mark逐案裁定,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"保司续约评估的判断标准和决策流程
Mark评估指标：___________
有量表吗：___________
频率：___________
结论如何影响决策：___________",保司续约评估缺少标准化判断规则，完全依赖Mark逐案裁定
S3-INS-03-B1,VN-INS-03,整合就绪确认缺少正式的签字确认流程,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,整合就绪确认缺少正式的签字确认流程,正式签字流程方案,正式签字流程方案,,整合就绪确认缺少正式的签字确认流程,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"为什么口头确认，什么时候改为正式签字
当前口头流程：___________
是否有过争议：___________
正式签字难度：___________",整合就绪确认缺少正式的签字确认流程
S3-INS-02-B1,VN-INS-02,合同谈判的让步边界缺少书面化的参数清单,INS_第一层_规则空白地图_v1.0,明确,合规约束规则,P1,L4层,待访谈,合同谈判的让步边界缺少书面化的参数清单,让步边界清单书面化,让步边界清单书面化,,合同谈判的让步边界缺少书面化的参数清单,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"哪些让步边界需要Mark裁定
涉及哪些条款：___________
当前怎么知道边界：___________
有过超出吗：___________",合同谈判的让步边界缺少书面化的参数清单
S3-INS-06-B1,VN-INS-06,保司报告的脱敏标准缺少书面规则,INS_第一层_规则空白地图_v1.0,明确,合规约束规则,P1,L4层,待访谈,保司报告的脱敏标准缺少书面规则,脱敏规则书面化+合规审查标准,脱敏规则书面化+合规审查标准,,保司报告的脱敏标准缺少书面规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"脱敏标准和合规审查规则
脱敏去掉什么：___________
有检查清单吗：___________
口径一致吗：___________",保司报告的脱敏标准缺少书面规则
S3-INS-05-B1,VN-INS-05,Portfolio分析缺少标准的分析框架和指标体系,INS_第一层_规则空白地图_v1.0,明确,计算推导规则,P1,L4层,待访谈,Portfolio分析缺少标准的分析框架和指标体系,标准分析框架+指标体系,标准分析框架+指标体系,,Portfolio分析缺少标准的分析框架和指标体系,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"应包含哪些标准维度和指标
当前分析维度：___________
核心指标：___________
各保司差异：___________",Portfolio分析缺少标准的分析框架和指标体系
S3-INS-08-B1,VN-INS-08,续约决策流程缺少时效管控标准和升级触发规则,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,续约决策流程缺少时效管控标准和升级触发规则,时效管控KPI+升级触发标准,时效管控KPI+升级触发标准,,续约决策流程缺少时效管控标准和升级触发规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"90天窗口期时效管控和升级触发
各阶段时间分配：___________
有时效追踪吗：___________
大决策层变动触发：___________",续约决策流程缺少时效管控标准和升级触发规则
S3-INS-10-B1,VN-INS-10,周期总结报告缺少数据管道中断时的降级方案,INS_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,数据架构层,待访谈,周期总结报告缺少数据管道中断时的降级方案,数据管道降级方案,数据管道降级方案,,周期总结报告缺少数据管道中断时的降级方案,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"中断时如何降级处理
中断频率：___________
当前怎么处理：___________
降级需求：___________",周期总结报告缺少数据管道中断时的降级方案
S3-INS-02-B2,VN-INS-02,合同备案缺少时效标准和下游通知规则,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,合同备案缺少时效标准和下游通知规则,备案时效标准+下游通知机制,备案时效标准+下游通知机制,,合同备案缺少时效标准和下游通知规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"备案时效要求和下游通知
需要多长时间：___________
监管要求：___________
谁通知下游：___________",合同备案缺少时效标准和下游通知规则
S3-INS-03-B2,VN-INS-03,保司权限边界缺少分级管理标准,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,保司权限边界缺少分级管理标准,权限边界分级标准,权限边界分级标准,,保司权限边界缺少分级管理标准,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"权限如何分级管理
当前权限清单：___________
Mark介入触发：___________
分级方案：___________",保司权限边界缺少分级管理标准
S3-INS-06-B2,VN-INS-06,保司反馈缺少从发现到策略调整的标准化闭环,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,保司反馈缺少从发现到策略调整的标准化闭环,策略调整闭环+标准化上报模板,策略调整闭环+标准化上报模板,,保司反馈缺少从发现到策略调整的标准化闭环,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"反馈后策略调整闭环和上报模板
当前怎么处理反馈：___________
有后续调整流程吗：___________",保司反馈缺少从发现到策略调整的标准化闭环
S3-INS-09-B2,VN-INS-09,保司升级评估缺少量化的触发条件,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,保司升级评估缺少量化的触发条件,Phase 3三条件量化阈值,Phase 3三条件量化阈值,,保司升级评估缺少量化的触发条件,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"三条件各自需要什么量化阈值
三条件是什么：___________
有阈值吗：___________
量化标准：___________",保司升级评估缺少量化的触发条件
S3-INS-08-B2,VN-INS-08,保司终止合作后缺少资产回收和知识沉淀的标准流程,INS_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,保司终止合作后缺少资产回收和知识沉淀的标准流程,资产回收SOP+知识沉淀机制,资产回收SOP+知识沉淀机制,,保司终止合作后缺少资产回收和知识沉淀的标准流程,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"资产回收和知识沉淀流程
终止后回收什么：___________
有回收流程吗：___________
知识沉淀内容：___________",保司终止合作后缺少资产回收和知识沉淀的标准流程
S3-INS-09-B3,VN-INS-09,保司流失预警缺少可执行的评分标准和触发规则,INS_第一层_规则空白地图_v1.0,明确,计算推导规则,P1,数据架构层,待访谈,保司流失预警缺少可执行的评分标准和触发规则,流失预警模型评分标准和触发逻辑,流失预警模型评分标准和触发逻辑,,保司流失预警缺少可执行的评分标准和触发规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"预警模型评分和触发
看哪些指标：___________
怎么算：___________
阈值：___________
谁响应：___________",保司流失预警缺少可执行的评分标准和触发规则
S3-INS-06-B3,VN-INS-06,多保司数据对比分析缺少合规授权确认标准,INS_第一层_规则空白地图_v1.0,明确,合规约束规则,P1,L4层,待访谈,多保司数据对比分析缺少合规授权确认标准,多保司对比授权标准,多保司对比授权标准,,多保司数据对比分析缺少合规授权确认标准,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"对比的合规授权和范围
有做多保司对比吗：___________
需授权吗：___________
授权形式和范围：___________",多保司数据对比分析缺少合规授权确认标准
S3-INS-10-B2,VN-INS-10,周期总结缺少对外共享的脱敏规则,INS_第一层_规则空白地图_v1.0,明确,合规约束规则,P1,L4层,待访谈,周期总结缺少对外共享的脱敏规则,共享版本脱敏规则和数据范围,共享版本脱敏规则和数据范围,,周期总结缺少对外共享的脱敏规则,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"共享给保司时的脱敏标准
共享版和内部版区别：___________
需脱敏什么：___________
谁负责：___________",周期总结缺少对外共享的脱敏规则
S3-RSJD-01-B1,VN-RSJD-01,制度写了很多要求但流程太粗，合规要求和操作对不上,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,制度写了很多要求但流程太粗，合规要求和操作对不上,C01-C09控制点到L4/L5落位,C01-C09控制点到L4/L5落位,,制度写了很多要求但流程太粗，合规要求和操作对不上,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"C01-C09如何映射到L4/L5
已知控制点：___________
哪些已对应步骤：___________
缺失哪些：___________",制度写了很多要求但流程太粗，合规要求和操作对不上
S3-RSJD-02-B1,VN-RSJD-02,保单给了客户后多久必须签回来没规定,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,保单给了客户后多久必须签回来没规定,交付SLA标准+签署方式统一,交付SLA标准+签署方式统一,,保单给了客户后多久必须签回来没规定,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"交付SLA和签署统一
当前从交付到签收：___________
有SLA吗：___________
线上/线下场景：___________",保单给了客户后多久必须签回来没规定
S3-RSJD-03-B1,VN-RSJD-03,审计哪些案子靠人工挑，改没改靠一个人追,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,审计哪些案子靠人工挑，改没改靠一个人追,审计样本标准+整改跟踪机制,审计样本标准+整改跟踪机制,,审计哪些案子靠人工挑，改没改靠一个人追,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"审计样本抽取和整改闭环
怎么选样本：___________
谁选：___________
追踪方式：___________",审计哪些案子靠人工挑，改没改靠一个人追
S3-ASD-01-B1,VN-ASD-01,流程太粗，投诉从三处进来没法统一管,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,流程太粗，投诉从三处进来没法统一管,投诉控制点L4落位+统一工单,投诉控制点L4落位+统一工单,,流程太粗，投诉从三处进来没法统一管,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"五步控制点落位和统一工单
三个渠道怎么管：___________
各渠道量：___________
工单建议：___________",流程太粗，投诉从三处进来没法统一管
S3-RSJD-01-B2,VN-RSJD-01,两系统数据怎么分、谁管不知道,PARTNER_第一层_规则空白地图_v1.0,明确,数据结构规则,P1,系统层,待访谈,两系统数据怎么分、谁管不知道,红蓝系统数据边界定义,红蓝系统数据边界定义,,两系统数据怎么分、谁管不知道,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"数据边界和运营归属
数据范围：___________
边界案例：___________
隐秘通道：___________",两系统数据怎么分、谁管不知道
S3-ASD-02-B1,VN-ASD-02,委员会谁参加没定，录音保存多久没标准,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,委员会谁参加没定，录音保存多久没标准,CRC成员+录音保存+数据聚合,CRC成员+录音保存+数据聚合,,委员会谁参加没定，录音保存多久没标准,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"成员、保存期限、聚合方案
CRC成员：___________
保存期限：___________
聚合优化：___________",委员会谁参加没定，录音保存多久没标准
S3-RSJD-01-B3,VN-RSJD-01,财务测算理论上可自动化但还在人工做,PARTNER_第一层_规则空白地图_v1.0,明确,计算推导规则,P1,L4层,待访谈,财务测算理论上可自动化但还在人工做,财务模型Agent化落地方案,财务模型Agent化落地方案,,财务测算理论上可自动化但还在人工做,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"Agent化的障碍和方案
当前操作：___________
自动化方案：___________
障碍：___________",财务测算理论上可自动化但还在人工做
S3-ASD-01-B2,VN-ASD-01,续保和理赔要不要拆独立流程还没决定,PARTNER_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L3层,待访谈,续保和理赔要不要拆独立流程还没决定,续保/理赔独立性评估,续保/理赔独立性评估,,续保和理赔要不要拆独立流程还没决定,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"是否拆分为独立L4
续保处理方式：___________
独立的理由：___________
不独立理由：___________",续保和理赔要不要拆独立流程还没决定
S3-FOB-01-B1,VN-FOB-01,协议包寄送总部归档后，邮寄时效、签收确认和归档完整性都没有系统追踪,FA_第一层_规则空白地图_v1.0,明确,流程触发规则,P1,L4层,待访谈,协议包寄送总部归档后，邮寄时效、签收确认和归档完整性都没有系统追踪,协议流转追踪机制,协议流转追踪机制,,协议包寄送总部归档后，邮寄时效、签收确认和归档完整性都没有系统追踪,结构化描述框,待访谈,待转换,,,,,,,,,,,,,,"协议包从签署到归档的流转节点和确认方式
邮寄后多久能确认收到：___________
谁负责确认归档完整：___________
有没有催办机制：___________",协议包寄送总部归档后，邮寄时效、签收确认和归档完整性都没有系统追踪
S3-EQ-001,VN-EQ-02,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-002,VN-EQ-03,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-003,VN-EQ-04,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-004,VN-EQ-05,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-005,VN-EQ-06,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-006,VN-EQ-07,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-007,VN-EQ-08,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-EQ-008,VN-EQ-10,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,EQ_规则空白地图,明确,,P1,L4层,待访谈,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,,,基线v1.0 Step5标注为本节点规则空白（规则空白/岗位空白/工具空白），需访谈验证,,待访谈,待转换,,,,,,,,,,,,,,,
S3-PAY-009,VN-PAY-01,保险公司提供的PDF/Excel数据完整性和口径一致性无校验机制；源头PDF需OCR/标准化录入才可机器追溯（Signal3 Gate③=PARTIAL）。,PAY_规则空白地图,明确,,P1,L4层,待访谈,保险公司提供的PDF/Excel数据完整性和口径一致性无校验机制；源头PDF需OCR/标准化录入才可机器追溯（Signal3 Gate③=PARTIAL）。,,,[佣金制表执行岗] / [佣金数据录入岗],保险公司提供的PDF/Excel数据完整性和口径一致性无校验机制；源头PDF需OCR/标准化录入才可机器追溯（Signal3 Gate③=PARTIAL）。,,待访谈,待转换,,,,,,,,,,,,,,,
S3-PAY-010,VN-PAY-01,月度表版本号和v.final锁定未形成规则；版本不一致时回退到哪个版本无规则。,PAY_规则空白地图,明确,,P1,L4层,待访谈,月度表版本号和v.final锁定未形成规则；版本不一致时回退到哪个版本无规则。,,,[佣金制表执行岗],月度表版本号和v.final锁定未形成规则；版本不一致时回退到哪个版本无规则。,,待访谈,待转换,,,,,,,,,,,,,,,
