node_id,node_name,domain,priority,fail_gates,fail_count,owner,phase,review_result,blocker,last_update,next_milestone,expected_output
VN-FLM-01,,FA,,,,,A,待复评,招募计划收集归口由哪个部门负责？完成时限？,2026-06-25,考核指标定稿的Owner是谁？下发和评估的时限？,
VN-FOB-02,,FA,,,,,A,待复评,培养计划统一模板的Owner是谁？推广完成时限？,2026-06-25,陪跑记录标准化的Owner是谁？培训推广时限？,
VN-FPG-02,,FA,"---

## 五、自检声明",,,,A,待复评,激励联动闭环的Owner是谁？可追溯性建设时限？,2026-06-25,培训资料管理的Owner是谁？精准推送和版本管理上线时限？,
VN-HR-05,,HR,1,,,,A,待复评,人力资源诊断与改善建议报告,2026-06-25,3,人力资源域
VN-HR-08,,HR,0,,,,A,待复评,员工成长路径方案,2026-06-25,4,人力资源域
VN-HR-10,,HR,1,,,,A,待复评,员工档案,2026-06-25,3,人力资源域
VN-HR-05,,HR,VN-HR-10,,,,A,待复评,人力资源诊断与改善建议报告: 3-Gate失败,2026-06-25,D8-VN-HR-10-011,待裁定
VN-INS-01,,INS,P1,,,,A,待复评,可行性报告,2026-06-25,可行性报告框架待建设，交付物实际不存在，Gate①②③全FAIL,保司合作域
VN-INS-04,,INS,P1,,,,A,待复评,认证名单,2026-06-25,认证名单模板和标准化产出流程缺失，Gate①②③全FAIL,保司合作域
VN-INS-07,,INS,P1,,,,A,待复评,调整建议书,2026-06-25,调整建议书实际不存在，无上报模板，Gate①②③全FAIL,保司合作域
VN-KAEM-01,,KA,全量待访谈,,,,A,待复评,KA培训完成记录,2026-06-25,4,KA域
VN-KAET-01,,KA,全量待访谈,,,,A,待复评,KA评估定级记录,2026-06-25,5,KA域
VN-KAGA-01,,KA,全量待访谈,,,,A,待复评,KA业绩汇总,2026-06-25,3,KA域
VN-KAOP-01,,KA,全量待访谈,,,,A,待复评,KA上架就绪确认,2026-06-25,4,KA域
VN-KAEM-02,,KA,全量待访谈,,,,A,待复评,KA资讯发放核销记录,2026-06-25,1,KA域
VN-KASC-01,,KA,全量待访谈,,,,A,待复评,KA合同/协议签署版,2026-06-25,1,KA域
VN-IBRD-01,,PARTNER,1,,,,A,待复评,合作伙伴尽调记录,2026-06-25,1,PARTNER域
VN-MGA-01,,PARTNER,1,,,,A,待复评,联合运营需求诊断包,2026-06-25,2,PARTNER域
VN-MGA-02,,PARTNER,1,,,,A,待复评,联合运营框架方案,2026-06-25,2,PARTNER域
VN-MGA-03,,PARTNER,1,,,,A,待复评,联合运营合约包,2026-06-25,2,PARTNER域
VN-URD-01,,PARTNER,1,,,,A,待复评,联合运营需求诊断报告,2026-06-25,2,PARTNER域
VN-IBRD-01,,PARTNER,VN-MGA-01,,,,A,待复评,[待Mark裁定] 合作伙伴尽调记录: Gate③追溯FAIL，是否纳入补建优先级？需Mark裁定是否启动补建流程,2026-06-25,DVN-MGA-01-025001,待裁定
VN-MGA-02,,PARTNER,VN-MGA-03,,,,A,待复评,[待Mark裁定] 联合运营框架方案: 全维度空白，是否纳入补建优先级？Gate全FAIL，需Mark裁定是否启动补建流程,2026-06-25,DVN-MGA-03-025003,待裁定
VN-URD-01,,PARTNER,Done Criteria,,,,A,待复评,[待Mark裁定] 联合运营需求诊断报告: 全维度空白，是否纳入补建优先级？Gate全FAIL，需Mark裁定是否启动补建流程,2026-06-25,#,待裁定
VN-PAY-09,,PAY,最高（阻塞合并报表）,,,,A,待复评,BP V2完全遗漏37.2M HKD,2026-06-25,Gate①②③→PASS,Mark+[数据底座架构师]联合裁定归口部门→建fact_offsystem_flow
VN-PAY-04,,PAY,P0强制,,,,A,待复评,IA规则未代码化+合规岗空缺,2026-06-25,Gate①②③→PASS,Mark裁定合规负责人→COM-14/15补建→阈值监控上线
VN-PAY-06,,PAY,P0,,,,A,待复评,四类协议参数散落+人工合并,2026-06-25,Gate①②③→PASS,Mark裁定FPG-05归属→dim_agreement_param建表
VN-PAY-08,,PAY,P1（先解耦不阻塞P0）,,,,A,待复评,完全纸质化+流程未建,2026-06-25,Gate①②③→PASS,选型报销SaaS/自建→L3-EXP+EXP-01~05
VN-BAM-01,,TREASURY,P0（TREASURY域账户治理基础节点）,,,,A,待复评,三Gate全失（挂数+落地+追溯），银行账户全生命周期7项子产物全部缺乏Gate验证证据,2026-06-25,Gate①②③→PASS,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复
VN-CFM-01,,TREASURY,P0（TREASURY域核心现金流节点）,,,,A,待复评,三Gate全失（挂数+落地+追溯），现金流管理9项子产物全部缺乏Gate验证证据,2026-06-25,Gate①②③→PASS,优先安排访谈+Gate修复评估→Mark裁定修复方案→Gate①②③逐项修复
